gene,Block1,Block2,Block3,Block4,Block5,Block6,Block7,Block8,Block9,Block10
Fth1,0,0,4,0,0,0,0,9,1,1
Eef2,0,1,0,10,3,0,10,0,0,0
Rps20,0,7,0,0,8,6,2,0,0,0
Spp1,1,0,0,9,4,5,0,0,0,0
Vim,0,0,0,4,0,7,1,0,7,0
Hsp90ab1,0,10,10,0,0,0,0,0,3,5
Rpl4,3,0,0,0,0,8,0,3,2,0
Actg1,5,0,2,1,0,0,5,0,0,0
Pabpc1,0,0,8,6,2,0,0,0,0,7
Bgn,0,0,0,0,7,0,4,10,0,4
Ctsl,0,10,7,3,0,0,0,0,0,10
Col1a2,8,0,0,7,5,0,6,0,0,0
Pkm,4,4,0,0,0,0,0,10,2,0
Eif5a,0,4,0,0,0,0,6,5,0,4
Hspa8,0,6,0,0,7,0,0,0,3,9
Rps6,8,0,2,0,2,0,0,0,0,3
Cfl1,0,0,3,0,0,0,0,4,9,9
Tubb5,10,0,0,0,0,4,7,0,10,0
Rps3,0,5,0,3,6,0,0,0,0,4
Eef1g,4,9,9,0,0,3,0,0,0,0
Lox,3,0,0,0,9,1,0,0,10,0
Scd2,0,6,6,0,0,0,0,0,4,3
Lars2,9,0,0,0,9,0,8,4,0,0
Rpsa,2,3,0,0,0,0,0,0,6,3
Anxa1,5,0,0,2,0,0,4,0,3,0
Gsto1,0,0,9,0,0,0,0,1,5,5
Ldha,2,0,0,5,9,0,0,0,4,0
Slc25a4,0,0,0,0,1,0,4,0,9,7
Col1a1,0,9,0,0,0,9,0,8,4,0
Rpl3,7,9,0,0,0,9,0,0,0,1
Ybx1,0,0,0,0,0,3,5,0,10,10
Slc25a3,0,2,1,8,1,0,0,0,0,0
Calr,6,4,0,0,10,0,0,5,0,0
Thy1,0,0,8,0,0,0,0,7,2,2
Il1rl1,9,8,0,0,0,0,0,0,5,8
Rps24,0,0,10,0,0,1,8,0,0,9
Eef1b2,7,0,0,0,5,7,0,0,0,5
Pgam1,10,3,0,0,2,0,0,1,0,0
Psap,0,9,0,0,0,5,3,0,0,8
Hnrnpa2b1,0,0,1,8,0,0,0,1,8,0
Uqcrq,6,5,0,4,0,4,0,0,0,0
Anxa2,0,5,0,2,1,0,0,5,0,0
Tpi1,7,0,0,0,0,0,5,0,5,9
Bsg,0,0,0,7,2,2,0,0,8,0
Lmna,0,7,0,0,0,0,5,6,0,7
Rpl18a,0,10,2,8,0,0,0,0,6,0
Serpinf1,0,0,0,0,0,4,7,2,0,8
Akr1a1,0,0,1,8,0,0,9,0,0,10
Mrfap1,0,6,0,0,0,8,1,6,0,0
Ywhae,0,0,0,6,0,2,0,10,9,0
Hsp90b1,7,0,3,0,9,0,0,0,8,0
Hspa9,0,2,0,0,0,0,3,8,0,2
Psat1,0,0,0,0,4,2,5,2,0,0
Neat1,3,0,2,0,0,0,6,8,0,0
Fn1,9,0,0,0,5,3,0,0,8,0
Sparc,0,3,1,2,0,0,0,0,0,3
Cdk4,0,8,1,6,0,0,0,6,0,0
Eif3h,0,2,3,0,8,0,0,0,7,0
Pcolce,0,0,0,1,0,1,4,8,0,0
H3f3b,8,9,0,0,0,8,9,0,0,0
Atp5a1,0,6,0,2,0,10,9,0,0,0
Pcbp1,0,5,0,0,5,0,8,2,0,0
Tpm1,4,0,0,0,0,10,0,7,0,2
Timp2,0,0,3,0,0,3,0,7,10,0
Eif4b,7,0,5,8,0,0,7,0,0,0
Nedd4,5,8,9,8,0,0,0,0,0,0
Fbln2,2,4,0,0,0,0,0,6,0,6
Serpinh1,9,0,7,0,10,0,0,0,4,0
Laptm4a,0,3,7,0,0,2,0,0,0,2
Atf4,0,0,3,0,0,4,6,0,5,0
