tracking_id,3T3 B1
Fth1,2070.7
Eef2,1968.6
Spp1,1749.67
Vim,1603.74
Hsp90ab1,1431.54
Actg1,1217.09
Pabpc1,996.998
Bgn,995.14
Ctsl,794.268
Col1a2,781.804
Pkm,769.836
Eif5a,759.868
Hspa8,739.803
Cfl1,722.403
Tubb5,691.267
Eef1g,646.68
Lox,628.268
Scd2,622.922
Lars2,611.147
Anxa1,580.392
Gsto1,546.7
Ldha,526.531
Slc25a4,492.707
Col1a1,491.172
Ybx1,450.926
Slc25a3,449.936
Calr,447.179
Thy1,446.845
Il1rl1,438.398
Eef1b2,425.707
Pgam1,423.452
Psap,416.422
Hnrnpa2b1,408.858
Uqcrq,399.632
Anxa2,395.752
Tpi1,394.362
Bsg,390.789
Lmna,390.656
Serpinf1,382.128
Akr1a1,363.68
Mrfap1,356.563
Ywhae,352.476
Hsp90b1,346.875
Hspa9,344.738
Psat1,343.935
Neat1,341.591
Fn1,340.395
Sparc,338.464
Cdk4,334.61
Eif3h,333.86
Pcolce,328.34
H3f3b,319.778
Atp5a1,314.668
Pcbp1,311.925
Tpm1,310.553
Timp2,300.839
Eif4b,294.156
Nedd4,288.788
Fbln2,288.273
Serpinh1,284.912
Laptm4a,279.358
Atf4,276.549
Mdh2,276.374
P4hb,271.553
Gnb2,271.181
Hdgf,268.788
Tpm4,268.382
Pgrmc1,265.392
Pgk1,263.687
Emp1,260.981
Cct5,260.391
Cct2,254.666
Calu,253.931
H1f0,251.931
Dap,247.593
Aebp1,245.36
Gas1,243.192
Arpc1b,239.738
Ddb1,238.738
Pebp1,238.737
Cpe,237.356
Hnrnpl,235.772
Hspa5,233.782
Cnbp,232.152
Zfp36l2,230.033
Mmp2,226.968
Atf5,225.544
Maged1,223.783
Hnrnpu,223.591
Hnrnpa0,221.444
Tagln2,220.711
Arf1,218.424
Arhgdia,215.484
Phb2,213.937
Tsc22d1,213.627
Cct6a,213.426
Eif3i,213.096
Aqp1,212.695
Lamp1,210.999
Cd81,210.556
Eif4a1,209.01
Morf4l2,205.127
Tcp1,204.827
Pdia3,204.178
Axl,204.019
Prmt1,203.823
Cyr61,203.616
Hnrnpf,201.604
Ctsd,200.05
Cyb5r3,199.564
Tm4sf1,198.683
Ran,198.552
Cald1,198.154
Cct4,198.053
Dlk1,195.995
Cct3,195.94
Naca,195.928
Mlf2,195.636
Cebpd,194.955
Cnn2,194.286
Clta,194.032
Ndufb8,193.959
Igfbp6,191.66
Col6a1,191.043
Snrnp70,190.104
Paics,189.413
Canx,189.387
Tecr,189.27
Hspd1,188.965
Rcn3,188.896
Capns1,187.105
Ctnnb1,185.579
Prrx1,185.547
Mtap,184.168
Gnai2,183.889
Egr1,183.288
Efemp1,181.394
Idh2,180.162
Vdac1,179.449
Cav1,179.237
Gsn,178.874
St13,177.173
Sqstm1,174.912
Asns,174.911
Ubxn1,174.238
Cited2,173.035
Cct7,172.758
Eif4a2,171.589
Eif3f,171.458
Actn4,170.651
Ywhaz,170.622
Stip1,170.596
Cap1,170.358
Itgb1,170.049
Pdia6,167.608
Calm3,167.364
Itm2b,167.264
Cox7a2l,165.589
Zyx,164.862
2310022B05Rik,164.139
Rhoa,163.942
Npc2,163.452
Acly,162.241
Scpep1,161.889
Ssr3,161.318
