nImages,q,n,mhd,w3,w4,w5,w6,Generating Notebook
4,5,1,2,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
8,5,2,2,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
12,5,3,2,12,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
16,5,4,2,48,52,0,0,gen_RS_q11k7_code.jl.ipynb
20,5,5,2,120,260,204,0,gen_extended_codes_cuda.jl.ipynb
24,5,6,2,240,780,1224,820,gen_extended_codes_cuda.jl.ipynb
4,5,1,3,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
8,5,2,3,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
12,5,3,3,4,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
16,5,4,3,16,8,0,0,gen_RS_q11k7_code.jl.ipynb
20,5,5,3,40,40,44,0,gen_extended_codes_cuda.jl.ipynb
24,5,6,3,80,120,264,160,gen_extended_codes_cuda.jl.ipynb
4,5,1,4,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
8,5,2,4,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
12,5,3,4,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
16,5,4,4,0,4,0,0,gen_RS_q11k7_code.jl.ipynb
20,5,5,4,0,20,4,0,gen_extended_codes_cuda.jl.ipynb
24,5,6,4,0,60,24,40,gen_extended_codes_cuda.jl.ipynb
4,5,1,5,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
8,5,2,5,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
12,5,3,5,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
16,5,4,5,0,0,0,0,gen_RS_q11k7_code.jl.ipynb
20,5,5,5,0,0,4,0,gen_extended_codes_cuda.jl.ipynb
24,5,6,5,0,0,24,0,gen_extended_codes_cuda.jl.ipynb
18,7,3,2,30,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
24,7,4,2,120,186,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
30,7,5,2,300,930,1110,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
36,7,6,2,600,2790,6660,6666,gen_RS_q11k7_code.jl.ipynb
42,7,7,2,1050,6510,23310,46662,gen_extended_codes_cuda.jl.ipynb
48,7,8,2,1680,13020,62160,186648,gen_extended_codes_cuda.jl.ipynb
18,7,3,3,6,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
24,7,4,3,24,24,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
30,7,5,3,60,120,162,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
36,7,6,3,120,360,972,948,gen_RS_q11k7_code.jl.ipynb
42,7,7,3,210,840,3402,6636,gen_extended_codes_cuda.jl.ipynb
48,7,8,3,336,1680,9072,26544,gen_extended_codes_cuda.jl.ipynb
18,7,3,4,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
24,7,4,4,0,6,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
30,7,5,4,0,30,18,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
36,7,6,4,0,90,108,144,gen_RS_q11k7_code.jl.ipynb
42,7,7,4,0,210,378,1008,gen_extended_codes_cuda.jl.ipynb
48,7,8,4,0,420,1008,4032,gen_extended_codes_cuda.jl.ipynb
18,7,3,5,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
24,7,4,5,0,0,0,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
30,7,5,5,0,0,6,0,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
36,7,6,5,0,0,36,12,gen_RS_q11k7_code.jl.ipynb
42,7,7,5,0,0,126,84,gen_extended_codes_cuda.jl.ipynb
48,7,8,5,0,0,336,336,gen_extended_codes_cuda.jl.ipynb
28,8,4,2,168,301,0,0,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
35,8,5,2,420,1505,2100,0,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
42,8,6,2,840,4515,12600,14707,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
49,8,7,2,1470,10535,44100,102949,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
56,8,8,2,2352,21070,117600,411796,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
63,8,9,2,3528,37926,264600,1235388,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
28,8,4,3,28,35,0,0,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
35,8,5,3,70,175,266,0,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
42,8,6,3,140,525,1596,1834,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
49,8,7,3,245,1225,5586,12838,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
56,8,8,3,392,2450,14896,51352,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
63,8,9,3,588,4410,33516,154056,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
28,8,4,4,0,7,0,0,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
35,8,5,4,0,35,28,0,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
42,8,6,4,0,105,168,238,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
49,8,7,4,0,245,588,1666,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
56,8,8,4,0,490,1568,6664,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
63,8,9,4,0,882,3528,19992,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
28,8,4,5,0,0,0,0,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
35,8,5,5,0,0,7,0,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
42,8,6,5,0,0,42,21,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
49,8,7,5,0,0,147,147,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
56,8,8,5,0,0,392,588,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
63,8,9,5,0,0,882,1764,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
40,9,5,2,560,2280,3640,0,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
48,9,6,2,1120,6840,21840,29128,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
56,9,7,2,1960,15960,76440,203896,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
64,9,8,2,3136,31920,203840,815584,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
72,9,9,2,4704,57456,458640,2446752,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
80,9,10,2,6720,95760,917280,6116880,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
40,9,5,3,80,240,408,0,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
48,9,6,3,160,720,2448,3232,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
56,9,7,3,280,1680,8568,22624,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
64,9,8,3,448,3360,22848,90496,gen_extended_codes_ext_fields_q9_n9-10_nmk4.ipynb
