gene,gene_number,cpath,cost,x,y,z,cellid,cc,cc_size,pos,cell,ch,lvf,wf,svf,dr
Tagln,1455,"[2, 56088, 82792, 100831]",1.0223908676029079,701.9892642244919,763.6829641076438,0.0,4,1,1,0,4,488,6.0,1.5,0.0,0
Mthfd1,1222,"[3, 56091, 67071, 112930]",0.9161436099091671,709.5526701948735,752.4964819014722,0.0,4,2,1,0,4,488,6.0,1.5,0.0,0
Msrb3,2136,"[4, 46172, 67073, 104315]",1.2028710182852476,713.4549537172237,760.6194793077362,0.0,4,3,1,0,4,488,6.0,1.5,0.0,0
Nmral1,1653,"[6, 30725, 85274, 100841]",0.6949955594653925,717.6584013597706,746.3058176188183,0.0,4,4,2,0,4,488,6.0,1.5,0.0,0
Mb21d2,1136,"[7, 43586, 82798, 115164]",0.6483530009814182,718.1234310709092,758.3455681209654,0.0,4,5,1,0,4,488,6.0,1.5,0.0,0
Grb10,1613,"[27864, 54641, 90669, 116460]",1.2210567458529582,717.2795850866245,755.2865115871882,0.0,4,6,8,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[8, 56092, 82799, 100842]",1.324555722920398,718.0583564127645,753.0157953236271,0.0,4,6,8,0,4,488,6.0,1.5,0.0,0
Itga7,2071,"[6412, 31864, 61678, 103101]",1.7010522593259534,716.9490515799498,754.2345956624893,0.0,4,6,8,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[9, 56095, 82800, 100845]",0.9081786638038696,722.9806031014474,739.327603917708,0.0,4,7,1,0,4,488,6.0,1.5,0.0,0
Ssrp1,190,"[12821, 44816, 85281, 98687]",0.5098994297061898,727.5850122049612,765.6244053825526,0.0,4,8,2,0,4,488,6.0,1.5,0.0,0
Ccnk,1424,"[27868, 56096, 59437, 116464]",1.0642853125219294,729.6173446037016,735.5072754733884,0.0,4,9,3,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[13, 56097, 82803, 100849]",0.47934197517434746,730.9520548055201,754.3564298195439,0.0,4,10,1,0,4,488,6.0,1.5,0.0,0
Fam168b,154,"[14, 44819, 83967, 115170]",0.8094536215562774,734.1922343027599,774.548779119081,0.0,4,11,4,0,4,488,6.0,1.5,0.0,0
Rbm15b,1329,"[21922, 49912, 88373, 110496]",1.585557166196017,733.2411293017692,774.0081471158619,0.0,4,11,4,0,4,488,6.0,1.5,0.0,0
Rab1b,427,"[15, 47546, 68678, 104324]",0.6456832858154085,734.1975684065227,770.6401935533922,0.0,4,12,1,0,4,488,6.0,1.5,0.0,0
Rnf6,311,"[16, 48668, 66005, 108994]",1.154815581985467,738.3107270880678,762.6352554116227,0.0,4,13,1,0,4,488,6.0,1.5,0.0,0
Mthfd1,1222,"[18, 56103, 67089, 112935]",0.5683955742064901,748.7030245093056,741.4642180781598,0.0,4,14,1,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[19, 56105, 82811, 100862]",0.9230469110419578,751.4120686392969,748.0388712357186,0.0,4,15,1,0,4,488,6.0,1.5,0.0,0
Trip12,173,"[21, 48674, 81830, 92491]",0.35898081041542557,758.2457543726584,774.4766168483368,0.0,4,16,1,0,4,488,6.0,1.5,0.0,0
Clasrp,1020,"[29386, 43601, 66016, 100868]",2.655262915846801,760.6475488536043,763.7762729284921,0.0,4,17,4,0,4,488,6.0,1.5,0.0,0
Nmral1,1653,"[22, 30746, 85291, 100867]",3.4542062024506466,759.4734610301882,762.5403448801783,0.0,4,17,4,0,4,488,6.0,1.5,0.0,0
Myof,2585,"[23, 37439, 83978, 110508]",0.47700152833790543,762.0919227669215,741.1501438063069,0.0,4,18,8,0,4,488,6.0,1.5,0.0,0
Cdc16,754,"[11446, 31881, 66019, 103118]",0.853839568064635,764.2806253487289,741.7094895844239,0.0,4,18,8,0,4,488,6.0,1.5,0.0,0
Nars,3,"[29388, 30749, 59456, 121466]",1.5934022734642996,762.7885617088148,741.2928365356516,0.0,4,18,8,0,4,488,6.0,1.5,0.0,0
Myof,2585,"[24, 37438, 83977, 110509]",3.9878249392808622,761.7453638981428,751.9204753754858,0.0,4,19,1,0,4,488,6.0,1.5,0.0,0
Pycr2,1032,"[3882, 49928, 83980, 95891]",1.220781190425819,763.0662904438832,762.5231938251048,0.0,4,20,2,0,4,488,6.0,1.5,0.0,0
Sqstm1,2,"[20747, 48677, 64560, 98715]",1.6272218404856913,766.7852984507631,767.4677025724371,0.0,4,21,2,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[29, 56117, 82824, 100879]",1.0030658030169004,772.6206512164052,761.7762510462005,0.0,4,22,1,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[32, 56122, 82830, 100888]",0.46216094805308516,784.7294969324266,768.6758344700997,0.0,4,23,1,0,4,488,6.0,1.5,0.0,0
Chd1,1125,"[12862, 42258, 67112, 111870]",0.6446746735639117,802.3237397846656,723.3845572974699,0.0,4,24,6,0,4,488,6.0,1.5,0.0,0
Fam168b,154,"[34, 44852, 83993, 115196]",1.1204089121149539,800.9370439741231,722.0108730741408,0.0,4,24,6,0,4,488,6.0,1.5,0.0,0
Fasn,297,"[17658, 30762, 77398, 93959]",2.2588224417170997,802.160114899957,721.7167304068402,0.0,4,24,6,0,4,488,6.0,1.5,0.0,0
Phtf1,759,"[35, 46202, 90723, 111873]",0.7105667497356494,823.2279037234191,713.0974961595247,0.0,4,25,1,0,4,488,6.0,1.5,0.0,0
Elac2,1826,"[37, 48689, 61730, 111874]",0.20944477984238147,823.9258006819945,722.0425156251636,0.0,4,26,1,0,4,488,6.0,1.5,0.0,0
Phtf1,759,"[39, 46206, 90728, 111878]",0.3073000010845479,840.882883921538,717.8407689006796,0.0,4,27,1,0,4,488,6.0,1.5,0.0,0
Arhgdia,348,"[12882, 41033, 79447, 103142]",0.5937743050947523,849.2495463465275,701.286222496519,0.0,4,28,17,0,4,488,6.0,1.5,0.0,0
Arl5a,810,"[3905, 44863, 80781, 93974]",0.8504885763830102,849.5213459770233,701.1148762897113,0.0,4,28,17,0,4,488,6.0,1.5,0.0,0
Farp1,1591,"[29409, 43630, 68749, 95939]",1.2673397867872875,848.5245168359045,701.7312555135393,0.0,4,28,17,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[40, 56136, 82842, 100911]",1.3999023704089653,848.2628910077858,700.0596029206343,0.0,4,28,17,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[41, 56137, 82843, 100914]",1.1719831193705224,853.625756824031,697.443843161928,0.0,4,29,1,0,4,488,6.0,1.5,0.0,0
Dynll2,28,"[5159, 57341, 73887, 115206]",1.541736125919098,862.4169640216714,717.9262438002959,0.0,4,30,3,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[42, 56140, 82844, 100919]",3.750457191827792,862.3384112862902,716.8912159234695,0.0,4,30,3,0,4,488,6.0,1.5,0.0,0
Ube3c,338,"[43, 57339, 67127, 113756]",0.06913094231350657,862.0769940847188,700.8813603989912,0.0,4,31,3,0,4,488,6.0,1.5,0.0,0
Rab23,1674,"[44, 51558, 64587, 111882]",0.8913748352573193,862.5478072987348,693.075683576601,0.0,4,32,2,0,4,488,6.0,1.5,0.0,0
Ube3c,338,"[45, 57343, 67129, 113758]",0.3504297146884105,866.2434815526454,719.7284624084881,0.0,4,33,1,0,4,488,6.0,1.5,0.0,0
Gnl3l,61,"[46, 43638, 73889, 93981]",0.8719971909778963,867.5375398352528,723.3077128924916,0.0,4,34,3,0,4,488,6.0,1.5,0.0,0
Ube3a,59,"[14920, 31900, 86980, 113759]",1.3526437205932988,867.1751814752872,722.4970785597027,0.0,4,34,3,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[47, 56141, 82847, 100924]",0.6603612121759875,868.007265616787,715.4631691755623,0.0,4,35,1,0,4,488,6.0,1.5,0.0,0
Osbp,833,"[48, 53464, 82848, 95954]",0.4447404156277267,872.5991140578863,726.5181794815417,0.0,4,36,1,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[49, 56146, 82853, 100931]",1.2533815763711185,875.9603725718791,693.9265919268746,0.0,4,37,1,0,4,488,6.0,1.5,0.0,0
Spg20,1569,"[50, 37463, 82855, 111230]",1.9302190715197245,879.9340591133475,704.479865128887,0.0,4,38,1,0,4,488,6.0,1.5,0.0,0
Myof,2585,"[52, 37464, 84012, 110536]",1.4272587878488898,881.9033387407819,720.1285779700158,0.0,4,39,5,0,4,488,6.0,1.5,0.0,0
Actn1,324,"[27921, 57353, 75895, 106939]",1.603328937210702,881.1939471575788,719.6699323584944,0.0,4,39,5,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[53, 56148, 82857, 100939]",1.1659952656862638,884.3615359172975,704.3288826491039,0.0,4,40,6,0,4,488,6.0,1.5,0.0,0
Spop,82,"[10122, 44880, 61747, 116555]",1.5237290387796827,883.8306846696296,705.2797629247916,0.0,4,40,6,0,4,488,6.0,1.5,0.0,0
Nrbp2,497,"[55, 30786, 64598, 118245]",1.2828966029051618,893.220614759985,689.3017213074189,0.0,4,41,1,0,4,488,6.0,1.5,0.0,0
Msrb3,2136,"[56, 46221, 67145, 104369]",1.1583153002013253,893.3098515999898,712.8675447568364,0.0,4,42,1,0,4,488,6.0,1.5,0.0,0
Osbp,833,"[58, 53468, 82863, 95964]",0.11748793505090266,896.0868488294427,707.1424699461627,0.0,4,43,1,0,4,488,6.0,1.5,0.0,0
Ap1ar,619,"[60, 47585, 59531, 111898]",0.32056091425141,900.3092704215153,707.6301824244385,0.0,4,44,1,0,4,488,6.0,1.5,0.0,0
Ddx18,452,"[61, 38673, 79470, 115220]",0.5584233502390517,901.9970042702444,701.1297296024115,0.0,4,45,2,0,4,488,6.0,1.5,0.0,0
Fam168b,154,"[62, 44904, 84026, 115223]",1.4646890367869616,910.1169385038265,698.1929283514747,0.0,4,46,1,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[63, 56158, 82868, 100961]",0.7097984615828358,910.3971630913243,719.2321130512531,0.0,4,47,1,0,4,488,6.0,1.5,0.0,0
Ncs1,609,"[26208, 38684, 84027, 106965]",1.0135864631200195,912.0824041437944,714.3449647184908,0.0,4,48,11,0,4,488,6.0,1.5,0.0,0
Mfn1,1229,"[5173, 43657, 88457, 115227]",1.0372444905564935,914.8894720126087,711.8530275932792,0.0,4,48,11,0,4,488,6.0,1.5,0.0,0
Tagln,1455,"[64, 56161, 82870, 100962]",1.6499114658847203,913.5908927206116,712.021885928274,0.0,4,48,11,0,4,488,6.0,1.5,0.0,0
Wdr1,45,"[3933, 38686, 68793, 98800]",2.174713724121467,913.8984007186344,713.6320784999607,0.0,4,48,11,0,4,488,6.0,1.5,0.0,0
Utp20,1164,"[10144, 36162, 75918, 95978]",3.3992012014643542,912.6500788797786,713.57170965806,0.0,4,48,11,0,4,488,6.0,1.5,0.0,0
Apex2,1904,"[19272, 49983, 90777, 105401]",3.88658835808816,915.950461728948,711.5163296961455,0.0,4,48,11,0,4,488,6.0,1.5,0.0,0
Heatr3,916,"[19267, 56160, 64607, 105396]",0.8115036824562103,913.2468817879485,736.7525783503249,0.0,4,49,6,0,4,488,6.0,1.5,0.0,0
negative_control,7715,"[65, 33230, 82873, 106967]",2.0602004718481806,914.2068477389494,735.9673648383883,0.0,4,49,6,0,4,488,6.0,1.5,0.0,0
Rbp1,2481,"[14961, 41057, 84028, 95977]",2.227223927911323,911.5254138045523,736.0520452200728,0.0,4,49,6,0,4,488,6.0,1.5,0.0,0
Agtpbp1,48,"[66, 33229, 79477, 111238]",1.4527429855481604,913.7798020146889,691.9252637183965,0.0,4,50,7,0,4,488,6.0,1.5,0.0,0
Trrap,342,"[26210, 37473, 63573, 92530]",1.7698246600111507,912.579695938972,689.7158179024855,0.0,4,50,7,0,4,488,6.0,1.5,0.0,0
Osbp,833,"[69, 53483, 82877, 95987]",0.5549152676465553,919.844679310467,713.8174169175272,0.0,4,51,1,0,4,488,6.0,1.5,0.0,0
Foxk2,752,"[3935, 43663, 84032, 118259]",0.5195951566505284,917.4295852817511,690.7956598546497,0.0,4,52,38,0,4,488,6.0,1.5,0.0,0
Eml1,767,"[5176, 37477, 67158, 100967]",0.9555563206654496,916.7247774364832,689.7489718512234,0.0,4,52,38,0,4,488,6.0,1.5,0.0,0
Ipo7,1635,"[19273, 33231, 85354, 119490]",1.2783408932159106,916.4519010311597,691.3616729592361,0.0,4,52,38,0,4,488,6.0,1.5,0.0,0
Fam13b,1493,"[22003, 57375, 75925, 100973]",1.386589952685454,920.0159349127584,692.2909885651981,0.0,4,52,38,0,4,488,6.0,1.5,0.0,0
Abhd8,734,"[70, 48729, 77449, 98812]",1.4668802860056283,921.2214364538625,690.7402024635298,0.0,4,52,38,0,4,488,6.0,1.5,0.0,0
negative_control,3509,"[27946, 36172, 79481, 111241]",1.550158603508308,920.4030602753126,690.6948673972681,0.0,4,52,38,0,4,488,6.0,1.5,0.0,0
