gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10,block11,block12,block13
1,8,1,4,12,1,0,0,0,0,0,0,0,0
2,3,2,8,11,2,0,0,0,0,0,0,0,0
3,11,3,12,10,3,0,0,0,0,0,0,0,0
4,6,4,3,9,4,0,0,0,0,0,0,0,0
5,1,5,7,8,5,0,0,0,0,0,0,0,0
6,9,6,11,7,6,0,0,0,0,0,0,0,0
7,4,7,2,6,7,0,0,0,0,0,0,0,0
8,12,8,6,5,8,0,0,0,0,0,0,0,0
9,7,9,10,4,9,0,0,0,0,0,0,0,0
10,2,10,1,3,10,0,0,0,0,0,0,0,0
11,10,11,5,2,11,0,0,0,0,0,0,0,0
12,5,12,9,1,12,0,0,0,0,0,0,0,0
13,6,1,5,3,0,1,0,0,0,0,0,0,0
14,12,2,10,6,0,2,0,0,0,0,0,0,0
15,5,3,2,9,0,3,0,0,0,0,0,0,0
16,11,4,7,12,0,4,0,0,0,0,0,0,0
17,4,5,12,2,0,5,0,0,0,0,0,0,0
18,10,6,4,5,0,6,0,0,0,0,0,0,0
19,3,7,9,8,0,7,0,0,0,0,0,0,0
20,9,8,1,11,0,8,0,0,0,0,0,0,0
21,2,9,6,1,0,9,0,0,0,0,0,0,0
22,8,10,11,4,0,10,0,0,0,0,0,0,0
23,1,11,3,7,0,11,0,0,0,0,0,0,0
24,7,12,8,10,0,12,0,0,0,0,0,0,0
25,7,10,2,8,0,0,1,0,0,0,0,0,0
26,1,7,4,3,0,0,2,0,0,0,0,0,0
27,8,4,6,11,0,0,3,0,0,0,0,0,0
28,2,1,8,6,0,0,4,0,0,0,0,0,0
29,9,11,10,1,0,0,5,0,0,0,0,0,0
30,3,8,12,9,0,0,6,0,0,0,0,0,0
31,10,5,1,4,0,0,7,0,0,0,0,0,0
32,4,2,3,12,0,0,8,0,0,0,0,0,0
33,11,12,5,7,0,0,9,0,0,0,0,0,0
34,5,9,7,2,0,0,10,0,0,0,0,0,0
35,12,6,9,10,0,0,11,0,0,0,0,0,0
36,6,3,11,5,0,0,12,0,0,0,0,0,0
37,9,5,4,10,0,0,0,1,0,0,0,0,0
38,5,10,8,7,0,0,0,2,0,0,0,0,0
39,1,2,12,4,0,0,0,3,0,0,0,0,0
40,10,7,3,1,0,0,0,4,0,0,0,0,0
41,6,12,7,11,0,0,0,5,0,0,0,0,0
