gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10,block11,block12
1,1,0,0,0,0,0,0,0,4,11,15,5
2,2,0,0,0,0,0,0,0,8,5,13,10
3,3,0,0,0,0,0,0,0,12,16,11,15
4,4,0,0,0,0,0,0,0,16,10,9,3
5,5,0,0,0,0,0,0,0,3,4,7,8
6,6,0,0,0,0,0,0,0,7,15,5,13
7,7,0,0,0,0,0,0,0,11,9,3,1
8,8,0,0,0,0,0,0,0,15,3,1,6
9,9,0,0,0,0,0,0,0,2,14,16,11
10,10,0,0,0,0,0,0,0,6,8,14,16
11,11,0,0,0,0,0,0,0,10,2,12,4
12,12,0,0,0,0,0,0,0,14,13,10,9
13,13,0,0,0,0,0,0,0,1,7,8,14
14,14,0,0,0,0,0,0,0,5,1,6,2
15,15,0,0,0,0,0,0,0,9,12,4,7
16,16,0,0,0,0,0,0,0,13,6,2,12
17,0,1,0,0,0,0,0,0,11,12,5,3
18,0,2,0,0,0,0,0,0,5,7,10,6
19,0,3,0,0,0,0,0,0,16,2,15,9
20,0,4,0,0,0,0,0,0,10,14,3,12
21,0,5,0,0,0,0,0,0,4,9,8,15
22,0,6,0,0,0,0,0,0,15,4,13,1
23,0,7,0,0,0,0,0,0,9,16,1,4
24,0,8,0,0,0,0,0,0,3,11,6,7
25,0,9,0,0,0,0,0,0,14,6,11,10
26,0,10,0,0,0,0,0,0,8,1,16,13
27,0,11,0,0,0,0,0,0,2,13,4,16
28,0,12,0,0,0,0,0,0,13,8,9,2
29,0,13,0,0,0,0,0,0,7,3,14,5
30,0,14,0,0,0,0,0,0,1,15,2,8
31,0,15,0,0,0,0,0,0,12,10,7,11
32,0,16,0,0,0,0,0,0,6,5,12,14
33,0,0,1,0,0,0,0,0,10,9,5,8
34,0,0,2,0,0,0,0,0,3,1,10,16
35,0,0,3,0,0,0,0,0,13,10,15,7
36,0,0,4,0,0,0,0,0,6,2,3,15
37,0,0,5,0,0,0,0,0,16,11,8,6
38,0,0,6,0,0,0,0,0,9,3,13,14
39,0,0,7,0,0,0,0,0,2,12,1,5
40,0,0,8,0,0,0,0,0,12,4,6,13
41,0,0,9,0,0,0,0,0,5,13,11,4
42,0,0,10,0,0,0,0,0,15,5,16,12
43,0,0,11,0,0,0,0,0,8,14,4,3
44,0,0,12,0,0,0,0,0,1,6,9,11
45,0,0,13,0,0,0,0,0,11,15,14,2
46,0,0,14,0,0,0,0,0,4,7,2,10
47,0,0,15,0,0,0,0,0,14,16,7,1
48,0,0,16,0,0,0,0,0,7,8,12,9
49,0,0,0,1,0,0,0,0,4,16,13,13
50,0,0,0,2,0,0,0,0,8,15,9,9
51,0,0,0,3,0,0,0,0,12,14,5,5
52,0,0,0,4,0,0,0,0,16,13,1,1
53,0,0,0,5,0,0,0,0,3,12,14,14
54,0,0,0,6,0,0,0,0,7,11,10,10
55,0,0,0,7,0,0,0,0,11,10,6,6
56,0,0,0,8,0,0,0,0,15,9,2,2
57,0,0,0,9,0,0,0,0,2,8,15,15
58,0,0,0,10,0,0,0,0,6,7,11,11
59,0,0,0,11,0,0,0,0,10,6,7,7
60,0,0,0,12,0,0,0,0,14,5,3,3
61,0,0,0,13,0,0,0,0,1,4,16,16
62,0,0,0,14,0,0,0,0,5,3,12,12
63,0,0,0,15,0,0,0,0,9,2,8,8
64,0,0,0,16,0,0,0,0,13,1,4,4
65,0,0,0,0,1,0,0,0,15,1,14,9
66,0,0,0,0,2,0,0,0,13,2,11,1
67,0,0,0,0,3,0,0,0,11,3,8,10
68,0,0,0,0,4,0,0,0,9,4,5,2
69,0,0,0,0,5,0,0,0,7,5,2,11
70,0,0,0,0,6,0,0,0,5,6,16,3
71,0,0,0,0,7,0,0,0,3,7,13,12
72,0,0,0,0,8,0,0,0,1,8,10,4
73,0,0,0,0,9,0,0,0,16,9,7,13
74,0,0,0,0,10,0,0,0,14,10,4,5
75,0,0,0,0,11,0,0,0,12,11,1,14
76,0,0,0,0,12,0,0,0,10,12,15,6
77,0,0,0,0,13,0,0,0,8,13,12,15
78,0,0,0,0,14,0,0,0,6,14,9,7
79,0,0,0,0,15,0,0,0,4,15,6,16
80,0,0,0,0,16,0,0,0,2,16,3,8
81,0,0,0,0,0,1,0,0,13,9,14,6
82,0,0,0,0,0,2,0,0,9,1,11,12
83,0,0,0,0,0,3,0,0,5,10,8,1
84,0,0,0,0,0,4,0,0,1,2,5,7
85,0,0,0,0,0,5,0,0,14,11,2,13
86,0,0,0,0,0,6,0,0,10,3,16,2
87,0,0,0,0,0,7,0,0,6,12,13,8
88,0,0,0,0,0,8,0,0,2,4,10,14
89,0,0,0,0,0,9,0,0,15,13,7,3
90,0,0,0,0,0,10,0,0,11,5,4,9
91,0,0,0,0,0,11,0,0,7,14,1,15
92,0,0,0,0,0,12,0,0,3,6,15,4
93,0,0,0,0,0,13,0,0,16,15,12,10
94,0,0,0,0,0,14,0,0,12,7,9,16
95,0,0,0,0,0,15,0,0,8,16,6,5
96,0,0,0,0,0,16,0,0,4,8,3,11
97,0,0,0,0,0,0,1,0,3,9,12,3
98,0,0,0,0,0,0,2,0,6,1,7,6
99,0,0,0,0,0,0,3,0,9,10,2,9
100,0,0,0,0,0,0,4,0,12,2,14,12
101,0,0,0,0,0,0,5,0,15,11,9,15
102,0,0,0,0,0,0,6,0,1,3,4,1
103,0,0,0,0,0,0,7,0,4,12,16,4
104,0,0,0,0,0,0,8,0,7,4,11,7
105,0,0,0,0,0,0,9,0,10,13,6,10
106,0,0,0,0,0,0,10,0,13,5,1,13
107,0,0,0,0,0,0,11,0,16,14,13,16
108,0,0,0,0,0,0,12,0,2,6,8,2
109,0,0,0,0,0,0,13,0,5,15,3,5
110,0,0,0,0,0,0,14,0,8,7,15,8
111,0,0,0,0,0,0,15,0,11,16,10,11
112,0,0,0,0,0,0,16,0,14,8,5,14
113,0,0,0,0,0,0,0,1,10,1,2,15
114,0,0,0,0,0,0,0,2,3,2,4,13
115,0,0,0,0,0,0,0,3,13,3,6,11
116,0,0,0,0,0,0,0,4,6,4,8,9
117,0,0,0,0,0,0,0,5,16,5,10,7
118,0,0,0,0,0,0,0,6,9,6,12,5
119,0,0,0,0,0,0,0,7,2,7,14,3
120,0,0,0,0,0,0,0,8,12,8,16,1
121,0,0,0,0,0,0,0,9,5,9,1,16
