gene,block1,block2,block3,block4,block5
1,11,9,9,11,2
2,13,8,5,10,8
3,10,6,15,3,11
4,15,8,9,0,6
5,4,1,11,14,9
6,5,15,5,11,0
7,1,12,8,13,9
8,2,5,12,9,6
9,7,7,6,6,1
10,4,0,12,0,8
11,8,2,1,7,7
12,4,12,13,5,7
13,10,0,4,14,6
14,10,11,11,10,15
15,15,4,11,6,4
16,15,9,14,4,1
17,15,11,6,10,9
18,13,6,0,7,13
19,14,15,13,12,1
20,12,9,14,1,14
21,11,7,10,14,1
22,9,6,11,14,14
23,9,14,5,0,4
24,13,15,8,6,5
25,14,0,9,7,5
26,11,7,15,3,12
27,13,0,12,9,1
28,0,9,3,10,13
29,15,12,10,13,5
30,6,0,15,5,7
31,14,7,8,15,6
32,0,10,0,6,0
33,9,15,4,14,5
34,6,6,3,3,3
35,3,3,5,5,14
36,4,3,6,7,14
37,13,2,13,8,0
38,1,1,13,13,4
39,3,10,12,5,7
40,11,8,3,6,8
41,8,9,0,15,8
42,4,11,2,11,2
43,7,8,4,3,3
44,2,13,8,13,10
45,5,8,2,15,3
46,8,3,14,3,10
47,2,0,0,2,2
48,13,8,2,7,11
49,0,14,2,4,14
50,13,14,9,8,4
51,6,8,11,9,11
52,4,1,1,4,3
53,6,9,10,7,12
54,8,7,4,5,4
55,7,9,1,15,6
56,9,0,8,1,1
57,15,7,0,8,15
58,11,9,6,8,5
59,15,1,3,1,12
60,11,2,12,5,15
61,3,7,11,7,8
62,8,3,10,15,14
63,2,2,13,13,5
64,7,3,11,15,12
65,2,12,10,0,8
66,14,2,7,3,7
67,14,10,15,3,15
68,7,9,8,6,15
69,9,3,10,0,15
70,13,2,3,14,10
71,9,8,13,14,12
72,8,1,5,12,3
73,5,10,5,0,0
74,1,13,0,4,1
75,13,15,10,8,3
76,9,5,0,4,9
77,9,7,7,9,2
78,14,12,13,15,1
79,15,7,15,7,0
80,2,1,2,3,0
81,0,10,2,8,14
82,12,6,13,3,15
83,0,13,14,1,2
84,4,15,6,11,14
85,1,11,1,7,0
86,14,9,9,14,5
87,9,2,5,12,4
88,8,6,5,7,3
89,13,5,15,7,14
90,2,4,4,2,14
91,11,9,13,15,14
92,6,0,3,9,3
93,11,6,6,11,5
94,15,5,8,2,7
95,0,13,15,2,1
96,10,11,14,13,12
97,6,13,15,8,7
98,3,13,9,15,10
99,2,9,0,9,2
100,11,11,0,0,11
101,15,0,5,4,10
102,15,12,9,12,6
103,14,15,12,11,2
104,11,0,4,15,7
105,2,12,11,1,7
106,3,8,3,14,0
107,4,11,7,0,13
108,5,6,0,15,5
109,10,1,5,14,5
110,2,13,1,6,1
111,7,13,2,12,5
112,5,0,3,8,2
113,10,3,7,14,3
114,15,15,0,0,15
115,3,8,14,9,5
116,9,9,10,10,15
117,14,14,1,1,13
118,13,6,1,8,12
119,13,6,7,14,6
120,11,13,4,2,7
121,15,13,0,2,15
