code,nbarcodes,ncpaths
Hamming_q2_n16_k11_w4cb_MERFISH_2015cb,1,0.7
Hamming_q2_n16_k11_w4cb_MERFISH_2015cb,2,4.262
Hamming_q2_n16_k11_w4cb_MERFISH_2015cb,3,19.068
Hamming_q2_n16_k11_w4cb_MERFISH_2015cb,4,62.02
Hamming_q2_n16_k11_w4cb_MERFISH_2015cb,5,141.874
Hamming_q2_n16_k11_w4cb_MERFISH_2015cb,6,311.692
Hamming_q2_n16_k11_w4cb_MERFISH_2015cb,7,580.922
Hamming_q2_n16_k11_w4cb_MERFISH_2015cb,8,966.414
Hamming_q2_n16_k11_w4cb_MERFISH_2015cb,9,1573.056
Hamming_q2_n16_k11_w4cb_MERFISH_2015cb,10,2439.506
MERFISH_2019cb,1,0.83
MERFISH_2019cb,2,2.824
MERFISH_2019cb,3,8.768
MERFISH_2019cb,4,22.394
MERFISH_2019cb,5,51.612
MERFISH_2019cb,6,102.048
MERFISH_2019cb,7,182.898
MERFISH_2019cb,8,309.49
MERFISH_2019cb,9,491.44
MERFISH_2019cb,10,714.952
RS_q11_n10_k7_w4cb,1,0.752
RS_q11_n10_k7_w4cb,2,1.7
RS_q11_n10_k7_w4cb,3,3.052
RS_q11_n10_k7_w4cb,4,5.098
RS_q11_n10_k7_w4cb,5,7.6
RS_q11_n10_k7_w4cb,6,11.68
RS_q11_n10_k7_w4cb,7,16.538
RS_q11_n10_k7_w4cb,8,24.08
RS_q11_n10_k7_w4cb,9,32.604
RS_q11_n10_k7_w4cb,10,45.448
RS_q13_n10_k6_w6cb,1,0.82
RS_q13_n10_k6_w6cb,2,2.124
RS_q13_n10_k6_w6cb,3,4.382
RS_q13_n10_k6_w6cb,4,8.482
RS_q13_n10_k6_w6cb,5,14.622
RS_q13_n10_k6_w6cb,6,28.23
RS_q13_n10_k6_w6cb,7,50.622
RS_q13_n10_k6_w6cb,8,95.314
RS_q13_n10_k6_w6cb,9,163.324
RS_q13_n10_k6_w6cb,10,286.044
RS_q13_n13_k9_w5cb,1,0.822
RS_q13_n13_k9_w5cb,2,1.892
RS_q13_n13_k9_w5cb,3,3.14
RS_q13_n13_k9_w5cb,4,5.244
RS_q13_n13_k9_w5cb,5,7.948
RS_q13_n13_k9_w5cb,6,11.998
RS_q13_n13_k9_w5cb,7,18.39
RS_q13_n13_k9_w5cb,8,27.862
RS_q13_n13_k9_w5cb,9,40.468
RS_q13_n13_k9_w5cb,10,58.874
RS_q8_n9_k6_w5cb,1,0.834
RS_q8_n9_k6_w5cb,2,2.31
RS_q8_n9_k6_w5cb,3,5.84
RS_q8_n9_k6_w5cb,4,13.938
RS_q8_n9_k6_w5cb,5,31.178
RS_q8_n9_k6_w5cb,6,69.21
RS_q8_n9_k6_w5cb,7,133.836
RS_q8_n9_k6_w5cb,8,243.282
RS_q8_n9_k6_w5cb,9,429.57
RS_q8_n9_k6_w5cb,10,693.672
q11_n10_k7_w4cb_pool1cb,1,0.762
q11_n10_k7_w4cb_pool1cb,2,1.684
q11_n10_k7_w4cb_pool1cb,3,3.022
q11_n10_k7_w4cb_pool1cb,4,4.738
q11_n10_k7_w4cb_pool1cb,5,6.58
q11_n10_k7_w4cb_pool1cb,6,8.598
q11_n10_k7_w4cb_pool1cb,7,11.94
q11_n10_k7_w4cb_pool1cb,8,15.39
q11_n10_k7_w4cb_pool1cb,9,21.122
q11_n10_k7_w4cb_pool1cb,10,25.76
q17n12md5w5cb,1,0.638
q17n12md5w5cb,2,1.544
q17n12md5w5cb,3,2.578
q17n12md5w5cb,4,3.956
q17n12md5w5cb,5,5.842
q17n12md5w5cb,6,7.88
q17n12md5w5cb,7,11.062
q17n12md5w5cb,8,15.338
q17n12md5w5cb,9,19.164
q17n12md5w5cb,10,26.216
seqFISHDNA_2020cb,1,0.758
seqFISHDNA_2020cb,2,2.026
seqFISHDNA_2020cb,3,4.452
seqFISHDNA_2020cb,4,8.216
seqFISHDNA_2020cb,5,14.146
seqFISHDNA_2020cb,6,23.876
seqFISHDNA_2020cb,7,38.32
seqFISHDNA_2020cb,8,60.832
seqFISHDNA_2020cb,9,94.134
seqFISHDNA_2020cb,10,140.08
seqFISH_intron_2018cb,1,0.798
seqFISH_intron_2018cb,2,3.314
seqFISH_intron_2018cb,3,13.344
seqFISH_intron_2018cb,4,41.414
seqFISH_intron_2018cb,5,109.564
seqFISH_intron_2018cb,6,249.884
seqFISH_intron_2018cb,7,500.478
seqFISH_intron_2018cb,8,939.276
seqFISH_intron_2018cb,9,1693.768
seqFISH_intron_2018cb,10,2778.498
seqFISH_n4k3q25_parity_checkcb,1,0.782
