gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
1,2,8,5,0,0,0,0,0,2,0
2,10,7,0,0,0,0,8,0,0,6
3,9,7,0,0,9,2,0,0,0,0
4,2,0,1,3,0,0,0,2,0,0
5,10,0,3,0,0,0,9,1,0,0
6,0,0,1,0,0,1,0,6,7,0
7,6,1,0,0,0,0,0,7,0,7
8,1,0,0,0,0,0,7,0,7,6
9,5,0,0,0,2,0,10,0,9,0
10,0,0,6,0,0,10,2,8,0,0
11,0,2,0,0,0,10,4,2,0,0
12,0,7,10,0,3,0,0,9,0,0
13,0,4,5,0,0,0,1,0,6,0
14,0,2,7,6,0,0,0,0,10,0
15,0,0,0,7,5,8,0,0,0,8
16,9,0,0,10,0,9,0,0,10,0
17,1,0,9,0,0,8,0,0,5,0
18,4,0,0,7,1,0,0,8,0,0
19,3,0,0,3,0,7,10,0,0,0
20,0,0,5,0,2,1,0,0,5,0
21,0,2,0,3,7,0,0,2,0,0
22,0,0,4,0,7,1,0,7,0,0
23,0,0,0,9,0,0,4,3,1,0
24,0,9,0,0,0,1,7,9,0,0
25,2,0,0,0,0,9,0,2,5,0
26,0,0,5,0,7,0,0,0,10,6
27,0,3,0,6,0,7,0,0,0,5
28,4,9,9,0,0,3,0,0,0,0
29,8,0,0,7,0,0,0,7,0,5
30,0,5,0,3,0,6,0,7,0,0
31,7,0,0,2,3,0,8,0,0,0
32,7,3,0,0,0,0,0,10,0,10
33,0,8,1,0,10,0,0,0,6,0
34,6,0,0,0,0,0,0,1,6,4
35,0,2,0,0,0,10,0,0,6,9
36,7,0,1,0,0,3,0,0,0,6
37,7,0,5,8,0,0,7,0,0,0
38,0,9,5,0,7,0,0,10,0,0
39,4,6,0,5,0,0,0,3,0,0
40,0,6,0,0,6,0,3,9,0,0
41,0,5,0,1,0,9,0,0,8,0
42,2,4,0,0,0,0,0,6,0,6
43,0,0,0,10,0,7,0,2,4,0
44,0,0,0,0,10,5,7,5,0,0
45,10,0,0,0,10,0,0,0,6,9
46,0,0,8,0,4,1,0,0,0,8
47,0,0,0,0,1,10,6,0,2,0
48,0,1,4,0,0,0,3,0,7,0
49,0,0,9,0,7,0,0,9,0,7
50,6,0,3,0,0,2,8,0,0,0
51,6,0,6,0,0,0,0,9,2,0
52,0,3,0,0,8,9,0,0,6,0
53,0,0,0,0,3,0,3,1,2,0
54,0,0,9,0,0,0,0,1,5,5
55,0,0,9,5,0,7,0,0,10,0
56,0,8,0,5,0,4,0,0,0,6
57,0,0,4,0,0,0,8,2,0,5
