gene,block1,block2,block3,block4
1,15,5,19,1
2,9,6,1,14
3,17,2,0,19
4,14,9,1,2
5,8,12,8,12
6,19,9,15,13
7,3,4,10,17
8,12,14,5,1
9,5,14,2,17
10,16,1,2,15
11,7,2,14,15
12,14,1,16,19
13,5,11,12,4
14,10,14,12,12
15,8,5,13,0
16,4,12,17,19
17,13,7,17,3
18,7,1,19,9
19,1,3,7,17
20,12,4,0,16
21,7,6,14,19
22,5,17,3,19
23,3,19,11,11
24,19,3,12,10
25,15,18,5,8
26,12,18,18,12
27,3,17,2,18
28,14,10,10,14
29,2,12,3,11
30,9,5,8,6
31,7,14,4,17
32,19,0,6,13
33,8,16,1,3
34,11,12,12,11
35,10,5,1,14
36,10,12,0,2
37,13,6,5,14
38,0,4,17,7
39,15,12,3,4
40,8,15,18,5
41,11,17,13,15
42,4,10,4,10
43,5,6,7,4
44,17,18,6,9
45,8,10,0,18
46,7,17,10,14
47,1,17,11,7
48,13,19,7,5
49,6,17,0,3
50,14,3,3,14
51,11,9,3,17
52,15,11,3,3
53,16,7,12,11
54,11,12,11,12
55,1,14,4,11
56,15,6,1,0
57,12,5,16,1
58,19,11,15,15
59,17,14,15,16
60,16,8,4,0
61,2,12,15,19
62,12,0,9,3
63,4,9,8,5
64,12,19,18,13
65,2,15,16,1
66,8,14,0,2
67,19,9,13,15
68,1,1,18,4
69,19,4,0,3
70,0,11,14,17
71,7,8,14,1
72,1,14,1,14
73,2,8,4,6
74,7,2,7,2
75,1,9,6,4
76,12,15,8,19
77,3,12,16,19
78,0,11,0,11
79,16,2,4,14
80,10,2,5,7
81,12,10,19,3
82,18,6,3,1
83,15,17,14,18
84,3,7,9,1
85,7,9,12,4
86,7,13,4,16
87,3,11,10,4
88,16,0,8,8
89,15,18,7,6
90,5,11,6,10
91,10,17,8,19
92,17,6,13,10
93,11,2,9,4
94,17,17,12,2
95,0,1,15,6
96,14,15,12,17
97,0,3,11,12
98,5,14,13,6
99,5,0,1,4
