gene,cpath,cost,x,y
6612,"[17, 22, 35, 37, 43]",0.650744889,0.882603806,0.152226873
9838,"[5, 10, 20, 26, 40]",0.755968973,0.809614355,0.772301175
12306,"[1, 13, 24, 32, 33]",1.007318827,0.757593627,0.118852374
1628,"[21, 30, 41, 44, 49]",1.183620636,-0.003384421,0.415054429
4756,"[6, 16, 34, 42, 50]",1.570832858,0.537797327,0.222509254
4640,"[9, 14, 29, 46, 48]",3.316256744,0.458941503,0.631769033
2487,"[3, 7, 36, 45, 52]",3.447042716,0.203020919,0.905777807
8350,"[2, 12, 15, 25, 51]",3.865803452,0.75777278,-0.021738029
5105,"[8, 27, 28, 38, 53]",3.990171974,0.595828093,1.254327645
12202,"[4, 11, 19, 23, 31]",4.35076253,0.324376797,0.101344061
