lvf,lwvf,svf,dr,negative_control_barcodes,gene_encoding_barcodes,est_FDR
4.5,1,0,0,2076578,11538950,0.128544625
4.5,1.5,0,0,1899336,11209620,0.121027169
4.5,2,0,0,1764973,10880702,0.115865226
4.5,2.5,0,0,1658874,10553817,0.112273124
4.5,3,0,0,1572233,10230399,0.109773194
4.5,3.5,0,0,1498954,9916059,0.107974492
4.5,4,0,0,1435469,9611888,0.106673632
6,1,0,0,1568746,10332825,0.108443998
6,1.5,0,0,1414398,10005445,0.100973449
6,2,0,0,1296026,9680361,0.095629993
6,2.5,0,0,1201530,9359620,0.091695573
6,3,0,0,1124368,9046028,0.088781507
6,3.5,0,0,1059253,8743604,0.086532886
6,4,0,0,1003206,8453493,0.084766819
7.5,1,0,0,1234452,9333991,0.094466711
7.5,1.5,0,0,1099749,9013962,0.087146473
7.5,2,0,0,995614,8698646,0.081754431
7.5,2.5,0,0,912968,8390844,0.077718046
7.5,3,0,0,845757,8094248,0.074634746
7.5,3.5,0,0,789827,7810714,0.072229266
7.5,4,0,0,742154,7540043,0.070305965
9,1,0,0,998536,8480472,0.084103809
9,1.5,0,0,881528,8172820,0.077043524
9,2,0,0,790333,7872273,0.071710365
9,2.5,0,0,718057,7583658,0.067631987
9,3,0,0,659567,7305969,0.064484162
9,3.5,0,0,611379,7042785,0.062006619
9,4,0,0,570463,6792434,0.059989331
10.5,1,0,0,825164,7742781,0.076122889
10.5,1.5,0,0,721968,7451407,0.069207256
10.5,2,0,0,641891,7171143,0.063935913
10.5,2.5,0,0,578662,6901836,0.059886963
10.5,3,0,0,528155,6644618,0.05677581
10.5,3.5,0,0,486469,6401305,0.054282347
10.5,4,0,0,451444,6172009,0.052245549
12,1,0,0,692183,7105156,0.069585584
12,1.5,0,0,600710,6832441,0.062800187
12,2,0,0,530450,6570617,0.05766473
12,2.5,0,0,475072,6320395,0.05368923
12,3,0,0,431443,6083669,0.050655874
12,3.5,0,0,395268,5860151,0.048178671
12,4,0,0,365236,5648886,0.046183063
13.5,1,0,0,587618,6551860,0.064062288
13.5,1.5,0,0,507088,6297306,0.057517566
13.5,2,0,0,445177,6054242,0.052522442
13.5,2.5,0,0,396651,5823364,0.048652659
13.5,3,0,0,358214,5604441,0.045654356
13.5,3.5,0,0,327189,5398153,0.043293776
13.5,4,0,0,301335,5203499,0.041364337
