pos,cell,lvf,zvf,dr,negative_control_barcodes,gene_encoding_barcodes,est_FDR
0,1,2,1,0,4845,11405,0.062943962
0,2,2,1,0,6628,13074,0.075115507
0,3,2,1,0,7581,18251,0.061545374
0,4,2,1,0,7007,12686,0.081839505
0,5,2,1,0,3970,8396,0.070060569
0,6,2,1,0,5210,12677,0.060894325
1,1,2,1,0,5892,11954,0.073030634
1,2,2,1,0,5842,10761,0.080438601
1,3,2,1,0,8569,21213,0.059852685
1,4,2,1,0,5622,14990,0.055570563
1,5,2,1,0,4219,10414,0.060027124
1,6,2,1,0,9654,20849,0.068608457
1,7,2,1,0,8757,20497,0.063302467
1,8,2,1,0,4784,6921,0.102418381
1,9,2,1,0,4854,7045,0.102087921
1,10,2,1,0,5768,13223,0.064632483
1,11,2,1,0,7833,17157,0.067646037
1,12,2,1,0,11555,22695,0.0754389
1,14,2,1,0,8821,17439,0.074946582
2,1,2,1,0,8712,14158,0.091174112
2,3,2,1,0,5396,10825,0.073858353
2,4,2,1,0,4299,8502,0.074920718
2,5,2,1,0,4392,9483,0.06862339
2,6,2,1,0,3396,5093,0.098798327
2,7,2,1,0,4744,7307,0.096196918
2,8,2,1,0,6222,11336,0.081325315
2,9,2,1,0,4633,9840,0.069762621
2,10,2,1,0,4627,8872,0.077274028
2,11,2,1,0,4530,6518,0.102976809
2,12,2,1,0,5202,7576,0.101738649
2,13,2,1,0,6251,11148,0.083082226
2,23,2,1,0,7182,12830,0.082941967
2,28,2,1,0,8276,14424,0.085013981
2,29,2,1,0,4618,8217,0.083271469
2,31,2,1,0,14956,26939,0.082260164
3,1,2,1,0,6022,22260,0.040084011
3,2,2,1,0,8812,22013,0.05931313
3,3,2,1,0,8781,24686,0.052704638
3,5,2,1,0,3701,12004,0.045682376
3,8,2,1,0,4901,12660,0.057359662
3,9,2,1,0,8229,20748,0.058766038
3,11,2,1,0,5330,18187,0.04342319
3,13,2,1,0,9644,24160,0.059144703
4,3,2,1,0,6594,12558,0.077800798
4,5,2,1,0,5653,9855,0.084991979
4,6,2,1,0,9737,18301,0.078832615
4,8,2,1,0,9145,18890,0.071731075
5,2,2,1,0,11627,28491,0.060466602
5,7,2,1,0,7464,22355,0.049471211
5,11,2,1,0,5385,11576,0.068925952
6,1,2,1,0,5027,12577,0.059222592
6,6,2,1,0,1025,3160,0.048060952
6,7,2,1,0,10369,22069,0.069616119
6,8,2,1,0,7556,15398,0.072708171
6,10,2,1,0,9385,18146,0.076631787
7,2,2,1,0,10837,22120,0.072590458
7,4,2,1,0,6320,16908,0.055383503
7,5,2,1,0,1603,5841,0.040663233
7,8,2,1,0,5906,11400,0.076761628
7,9,2,1,0,8550,18587,0.068157304
7,10,2,1,0,8498,16197,0.077738782
7,11,2,1,0,13254,28931,0.067879574
7,12,2,1,0,8909,21391,0.061709703
8,2,2,1,0,8323,17257,0.07146118
8,3,2,1,0,9097,23126,0.058284525
8,4,2,1,0,6934,18631,0.055144634
8,6,2,1,0,9473,19664,0.071379131
8,7,2,1,0,9934,22975,0.0640655
8,8,2,1,0,13141,26780,0.072706532
8,9,2,1,0,10926,21924,0.073840901
8,12,2,1,0,7516,17644,0.063116849
9,3,2,1,0,5699,14306,0.059025004
9,7,2,1,0,9583,25355,0.0560007
9,8,2,1,0,6036,19005,0.047058377
9,10,2,1,0,12996,26106,0.073760687
9,12,2,1,0,9594,23117,0.061492737
9,13,2,1,0,11823,31210,0.056129285
9,14,2,1,0,14096,30958,0.067465009
10,6,2,1,0,7871,24194,0.048203417
10,7,2,1,0,3803,13179,0.042756235
10,8,2,1,0,8469,18339,0.068424569
10,9,2,1,0,7133,17629,0.059951511
10,11,2,1,0,6436,17214,0.055397456
10,15,2,1,0,7706,18918,0.06035446
10,16,2,1,0,6474,12274,0.078152372
11,3,2,1,0,8409,15216,0.081884073
11,4,2,1,0,6999,12511,0.082889507
11,5,2,1,0,8075,16201,0.073850985
11,6,2,1,0,10477,26700,0.058140835
11,12,2,1,0,10424,34531,0.044728139
11,13,2,1,0,11854,23374,0.075142816
12,2,2,1,0,3281,12316,0.039472273
12,3,2,1,0,3496,13227,0.039162071
12,4,2,1,0,6079,14486,0.062178358
12,6,2,1,0,3424,13664,0.037128849
12,7,2,1,0,6674,19658,0.050303993
12,12,2,1,0,6454,18542,0.051573662
12,13,2,1,0,3985,11508,0.051307879
12,14,2,1,0,2932,10039,0.043274205
12,15,2,1,0,6703,22201,0.044735497
12,16,2,1,0,6286,35817,0.026004036
13,9,2,1,0,8373,26897,0.046124623
13,10,2,1,0,9895,15333,0.095619011
13,11,2,1,0,8132,22777,0.052900093
14,4,2,1,0,9778,22144,0.065425876
14,6,2,1,0,12880,33362,0.057203074
14,7,2,1,0,2819,5429,0.076936216
14,9,2,1,0,6436,12204,0.078139283
14,10,2,1,0,5002,10719,0.069142488
14,11,2,1,0,14303,28076,0.075482711
14,12,2,1,0,13606,29686,0.0679101
14,13,2,1,0,12563,45204,0.041178648
14,14,2,1,0,9497,20162,0.069792445
15,3,2,1,0,4212,9778,0.063825454
15,7,2,1,0,6161,10493,0.08699757
15,8,2,1,0,4575,8728,0.07766618
15,9,2,1,0,7347,13365,0.081451045
