cell id,acly,aebp1,aldh18a1,axl,btg1,col1a1,col1a2,col6a1,ctdsp2,ctsb,ddb1,eif3a,eif4g1,eif4g2,fbln2,flna,fn1,fstl1,ganab,grb10,hdlbp,ipo5,kpnb1,ltbp3,malat1,mrpl17,mybbp1a,myh9,naca,ncl,nedd4,prrc2a,ptgs2,rps15a,rps6ka3,rps6ka5,rps6kc1,sars,scd1,scd2,serbp1,srebf2,stt3a,thbs1,thbs2,tnc,top2a,trps1,xdh
cell_10_Pos13_z4,56,174,33,212,83,295,207,70,66,214,218,145,138,205,154,148,301,26,59,211,131,79,281,53,186,26,225,148,15,119,156,192,43,14,45,7,16,52,47,103,14,58,51,31,121,83,15,37,35
cell_10_Pos16_z4,50,81,17,117,47,123,133,18,38,132,108,72,85,108,118,70,223,16,29,136,78,36,107,27,321,3,131,82,8,83,93,82,59,4,27,4,5,22,13,78,10,33,21,16,46,19,15,15,36
cell_10_Pos1_z4,63,73,29,195,56,339,288,102,84,250,248,164,188,280,255,147,431,39,62,224,135,136,249,45,229,20,299,162,16,171,179,215,122,11,52,7,4,49,48,134,29,62,59,48,43,91,25,29,13
cell_10_Pos31_z4,61,139,58,226,98,293,275,125,94,257,352,204,197,299,190,133,505,53,46,309,152,88,214,76,198,30,263,203,21,185,293,224,207,14,53,17,13,63,44,116,23,55,54,131,124,67,38,64,54
cell_10_Pos33_z4,158,254,99,399,39,630,635,98,120,623,472,329,325,432,500,277,698,50,136,302,230,132,402,97,323,48,593,295,10,199,397,241,82,8,34,12,14,54,75,224,13,99,93,39,129,161,359,38,55
cell_10_Pos3_z4,99,353,129,386,111,447,364,109,105,374,426,294,245,364,432,207,653,80,121,407,228,129,441,106,442,57,469,213,28,230,248,399,150,23,82,19,19,99,54,127,33,106,104,225,115,90,395,54,59
cell_10_Pos4_z4,122,299,82,444,107,592,524,83,96,501,393,239,338,406,429,312,826,110,118,446,207,180,400,95,292,42,534,404,23,307,314,342,98,11,92,12,20,101,47,183,27,129,115,124,90,154,264,57,116
cell_10_Pos5_z4,47,133,59,174,69,317,269,94,81,224,285,204,145,253,226,120,340,40,73,237,178,95,304,67,210,19,297,132,24,127,131,232,152,14,62,6,12,43,36,97,34,57,61,40,68,90,34,37,8
cell_10_Pos9_z4,103,394,71,260,109,796,598,287,105,530,449,258,216,319,487,238,984,81,107,551,354,155,487,171,446,59,589,326,22,241,216,378,174,18,70,15,21,82,80,173,34,149,88,154,145,253,353,54,31
cell_11_Pos11_z4,64,117,55,199,56,249,223,87,78,212,269,218,188,310,201,90,374,31,72,226,147,114,341,60,293,18,325,160,15,175,192,258,130,13,44,10,7,47,40,96,22,79,59,89,49,77,43,26,18
cell_11_Pos1_z4,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0,0,3,0,0,0,1,0,4,0,0,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
