gene,x,y
Arpc5,1344.616679925257,1339.6622594750484
Khdrbs1,1350.8768541858192,1344.4493067832736
Tpm4,1367.8885836081572,1354.440183647998
Tpm4,1390.201233162944,1376.0906781560043
Tpm4,1470.4207241436502,1450.2264735425156
Vat1,1485.7451370429558,1503.2351256532768
Use1,1488.408120610525,1477.934162362591
Ltbp3,1497.6683983318428,1490.5726267974137
Msn,1528.73815399281,1561.709084144307
Mrfap1,1527.2796341006056,1560.6962560623997
Tpm4,1529.3414025593345,1544.4535551864406
Vim,1531.5873696977076,1572.8242097830223
Zfp36l1,1530.6914231440971,1572.2746359451992
Hdgf,1532.70533499541,1572.905240834098
Zfp36l1,1536.6137220717667,1545.454580630529
Tpm4,1537.8847707104374,1522.9483114306515
Tpm4,1538.169192366485,1530.9625075588156
Rrp1,1538.355034329139,1541.4626413395804
Mvd,1538.5590664585843,1540.5929240075072
Cops7a,1539.7025512004627,1563.238044734761
Tpm4,1543.5520616453648,1564.6271778685616
Tpm4,1546.722375939446,1553.642695165125
Tpm4,1548.5929900363612,1614.1358944377905
Ltbp3,1550.2057976173337,1860.684189362357
Tpm4,1551.1274906287124,1524.3769948289018
Arf1,1556.6406262574988,1553.3538801541747
Polr2m,1558.2588413170256,1516.80288778901
Rarg,1558.8556934272692,1518.093905588099
Mvd,1559.5762095854252,1805.6047018176
Tubb5,1560.2094059147375,1578.9879115763233
Khdrbs1,1564.0775699679884,1656.9874968253826
Tpm4,1567.3928715420286,1526.8187565993608
Spp1,1569.82023640531,1863.9195357615224
Tpm4,1571.2491367178418,1818.331086687636
Arpc5,1573.7146056089364,1763.0419754930083
Arpc5,1574.841324219006,1864.3615574834823
Mvd,1574.366115723344,1612.1327467256197
Ltbp3,1576.466965449446,1608.5428970733342
Ppm1g,1576.8017796918227,1614.503197909446
Ppm1g,1578.6539952321273,1626.2874403911114
Rpl15,1578.5165450436746,1879.743652196583
Ltbp3,1580.282332654654,1679.316689701952
Arpc5,1580.1096742924049,1727.1380556982704
Tpm4,1580.1330030799172,1818.785009698909
Rarg,1580.2574997837205,1669.2887512706577
Nucb1,1580.9259078538864,1633.2228904219269
Gpi1,1581.878081002788,1632.9207574556578
Tpm4,1580.4474611137953,1634.836287058504
Ppm1g,1583.9659976166088,1660.8040907783843
Arpc5,1583.782712768338,1717.3985105299023
Ppm1g,1585.4513359489886,1567.2659723124814
Ppm1g,1585.5583856213404,1820.0342298748951
Zfp36l1,1586.1068033677388,1729.5735349354015
Hspa8,1586.3818873857626,1728.73958195052
Eef1g,1584.756526442606,1729.5936512093222
Cs,1585.3923640768685,1729.7735604140785
Tpm4,1586.747229930676,1771.388160291025
Rarg,1587.4315556865197,1581.1057965711905
Cops7a,1587.104414204899,1857.008100137191
Tpm4,1587.2702600422876,1557.8569160232423
Rarg,1588.204275163327,1611.3536888626854
Rarg,1589.447983344519,1600.683440566314
Rarg,1590.025848273138,1887.4357366024344
Tpm4,1589.520157938414,1888.0663527718132
Rarg,1589.8055407032905,1622.6131270800058
Rpsa,1589.1248563623176,1705.3754705267363
Tpm4,1591.3801348179402,1524.6284230157207
Zfp36l1,1592.1246706397174,1903.2411298036864
Khdrbs1,1593.8541727949464,1596.1262466235962
Mvd,1594.1591411723982,1709.1205693735874
Vat1,1594.9486409675787,1709.8901950839088
Twist2,1596.1357827493864,1774.4653922408909
Ncl,1596.3447537932666,1776.1445391062484
Mvd,1595.0595558630948,1920.370701105332
Tpm4,1595.9620109327202,1852.7515568804515
Mvd,1597.0248469313572,1941.1719181126743
Cops7a,1597.5034312469638,1889.088167444912
Tpm4,1596.6378898279715,1871.4526143666667
Rarg,1598.343951231348,1780.221575106115
Zfp36l1,1600.6033971383736,1852.3763666962268
Rarg,1601.05969023732,1734.7909457803094
Mdh2,1603.0607408266233,1862.636082995249
Zfp36l1,1603.814059077475,1889.4222949092664
Ckap4,1605.1479525539758,1684.675586475534
Rarg,1605.4629017413204,1565.0532659136138
Rarg,1606.4323657629302,1587.0814185180102
Arpc5,1606.0483684690416,1857.359086782372
Khdrbs1,1606.8435994008728,1879.725852389886
Mvd,1609.931865395921,1796.609190714767
Tpm4,1610.3408146846584,1615.8006796326815
Khdrbs1,1610.283098560381,1830.013895172202
Tpm4,1610.4239942848944,1732.9401710461398
Ube2m,1611.348793548813,1871.347988376552
Hspa8,1612.8554922130184,1659.1821942773172
Aco2,1612.8183660448751,1658.8158663080849
Ncl,1611.392614636819,1627.3930114560108
Tpm4,1612.483267624794,1581.8268154262823
Khdrbs1,1612.6210182298323,1569.3525380545182
Arpc5,1614.2083752869275,1872.673684432672
Cops7a,1614.3061186549694,1887.512879158816
Khdrbs1,1614.277084296719,1951.4643458512865
Ppm1g,1615.1743860253675,1904.6700582387705
Khdrbs1,1615.4685400046524,1702.6161744968656
Arpc5,1619.1898959595735,1586.6257556904593
Malat1,1621.1279248524356,1810.4957888917384
Prpsap1,1621.4330587320471,1810.5296447955425
Arpc5,1620.6210824422176,1801.9443501534963
Eif4g2,1620.9552042507066,1868.8753462584384
Cops7a,1620.7794138006343,1899.5264677923417
Ppm1g,1621.4241182771525,1975.0841794368969
Khdrbs1,1622.822306188208,1526.0596365347756
Tpm4,1623.2798988718073,1984.8972656384108
Rarg,1625.0623266245975,1704.8670137339268
Tpm4,1625.8203912199506,1813.9634212248584
Rarg,1627.2133450146762,1868.967520896762
Mrpl35,1627.8957753399588,1891.23426389
Khdrbs1,1627.8891699473477,1936.4299923025503
Rarg,1632.160693927026,1652.3590674669065
Zfp36l1,1633.8888978282655,1803.7669430969208
Khdrbs1,1635.7879933678323,1913.661757752384
Tpm4,1636.5132444655303,1683.5417321075483
Arpc5,1637.5659153534718,1540.06809696759
Zfp36l1,1637.358713527352,1603.663503110285
Rarg,1640.6858329901115,1558.2482336685284
Cops7a,1644.8841611719477,1867.9818032920327
Tpm4,1644.7191284981618,1622.5261512727636
Sfpq,1644.4772352076734,1634.9840504822766
Npc2,1644.457633932819,1636.2211761959718
Ltbp3,1645.3446009260128,1584.3713179735405
Tpm4,1648.0561887068432,1867.03574435468
Mrpl12,1648.2388830111522,1868.202343520364
Tpm4,1652.424445444086,1871.3865853952047
Arpc5,1652.9735702103058,1614.8425671421542
Tpm4,1655.8062756762558,1867.4084701570248
Rarg,1657.165570552609,1601.2782969692094
Rarg,1659.815060436651,1882.170868187468
Khdrbs1,1664.4142493029,1868.1585470162363
Arpc2,1665.833855948757,1609.669783197915
Khdrbs1,1666.3196406698123,1779.0314564095938
Rarg,1666.6368432491206,1740.330761491311
Zfp36l1,1668.5454055072537,1887.9888438938715
Tpm4,1671.3384034992628,1993.4552601655407
Cops7a,1671.2661867724094,1607.6235928057004
Rarg,1672.1327180017147,2038.729853277193
Arpc5,1672.6379811913116,1864.0086364766555
Zfp36l1,1673.2425283686764,1873.6121977871896
Tpm4,1674.578414359608,1642.4825362575052
Mvd,1676.006987664277,1625.038718838112
Ltbp3,1679.6583827195172,1640.295838235292
Rarg,1679.839539355302,1869.3792583264171
Junb,1681.2803417159091,1656.973439526737
Nfe2l1,1681.710213781625,1657.8237650370097
Zfp36l1,1684.0095629826994,1667.6621995033693
Ppm1g,1685.227692339326,1737.1297185330109
Khdrbs1,1686.7467500150208,1655.57022562004
