gene,x,y
negative_control,724.7144479185652,512.5365633503869
Prpsap1,724.6365872506733,512.5427564755508
negative_control,724.5892980082979,512.4504021746429
negative_control,724.6337995992033,512.4843221431174
negative_control,724.503620095075,512.6875721419034
Ltbp3,750.7866409212597,494.6671659903004
Zfp36l1,764.8862121740636,513.0244246032138
Ppm1g,771.6774824119293,485.7968769681553
Khdrbs1,772.1179572426223,522.9395376887799
Khdrbs1,781.2173747094519,530.8018801412389
Cops7a,791.6631887234494,522.8047018879317
Arpc5,792.6066428974442,482.154666336321
Nap1l1,796.4760993584267,531.4654904151621
Nap1l1,796.9127392440745,505.5311602078998
Ptbp1,796.2005545319903,505.1452099480035
Xdh,801.5268611898623,527.1656149360574
Vat1,800.3499877315976,525.0698477341363
Ywhag,803.556866769657,537.4190159107836
Vim,803.9986114392567,539.0498896081166
Tbrg1,802.5525958137039,537.4931388489804
negative_control,804.8984373352457,539.082936150946
negative_control,801.9285744364774,538.3616975239227
negative_control,801.726459227967,537.6515857452515
Rps6kb1,805.6609557402062,540.5400075996192
Ywhah,803.5045433128536,518.2357096617925
Khdrbs1,803.356792088946,518.77692306313
Gsto1,802.5330628844227,518.6770553272511
negative_control,806.5566341885985,537.4304294689596
Fus,805.5553339227138,537.0109462972304
Puf60,807.404043069949,536.9908869546068
negative_control,811.5108304664744,518.8210517789831
Tpm4,817.6920319348037,519.7936305646457
Ppm1g,820.3777039834066,496.0662752654291
Tpm4,820.7829446754563,543.0202138215734
Arpc5,824.4169526408182,487.1246486448135
Tpm4,828.6649329538652,519.3403586855964
Khdrbs1,830.2486757235346,554.5862445865554
Mdh2,829.5647041850739,529.6275496040892
negative_control,829.9315176176046,529.0756997762574
Actn4,830.2125929595815,480.02836862263325
negative_control,829.3572716469271,479.5104617457666
Rrp1,831.3288985741581,480.07658184840216
Mbd3,830.5303599384436,480.21766667041993
negative_control,832.3395958044862,480.1357502819196
Vim,829.4367112101704,480.2703833988758
Fus,830.1004501446444,480.41060476728455
Hspa9,833.0607611709713,482.1648257908061
Gsto1,830.6898899502935,478.4527088182987
negative_control,832.2843158484052,480.5874203778124
Vim,832.266766696104,518.0962534440374
Ehmt2,833.4352590581134,517.6718266514388
negative_control,833.8407686043214,516.9206118677569
Cnn2,832.2504053644582,517.8198839318877
negative_control,833.6170557272101,517.9924342792751
Ppm1g,837.0789308450932,536.5850198000081
negative_control,838.9248023579652,487.3318192809472
Rarg,838.9086007093159,486.9218886394672
negative_control,839.1970537470378,488.5408763326798
Pdia6,838.1802666228357,487.76088540352816
Khdrbs1,839.4646853356517,502.7288661974951
Sae1,839.908360446698,502.10311403503016
Khdrbs1,841.2135192561682,520.3183267277274
Uba1,841.223488534632,520.9421712742835
negative_control,840.5543986236584,520.7686052653737
Loxl1,845.3903750435653,491.2359296621013
Cops7a,845.1860066479397,533.5881080572583
Khdrbs1,845.7456354184742,411.17451381543054
Cops7a,848.0624283503217,567.8472328908455
Spp1,849.4094616983015,549.0440278653306
negative_control,849.9384944852511,506.3307314714496
negative_control,851.6799154387256,463.95449213551456
Rpl18a,853.7250265382518,499.9703387849298
negative_control,852.695603730378,499.2271874837768
Ywhah,850.5532447740502,500.1804924045812
Arf1,851.730737566266,500.60609233604896
Got2,854.1763178329102,498.3936019717119
Zfp36l1,852.460019780224,499.4063947805033
Mvd,852.7702334198274,557.6785535249819
Fxr1,853.0849741112581,556.2781689527695
negative_control,851.9695873696767,557.3048580170687
Eef1g,853.0288134306797,557.9700472790504
Ywhaq,850.7178698777875,556.0994060655394
negative_control,852.1383797702796,556.6675555770121
negative_control,854.1186412585981,522.3219223430426
negative_control,854.1410406770256,567.7176789864977
Tubb5,856.3573437235672,484.7166289288716
Taldo1,855.8204879764145,483.2789058344766
Pdia6,856.003737228042,485.0711805121764
Ppm1g,855.7679852811432,483.8127441177721
