,gene,gene_number,x,y
0,Ppm1g,150,1176.5113012720465,1455.8413666129393
1,Cops7a,17,1198.3064680999285,1543.8996680433634
2,Cops7a,17,1200.9374249260095,1507.5491139815072
3,Cops7a,17,1204.1889386069747,1451.8537908671983
4,Tpm4,239,1206.087158781785,1435.0929379489094
5,Tpm4,239,1207.4886777946838,1384.9706891270098
6,Ppm1g,150,1208.4056829649328,1440.3294767429688
7,Tpm4,239,1207.87671017003,1488.578116605143
8,Uqcrc1,256,1212.4014471908658,1459.1912379648347
9,Tpm4,239,1213.2921364420806,1460.9530793635831
10,Paics,137,1212.0481724294757,1459.1538546239335
11,Tubb5,246,1214.7594651584027,1435.5008912725712
12,Arf1,6,1214.8165018027958,1434.6898789688007
13,Ugdh,255,1214.8034932121036,1435.5480470400496
14,Rpl15,186,1215.0657621141495,1435.2884641253238
15,Zfp36l1,269,1218.3904003732414,1459.3645106664817
16,Zfp36l1,269,1221.0665295457943,1439.4959860263316
17,Spp1,214,1224.079189884376,1247.269118772518
18,Psap,160,1225.9545871410965,1351.8351673818252
19,Zfp36l1,269,1227.3790800699276,1453.341571827889
20,Tpm4,239,1227.4262674535046,1458.2241342295442
21,Arf1,6,1231.0420983667518,1224.1837073709414
22,Cops7a,17,1235.4202399881085,1328.3766502796716
23,Rarg,179,1238.7831853221396,1197.944005354264
24,Ltbp3,80,1239.4321441820784,1212.2358153473592
25,Use1,258,1239.502146036601,1227.417359042571
26,Tpm4,239,1241.200743596738,1359.9933918158952
27,Zfp36l1,269,1242.2903462255656,1430.3519584595033
28,Rarg,179,1246.4835851855723,1252.4438725943255
29,Spp1,214,1248.1822700293735,1197.7773420154406
30,Khdrbs1,73,1253.487400299679,1411.6889856626651
31,Arpc5,8,1257.7356099327587,1157.6659813524216
32,Tpm4,239,1260.4451408413436,1174.9231013065837
33,Spp1,214,1261.7342629814402,1409.1598459784177
34,Msn,112,1272.770638534411,1329.521218409748
35,Spp1,214,1271.8020009997456,1328.808800870384
36,Ybx1,263,1273.3993527611146,1329.735892280446
37,Spp1,214,1278.2163309848113,1216.249725415705
38,Tpm4,239,1278.0884849797449,1207.613750788776
39,Lmna,77,1279.8225132408752,1382.1987530890035
40,Khdrbs1,73,1279.5644587259196,1380.4976273698026
41,Rpsa,197,1279.7978264619392,1378.6552546281314
42,Spp1,214,1283.8005562030946,1379.70667449759
43,Cops7a,17,1289.1284612763989,1330.7176805460076
44,Cops7a,17,1294.9008653718683,1216.3384054798098
45,Ltbp3,80,1302.9516363073706,1148.8741315122538
46,Tpm4,239,1307.6876582497562,1109.592830905137
47,Rps6ka2,192,1306.4309250203603,1220.375837604235
48,Ltbp3,80,1311.1945542178526,1253.447100843336
49,Zfp36l1,269,1325.1261785198683,1242.0927278797292
50,Rps6ka3,193,1327.755010865311,1048.7892546391304
51,Tubb5,246,1336.724490785457,1126.0324113011732
52,Msn,112,1336.9968677805089,1126.04590892964
53,Ppm1g,150,1335.6542908604456,1154.1163980858826
54,Zfp36l1,269,1342.6667649641631,1153.354562413481
55,Arpc5,8,1346.8123022490638,1122.0373650362003
56,Cops7a,17,1349.2418484001066,1113.415978547876
57,Zfp36l1,269,1353.5281661702577,1162.5636646761932
58,Cops7a,17,1384.4211002618554,1125.7417612086642
59,Psmd2,163,1162.9180853866071,1406.523781179665
60,Rpsa,197,1169.6542918483317,1500.6435310294994
61,Rpsa,197,1170.87975938856,1453.0183705096715
62,Psmd8,166,1175.72820753766,1526.5785303952025
63,Rpsa,197,1176.715799498813,1471.7623688450683
64,Rpsa,197,1181.6398333022014,1398.8527383400708
65,Rpsa,197,1183.6397583047838,1472.0557175601366
66,Rpsa,197,1185.4045236051277,1445.2086862112324
67,Rpl18a,187,1184.6588551051354,1513.454111494961
68,Rpsa,197,1189.8416790918477,1362.4572112293904
69,Psmd2,163,1192.7593049613895,1515.6907105400128
70,Rpsa,197,1193.697384408756,1381.886980353219
71,Hspa8,62,1199.0714417431575,1463.7282680665403
72,Lamp1,74,1198.8776790748068,1462.4387273540283
73,Psmd2,163,1201.7481197940538,1447.3812240380582
74,Psmd2,163,1201.8465280866726,1425.754465135297
75,Rpsa,197,1203.766618125619,1340.9403284826942
76,Psmd8,166,1203.805607528027,1433.7801244422496
77,Rpsa,197,1207.3311711365272,1424.8716690715055
78,Ctsb,25,1208.0748459894462,1335.8276783272468
79,Aebp1,4,1207.4786865571402,1356.277537797359
80,Tspan3,245,1209.0488802357345,1319.7833132597543
81,Rpsa,197,1210.3026501324618,1456.039718778391
82,Myc,117,1210.8593435049606,1395.8112749001257
83,Rpsa,197,1211.371592921102,1352.7826020106456
84,Prrx1,159,1212.168967473569,1332.8727338084952
85,Rpsa,197,1214.0053681031422,1432.443428109745
86,Rpsa,197,1213.9841061005884,1478.9128857925004
87,Rpsa,197,1214.9320686001756,1326.3624788787895
88,Rpsa,197,1215.2916136363676,1357.9759579465754
89,Maged1,82,1215.0507647187123,1452.0978451359788
90,Msn,112,1215.0938946483273,1451.958556784668
91,Eef1g,28,1213.0070738904726,1451.9800013826707
92,Maged1,82,1216.1701742556847,1458.4713341940146
93,Psmd8,166,1216.710593784482,1458.0209969776918
94,Rpsa,197,1216.1655854038895,1322.430428305922
95,Rpsa,197,1218.1314106556968,1459.879879880336
96,Rpsa,197,1218.06309865523,1381.9310597992571
97,Rpsa,197,1218.1169256798146,1314.5309953113704
98,Rpsa,197,1219.766609233329,1432.6193992598196
99,Rpsa,197,1220.3416234721335,1330.968413277652
100,Rpsa,197,1223.9757752998175,1439.988516014013
101,Ctsb,25,1223.779386924194,1307.0496629971904
102,Ube2m,252,1224.7246507694822,1455.6308770798755
103,Eif4g2,38,1225.9836489097615,1456.4904358405745
104,Ctsb,25,1225.7073762971822,1325.9481085176667
105,Fbln2,42,1226.1432573847628,1245.249919766287
106,Rpsa,197,1226.304147742548,1304.822481888295
107,Ctsb,25,1227.6608690229104,1300.001389527596
108,Psmd2,163,1228.2784390903869,1247.0307306941377
109,Rpsa,197,1229.1356493717024,1208.036902647516
110,Rpsa,197,1228.9127681839764,1234.2925322101794
111,Cct5,10,1228.1543946295196,1350.9303439238354
