,gene,gene_number,x,y
0,Ppm1g,150,1344.021688839446,1255.3992272868136
1,Vim,261,1483.1020938310626,1500.8013974293017
2,negative_control,1320,1482.8718229224082,1501.7417479470448
3,negative_control,1200,1482.4826391773784,1501.5975969764568
4,negative_control,1734,1482.9315861471844,1502.658068924509
5,Mvd,116,1482.1787254580097,1503.9980188336135
6,Vim,261,1488.5894701945642,1503.433721500703
7,Ddx17,26,1487.7248348395788,1502.7661813990464
8,Prrc2a,158,1488.4986144449508,1504.9426783096533
9,Tpm4,239,1488.1814232586255,1503.2488464844434
10,Myh9,118,1506.8762264384636,1490.4439558584577
11,negative_control,1946,1510.6313450774308,1490.8715167768169
12,Snx3,211,1510.461428414409,1490.7125011450953
13,negative_control,648,1510.1249959717984,1490.3433289877985
14,Plin2,146,1510.2784419139075,1491.1357684020536
15,negative_control,1067,1509.8465422950255,1490.175807560914
16,negative_control,338,1511.3125683036392,1490.852837439762
17,negative_control,359,1510.9764876424474,1492.0402666553057
18,negative_control,468,1510.963665371335,1490.3997980730717
19,negative_control,1482,1509.7657886763393,1488.9624718971363
20,negative_control,1322,1509.2361972184974,1491.5491178027846
21,Vim,261,1516.1661959422663,1484.8572492781757
22,Rpsa,197,1516.0383910931623,1484.2153259475
23,Rnf11,185,1514.8455730623316,1485.550449670436
24,negative_control,1458,1516.1884184096173,1487.0049318659576
25,negative_control,1112,1516.9302536853545,1482.975784829846
26,Eef1g,28,1514.0509922580254,1476.5034483382117
27,Msn,112,1514.7846290230543,1476.3830481768966
28,Lrrc59,79,1514.979277409097,1475.8617382188288
29,negative_control,367,1514.97570707327,1476.03500097612
30,negative_control,821,1513.7962898619817,1477.292311015353
31,negative_control,1011,1516.3029447868885,1476.2776325017817
32,Xdh,262,1517.679802020882,1399.356740910272
33,Ywhah,266,1518.6911138827788,1398.6439019211257
34,Cops7a,17,1520.156412895222,1522.5448542812912
35,negative_control,902,1522.9925404337257,1506.3081031616318
36,negative_control,1926,1523.055492635208,1506.4691388613696
37,Laptm4a,76,1525.5064252556365,1458.0874293595273
38,negative_control,1043,1524.0316295330947,1458.1583412108112
39,negative_control,896,1524.9611365341611,1459.3228664905907
40,negative_control,333,1525.1750060174554,1476.0573972045274
41,negative_control,1889,1525.151088071496,1393.0271567959562
