,gene,gene_number,x,y
0,Arpc5,8,1306.1593860392654,966.9413073545792
1,Sec13,204,1343.4903570874674,964.170595543589
2,Psmd7,165,1343.1999671136275,964.1746816291457
3,Mrpl35,98,1371.6505999388069,972.4703581539508
4,Use1,258,1523.9269105830426,916.1128137069094
5,Trps1,243,1523.943745518728,916.3054043627482
6,Ptgs2,170,1523.7667923603665,916.1951926230892
7,Mrpl4,101,1523.904597252069,916.25617430027
8,Ppm1g,150,1585.971440379519,933.4055927105368
9,Tpm4,239,1604.212364354201,929.9807183507128
10,Khdrbs1,73,1610.9216228359755,927.7009086808608
11,Spp1,214,1615.6449860311968,922.5251708159836
12,Khdrbs1,73,1619.2367961212242,944.4715296009956
13,Ppm1g,150,1625.636723343492,948.9503072700196
14,Spp1,214,1627.388571843676,935.7675742022044
15,Rarg,179,1629.639903180026,967.5670793250556
16,Spp1,214,1631.0185966406652,913.016966679366
17,Stip1,221,1630.7889223852835,908.1593594983652
18,Rpl21,188,1632.6533006555424,950.1819987600464
19,Spp1,214,1631.7529164655973,937.0724624959876
20,Actn4,3,1638.3987291736062,959.2442911115844
21,Cops7a,17,1639.357385545128,960.9512328085611
22,Tpm4,239,1639.758061523907,915.33663873346
23,Spp1,214,1642.296715966872,949.311221995997
24,Spp1,214,1642.6942442836412,925.5922338926024
25,Khdrbs1,73,1646.1617267319032,964.9237854918838
26,Khdrbs1,73,1647.913342450906,918.9152949990593
27,Ptbp1,167,1647.6313969836538,977.1552527360956
28,Spp1,214,1649.2473550723832,945.6533853278494
29,Mvd,116,1651.4220036704316,968.3157018859046
30,Mvd,116,1660.7911757900038,961.0802885046592
31,Ltbp3,80,1662.738280370398,911.7440384493988
32,Eif3i,36,1662.227465591976,912.5253825175304
33,Mdh2,85,1662.6644924544266,910.3206174498024
34,Arpc5,8,1663.1938851227767,975.7811248822142
35,Tpm4,239,1663.4293501646484,965.40943692413
36,Cebpd,12,1663.8998801244145,965.1580220095104
37,Spp1,214,1664.1860948103397,930.3029681950972
38,Spp1,214,1664.5525839117518,937.6560240654698
39,Ppm1g,150,1665.5877702131625,933.3796593618126
40,Tpm4,239,1667.0488981095189,884.4777033515157
41,Ppm1g,150,1670.476243869522,899.5143288083476
42,Ctsb,25,1670.723949772267,901.458655969916
43,Khdrbs1,73,1671.0929524718974,934.228977377434
44,Khdrbs1,73,1673.4641765962854,949.0965718879512
45,Tpm4,239,1673.6071558361136,967.7058891815768
46,Ltbp3,80,1674.059937659588,914.7632099951296
47,Spp1,214,1673.8758335397367,924.2790799022343
48,Spp1,214,1678.0911563476443,947.6982561503636
49,Spp1,214,1677.875687091649,926.6918153693664
50,Spp1,214,1679.5125224839935,900.4449276163258
51,Twist2,247,1681.5732816452407,976.9191285947468
52,Ppm1g,150,1682.5741468147012,906.4603077140542
53,Spp1,214,1685.93364708043,916.013360764025
54,Spp1,214,1687.663655155547,921.4517281076228
55,Cops7a,17,1687.6579398556244,976.5850764404656
56,Spp1,214,1688.2939731685392,898.1002473647006
57,Spp1,214,1688.8218301597997,961.6222902376946
58,Rarg,179,1688.4580723970748,881.6087883341473
59,Spp1,214,1690.2776224676982,890.641861885309
