,gene,gene_number,x,y
0,Spp1,214,721.3913416645429,529.5373585513663
1,Spp1,214,721.1490443817147,508.2056472239021
2,Spp1,214,721.5213310364502,525.5610017177505
3,Nap1l1,120,724.9363242949034,492.18278385257287
4,Spp1,214,723.2213157407281,492.0586108492474
5,Gas1,50,724.2262916010679,581.1963124872174
6,Prmt1,153,724.1750555607805,582.7334011811838
7,Vim,261,725.6879299449823,578.4564010878707
8,Puf60,171,727.4354102768298,575.5359668748729
9,Oxct1,134,725.9979352179694,577.1707692857567
10,Eif3d,33,725.5851640085126,577.5757936439825
11,negative_control,2019,725.2236528885277,578.2154384081613
12,Mdh2,85,724.1558654583066,577.1948054252348
13,Kars,72,725.9877666058254,575.4826569114582
14,Spp1,214,727.5214434094456,479.34928494723584
15,Spp1,214,733.6918388053642,461.3626256611869
16,negative_control,1946,736.2205705624622,457.4690260383667
17,Hdgf,56,735.3988079900219,455.76441924196223
18,Rpn2,190,737.036342145349,458.82339178794246
19,negative_control,1245,736.8321275926605,459.532588323064
20,negative_control,1087,737.6894751951396,456.4475553387674
21,Ybx1,263,735.2915366219129,456.0885513211604
22,negative_control,341,735.9491225197613,457.2927527284597
23,negative_control,1501,736.1473380382783,458.6512311907755
24,Fus,47,737.7680781873967,565.5657535161765
25,Spp1,214,740.8117431545144,477.0201650045733
26,Zfp36l1,269,741.6478076166898,489.0406692576753
27,St13,220,737.7250494341745,455.0001233557509
28,Spp1,214,741.9023344885816,455.6183049489488
29,Spp1,214,742.9256868191542,438.9549548658077
30,Fbln2,42,743.8216346059162,435.6210840145744
31,negative_control,1984,745.4974394851199,459.7668072438341
32,negative_control,1226,746.1909414111967,458.7490235413446
33,negative_control,1804,745.7824151606444,459.9449942589295
34,Emp1,39,744.989073190569,460.5928941846626
35,negative_control,1566,746.1412485274251,460.5429942169313
36,Nedd4,126,745.8957862093025,460.8275771688977
37,negative_control,728,747.7170579771029,474.291719154174
38,negative_control,464,746.9590859775195,473.6122446758212
39,Psap,160,747.3598618741455,529.409500311913
40,Spp1,214,747.203482290859,441.612386904984
41,Tpm4,239,748.9284130465846,563.9466446739252
42,Spp1,214,748.8813032004821,449.7939903251735
43,Mvd,116,755.1924273974182,615.5236233550864
44,Spp1,214,755.6425772053191,637.4563575746165
45,Spp1,214,756.9496390958166,505.494859118648
46,Spp1,214,759.0871693871125,230.5631247932316
47,Pdia6,142,762.6629069248427,433.6462166540038
48,Ndufv1,124,762.1804850640428,434.747895364896
49,Spp1,214,763.3577671363248,522.8320391497108
50,Cops7a,17,764.8882055667339,613.3741336306456
51,Arpc5,8,765.636582775194,285.49185436791106
52,Vim,261,765.788438360237,385.4944054562389
53,Msn,112,767.5196024450041,386.8857265735629
54,negative_control,2061,767.9040329387578,387.34272871233605
55,negative_control,384,764.9453679648439,384.9837847364368
56,negative_control,603,766.7009419654732,386.541898611879
57,Vat1,259,767.8084906944837,386.3244505551247
58,Mvd,116,768.3301701050126,431.63468867464496
59,Spp1,214,768.2271172348246,374.7217668933167
60,Npc2,128,770.6580274603868,422.9864026871002
61,Thy1,228,770.0812539046242,422.2293728506361
62,Ppp2r1a,151,771.9395683232633,423.6208372324714
63,Vim,261,769.8428833283582,421.7881622013946
64,Efemp1,29,769.7251348253099,423.8565504113016
65,Tpm4,239,771.5440051731882,358.7680653624961
66,Psmd7,165,771.7556604354753,643.6866731879389
67,Ergic1,41,772.6237873571567,645.329530296522
68,negative_control,1858,772.61487248321,644.6937707939821
69,negative_control,456,772.8028881600043,644.0710334071988
70,Pkm,144,773.8646076792346,645.2031407041648
71,negative_control,1753,771.193447381977,646.263991402345
72,Tnfrsf1a,233,771.358011058816,645.6492088479977
73,Ugdh,255,770.4905426455647,646.4612660132391
74,negative_control,1807,772.3598849129039,644.1927680622962
75,negative_control,1545,771.6244563789869,646.1258650599086
76,Spp1,214,773.8051717863744,555.0657005423014
77,Spp1,214,778.1528024401711,468.3619279366721
78,negative_control,1058,780.093149161484,449.1127379047218
79,negative_control,1314,780.4813436864241,324.0860634184422
80,Vim,261,782.3384615610067,384.8749204729906
81,Thy1,228,781.6327357663395,385.0137738616695
82,negative_control,1121,783.0239846234211,431.71516405049294
83,Snx5,212,782.8331507928602,657.6457660195433
84,negative_control,1812,783.030330731586,657.8133638915975
85,Eif3f,35,783.4129238776749,657.6484686660966
86,Spp1,214,783.6863433812048,418.6586273011965
87,Khdrbs1,73,784.1935608603438,279.25454129157424
88,Mvd,116,784.1657867832706,667.8098755923018
89,Sec13,204,784.2953673787533,391.0185173468793
90,Spp1,214,786.0038663541508,562.4840178846061
91,Arpc5,8,787.9048235023495,265.9535458500387
92,Spp1,214,788.145850853923,510.6447266516734
93,Cops7a,17,788.2119571808096,335.91647647284555
94,negative_control,1328,790.1516872897002,335.1169960778474
95,negative_control,1150,788.8930308887801,334.82589297879446
96,Spp1,214,788.5993751249138,462.9642001726492
97,Cops7a,17,789.8558515486426,363.958570108922
98,Cops7a,17,789.9535864853905,612.3920034193828
99,Spp1,214,790.5750138686938,542.2377119791381
100,Gpi1,52,792.5308786192384,696.2751505862959
101,Hnrnpk,59,793.2480639560474,695.6787985906435
102,Tpm4,239,791.5125095517812,242.45789004736304
103,negative_control,1837,792.9165955769807,706.6150584559612
104,negative_control,2005,792.2474997987019,707.455226458686
105,Vim,261,791.9675692265497,706.1521850140971
106,negative_control,1110,792.2545493676151,705.3070792410347
107,Spp1,214,792.5692338664933,488.8601217366591
108,Spp1,214,793.1933789610882,453.6261910117792
109,Lmna,77,793.4896755342719,300.0685478965812
110,Hspa8,62,792.9230909742906,301.35724720722885
111,Khdrbs1,73,794.2037684134501,302.90547588136764
112,Hspa8,62,795.4989545110345,398.1686183684489
113,Rarg,179,795.3493937810039,339.5929908610637
114,Ppm1g,150,796.1905563052003,313.44086068369603
115,Ndufs8,123,795.7042672379085,313.4651502546106
116,negative_control,1424,797.785038424868,472.292407006251
117,negative_control,1379,798.8467077851632,473.9511824076704
118,negative_control,1405,797.9883810081132,471.9808856078614
119,negative_control,798,798.3656400682194,474.63591880164415
120,Loxl1,78,797.7207473757785,472.8665336197048
121,Pkm,144,796.5414716677301,460.0725074204147
122,Rarg,179,797.4898698976567,230.22803365850905
123,Spp1,214,797.7020889889716,280.48083552379904
124,Fxr1,48,797.8924818749158,281.3067987941608
125,Rpsa,197,798.0653467806688,279.3036579315367
126,Vim,261,797.9088593088974,380.35344238792766
127,Rac1,175,797.5154881235983,379.6366978054639
128,Fxr1,48,798.3870302636943,546.4461223855495
129,Spp1,214,798.4859225833584,546.7665809387455
130,Zfp36l1,269,799.4329297383147,587.7005680635408
131,Cops7a,17,800.3556716513684,642.3216833214321
132,Eif4b,37,799.493222574747,718.751152672517
133,Uba1,250,800.3838129212752,718.9926728586124
134,Ube2m,252,799.9211925976324,719.0854972854568
135,Spp1,214,801.1551787373821,478.1605792489378
136,Arpc2,7,802.437209894875,730.0225201214204
137,Ddx17,26,800.5608132471925,731.3191993318762
138,negative_control,1949,801.6353255249326,730.8787633669674
139,negative_control,367,802.9619475911521,728.6164652381824
140,negative_control,1091,802.136153836346,729.9987072885799
141,Ugdh,255,800.6590016470084,729.9865631440147
142,Fkbp8,45,802.4221486674342,729.5287435963284
143,negative_control,1549,801.5484677951383,729.7376597122474
144,Spp1,214,801.4723435481785,436.07799263652623
145,negative_control,725,802.7506720133655,399.72445310119593
146,Pkm,144,802.2990645241019,398.653251015516
147,negative_control,944,803.4292473755811,398.5902127519885
148,Ppm1g,150,802.0931532595566,398.2199334096726
149,Xdh,262,800.4072398988469,398.4293260580549
150,Paics,137,803.4340960399713,355.7216965839232
151,Vim,261,802.5119940686737,688.5215420304448
152,Cops7a,17,802.4778585162562,687.8198090896635
153,Spp1,214,804.4392474995291,713.6233728979191
154,Hspa9,63,801.8039853127266,714.335931636009
155,negative_control,1198,802.0456634209447,715.5291352020639
156,negative_control,1887,804.6549538828731,714.3469686673071
157,negative_control,2018,802.972956809931,714.6779696063857
158,Cops7a,17,806.0590155181134,376.8502844007068
159,Zfp36l1,269,808.6106830848795,228.68862418456305
160,Vim,261,809.5145790246632,722.5816855964392
161,Timp2,229,809.4189638953492,722.5772201642385
162,Spp1,214,809.2610767390041,721.69988435142
163,Spp1,214,810.3278741866905,633.8039571130989
164,Cops7a,17,810.1922161984603,269.33152075533417
165,Khdrbs1,73,810.8138377637863,275.5447978585046
166,Zfp36l1,269,814.1104891603491,350.0694352947124
167,negative_control,299,814.9345227449645,448.1419398819244
168,Mrpl35,98,814.5557914136486,230.89654348755573
169,Spp1,214,814.9440967854583,464.89692649868266
170,Tpi1,237,815.2140423606108,671.3813765499043
171,Mvd,116,815.1326168891776,672.1338581120638
172,Tpm4,239,815.2149513863319,745.4531472381701
173,Zfp36l1,269,816.4999026126695,738.973974896473
174,negative_control,1251,817.0354389774578,738.6508452754782
175,negative_control,368,817.6815026957654,739.2442131005022
176,Ppp2r1a,151,816.2033370072493,740.3224904284855
177,Grina,53,816.4694252228173,738.9918070415408
178,Spp1,214,816.4406319977506,661.8792830112839
179,Ppm1g,150,817.582684145446,283.33850934687933
180,Ltbp3,80,818.0282777728731,488.3279206334116
181,Spp1,214,818.1970594392653,467.4671492313373
182,Zfp36l1,269,819.28560558917,625.3278535275795
183,Spp1,214,819.1430057703349,669.4833550818539
184,Rpl18a,187,820.4867009173504,653.5478608398629
185,Prrc2a,158,820.5264594936739,653.4949683527647
186,Rarg,179,819.5239436574292,654.2523069149441
187,Mvd,116,821.1549033820972,619.648593773234
188,Spp1,214,821.900254413353,804.846429470818
189,Khdrbs1,73,822.4320921480571,816.6519839778498
190,Eif4g2,38,824.9749727721855,304.7368307429245
191,Xdh,262,823.7160284279607,303.4530293919856
192,Rpl21,188,825.2875669480479,303.5587801744752
193,Cct3,9,824.0840868805814,304.20920370082604
194,Cited2,13,824.4691078946769,650.6906854970623
195,Arpc5,8,824.0443203120698,650.9412647074568
196,Ppm1g,150,824.1970726187001,297.7190951802657
197,Ltbp3,80,824.0719216846942,759.9785682179386
198,Vim,261,824.9244418681417,471.0125948045741
199,Spp1,214,825.0522880472258,470.2815959739673
200,Mvd,116,825.0229830947314,613.5752739120985
201,Spp1,214,825.7200413672483,668.6391296609472
202,Spp1,214,826.8889985612838,818.138505826038
203,Tcp1,227,826.0396978551026,742.4963347667045
204,Snrnp70,210,826.3743326399428,742.0281703581722
205,Twist2,247,826.0791644497826,742.81806456031
206,negative_control,491,826.7658522906625,742.2394879433966
207,Hspa8,62,824.7803499153116,743.0283241878816
208,negative_control,1861,825.8293159951927,742.6346443735907
209,Vim,261,828.080570313282,666.4874927202275
210,Junb,71,827.6935463444929,666.5620307402291
211,Ergic1,41,827.4885200756951,665.9251535652425
212,Ltbp3,80,828.3257277568968,476.4111771685152
213,Spp1,214,828.9956934913679,484.037587729503
214,Arpc5,8,829.2194618037952,881.8885719537673
215,Spp1,214,829.0398006170958,836.1521793298966
216,Timp2,229,829.06389282027,775.9020615670862
217,Emp1,39,828.4168706494245,777.020625209185
218,Mvd,116,829.9401861717646,778.114097349012
219,Spp1,214,829.9978843686438,841.6475492044435
220,Lamp2,75,830.4358636718428,459.1815237253521
221,Gsto1,54,831.2780643905771,459.3173836727186
222,Oaf,133,829.0508340741546,457.1874558170641
223,negative_control,1400,829.9657128801733,454.73763043759976
224,Mrfap1,89,831.1126301180191,461.2377454985717
225,Ubxn1,253,830.0781279792594,458.06681677131184
226,Psap,160,830.4942603888763,456.805789215664
227,Zyx,271,830.814537224557,352.9076673346434
228,Maged1,82,832.3798528626057,351.55546386971366
229,Rarg,179,830.6875559575883,352.4616184444432
230,Zfp36l1,269,831.176359725328,537.455517140959
231,Spp1,214,832.3226482909929,795.6183050781608
232,Actn4,3,832.9336009535839,788.3137258051839
233,Spp1,214,832.3551285635381,788.2051984986429
234,Ltbp3,80,832.9923221468306,553.9446555096338
235,Rpl18a,187,833.2272331912235,827.693879155175
236,Spp1,214,833.9440842832488,817.0200624978985
237,Mvd,116,834.6890458739016,412.4948462856586
238,negative_control,604,838.8076722143232,666.4423097932636
239,Vim,261,838.6669033344535,666.3153330227532
240,Rpl15,186,837.1529521833154,667.7329484303998
241,Ywhag,265,838.6440059879121,668.0187896385804
242,negative_control,1752,838.8786860285416,418.2895766437806
243,Arpc5,8,840.6159623311811,283.55715524984686
244,Rac1,175,842.4832864909129,385.0550379711781
245,negative_control,344,843.0660815713974,243.7712328862312
246,negative_control,1978,843.6991304623671,244.31123392590507
247,Plin2,146,846.5267504248251,344.7010622161308
248,Zfp36l1,269,845.6696461055864,370.1162790833946
249,Gpi1,52,848.8915921427238,387.69955520011325
250,Ppm1g,150,849.8881579807753,388.2680264015916
251,Gsto1,54,849.3722728990862,389.2119357192781
252,Mrpl38,100,848.7203204306537,389.26266534424417
253,Ppm1g,150,858.5555517979958,356.9954894134627
254,Mvd,116,859.0652952433265,281.6601864229779
255,Rarg,179,860.6168420174306,361.7070857306535
256,Ppm1g,150,861.0829231649723,270.0058696641818
257,negative_control,966,861.7891964807618,287.4033783359976
258,Khdrbs1,73,861.9668688571318,340.3169715007202
259,Rpsa,197,863.7780808112183,372.518770521889
260,Khdrbs1,73,864.1260427982202,371.9039924011694
261,Vim,261,863.549437941428,373.42867329937087
262,Tpm4,239,869.0734806077246,294.68325731963466
263,Zfp36l1,269,876.4031005544591,271.9377772096182
264,Rpsa,197,722.1387518150875,519.4203839778726
265,Aebp1,4,721.8276321130901,506.9909271878775
