,gene,gene_number,x,y
0,Rarg,179,938.3357286980466,1197.730828897136
1,Mvd,116,945.5981081196884,1212.9387031455528
2,Spp1,214,996.678359813862,1192.769048958251
3,Cops7a,17,1027.2793197670264,1194.709529774692
4,Khdrbs1,73,1034.2457757697098,1168.684951532692
5,Mvd,116,1037.8451550501688,1170.5547328748985
6,Rarg,179,1041.7851356761405,1177.0876554124584
7,Rarg,179,1042.9221713426855,1179.7083751892917
8,Khdrbs1,73,1044.1629419590226,1184.068971494476
9,Cops7a,17,1045.4017466675068,1193.021139465004
10,Khdrbs1,73,1051.7461534133993,1209.978014755366
11,Morf4l2,88,1051.789684680292,1189.2726759747204
12,Junb,71,1051.183250450439,1188.4723376588868
13,Thy1,228,1052.9119791261865,1189.289144793711
14,Zfp36l1,269,1051.5289519131657,1189.7227011229577
15,Aqp1,5,1052.487604054065,1188.15798558982
16,Tpm4,239,1053.6969669702291,1212.9193723060373
17,Spp1,214,1061.6491391144043,1205.2156000403716
18,Rarg,179,1062.9750102669254,1163.2405105472426
19,Rarg,179,1067.8701784224982,1170.7863815463863
20,Spp1,214,1068.8514447941416,1203.5688635755544
21,Spp1,214,1072.7921154604296,1185.9380004863146
22,Mvd,116,1077.2442937141736,1194.4070789632071
23,Spp1,214,1083.3402455997884,1180.037786437903
24,Ltbp3,80,1082.8719240770602,1204.257673078926
25,Tpm4,239,1085.05331586269,1189.9715684448088
26,Cited2,13,1085.1168094505988,1157.683964525178
27,Arpc5,8,1086.6534413701625,1156.7381926808798
28,Ltbp3,80,1086.8843824832118,1152.119370146452
29,Spp1,214,1094.2337916777565,1200.7789014470309
30,Rarg,179,1097.1766060086993,1237.672935287249
31,Nfe2l1,127,1097.1118441483334,1226.2395748276017
32,Slc38a2,209,1099.4509782467994,1222.8068155893443
33,Spp1,214,1102.8810436472331,1125.7342078901622
34,Zfp36l1,269,1106.7121531203884,1238.3265720331417
35,Ywhah,266,1107.050406978296,1241.5104708538215
36,Emp1,39,1107.792298385638,1241.7335118790438
37,Eif4g2,38,1107.5749849175495,1241.9402866195376
38,Eif3d,33,1105.11422243254,1241.851562575264
39,Aqp1,5,1105.484186869439,1241.967747725248
40,Cebpd,12,1105.424111180265,1241.4221255343698
41,Top2a,236,1107.8588841108258,1241.8297593250504
42,Zfp36l1,269,1107.3193786567322,1243.2547563953076
43,Ltbp3,80,1108.7030404827926,1141.2050617914958
44,Lmna,77,1111.041655215737,1108.1774593818996
45,Hspa9,63,1110.8645956322237,1107.578061722428
46,Spp1,214,1110.707336126543,1107.1105958519972
47,Fkbp8,45,1109.7235058835336,1107.5705198118324
48,Spp1,214,1111.809351310661,1127.533953718018
49,Spp1,214,1113.276492237252,1231.9107315528229
50,Ltbp3,80,1114.5352560110127,1215.0022431049647
51,Spp1,214,1116.6806405219622,1095.7037292527427
52,Mtap,114,1115.3964746609167,1096.8278554905432
53,Gsto1,54,1116.5448047700318,1097.055350241062
54,Nr2f2,129,1116.245380038576,1099.8880591848206
55,Jun,70,1115.9917083650057,1100.0291227657412
56,Spp1,214,1116.485787476003,1101.5003558766066
57,Ltbp3,80,1116.9793870754906,1238.8058422391482
58,Rad21,176,1117.254593472756,1168.6342820023733
59,Pkm,144,1118.3455613599435,1210.8639355344485
60,Ltbp3,80,1118.2790298035827,1144.1201655538894
61,Khdrbs1,73,1120.7373822193067,1079.6896531363734
62,Spp1,214,1121.8771905783528,1109.500119788677
63,Rarg,179,1122.3214718381523,1074.4617082652949
64,Rarg,179,1124.3977985030133,1124.1900545289498
65,Tpm4,239,1126.1649133851265,1253.1265980744402
66,Ltbp3,80,1128.041902773678,1101.5124289037817
67,Arpc5,8,1128.3458321862615,1140.5510778454063
68,Rarg,179,1129.908903002579,1233.7459216091077
69,Morf4l2,88,1130.5157380009186,1075.7640147167767
70,Ltbp3,80,1130.9946947887788,1219.6312722684877
71,Ncl,121,1130.3760299627552,921.416090600888
72,Spp1,214,1132.43190491001,1257.639487327967
73,Trp53,242,1134.1736497940915,1034.845024747302
74,Mvd,116,1136.9029576366777,1142.831646947316
75,Cct5,10,1139.692648746712,1085.5512988887326
76,Ltbp3,80,1139.3681596687225,1112.7467636855702
77,Mvd,116,1140.8199336813714,1255.290590414097
78,Lmna,77,1142.9180116246107,1038.7806012850465
79,Cops7a,17,1143.5684776014946,1115.1292957191783
80,Mrps9,111,1147.561388573591,1015.6744095929064
81,Zyx,271,1147.1980291867037,1017.0921159064668
82,Cops7a,17,1148.895443098677,1257.7211741895303
83,Tpm4,239,1149.4749768543452,1043.731059463089
84,Arpc5,8,1148.8759793012518,1266.3064900259712
85,Ltbp3,80,1151.0436665172736,1037.430415296561
86,Tpm4,239,1151.784140507571,1134.309228134147
87,Tpm4,239,1152.213491220606,1018.2557015308028
88,Khdrbs1,73,1152.1948196875878,996.3955939796612
89,Spp1,214,1152.3554811848087,1198.4558965632766
90,Cops7a,17,1154.526063073879,1047.7468869213635
91,Zfp36l1,269,1155.3731632219578,1150.6396635057667
92,Arpc5,8,1156.9752175723363,1009.1099910091848
93,Khdrbs1,73,1159.3150164275426,1235.6124114047784
94,Tpm4,239,1159.6542834833504,999.199797607778
95,Zfp36l1,269,1159.5621813589703,1278.9064327469189
96,Rarg,179,1160.0318426206516,1032.7485126481477
97,Rarg,179,1162.044376088178,1136.2927599390894
98,Tpm4,239,1164.370650812118,1097.51609875576
99,Tpm4,239,1164.4949491255604,1149.975037423563
100,Spp1,214,1167.013134449273,1018.8061552126212
101,Rarg,179,1166.7483164474168,1048.4303903493435
102,Spp1,214,1168.881947129083,1290.325099057667
103,Cops7a,17,1173.042670004491,1153.9575970587623
104,Cops7a,17,1173.572833771118,1269.0335450906068
105,Spp1,214,1173.992876473868,1085.0795489177965
106,Tpm4,239,1174.8498566789958,1035.5265624801514
107,Ckap4,14,1176.45934376686,1305.6969764710004
108,Ltbp3,80,1178.5070443646414,1090.6382713188382
109,Cops7a,17,1181.4097819290414,1098.7113745770453
110,Tpm4,239,1181.3602449063526,1057.7617057443874
111,Zfp36l1,269,1183.932124240031,1275.8212272880364
112,Spp1,214,1185.6953491301238,1099.001790752152
113,Mrpl35,98,1189.8048779211535,1074.9150655709154
114,Cops7a,17,1191.8237692895636,1130.604850294248
115,Ltbp3,80,1196.033737280733,1306.6063134775288
116,Pkm,144,1195.63147982392,1093.8648705749854
117,Spp1,214,1198.7327923753896,1277.593144004805
118,Tpm4,239,1200.7269864287214,1070.460182333154
119,Ltbp3,80,1201.5316269554132,1151.9692218617504
120,Tpm4,239,1201.6085957167477,1060.6939374084277
121,Arpc5,8,1201.7097766359552,1280.835169037134
122,Zfp36l1,269,1202.4705061873194,1127.3077822681655
123,Ltbp3,80,1203.442033670051,1134.5883348317475
124,Spp1,214,1204.4848546071871,1293.27429239888
125,Rarg,179,1206.1381562721876,1318.5526117184322
126,Khdrbs1,73,1208.941791038201,1317.6566160083755
127,Ltbp3,80,1210.227671004522,1134.3236949381946
