gene,x,y
Tpm4,1096.257701122836,642.1121466480771
Tpm4,1098.281487114165,653.5733722395058
Tpm4,1100.9967218535712,710.4819406358213
Arpc5,1106.668426542083,850.7297303019909
Khdrbs1,1106.459675969444,645.3804987263278
Arpc5,1123.0092807815836,712.0829241326564
Rarg,1129.1122372795248,693.9754192725147
Tpm4,1133.2171866624833,850.0495687112057
Mbd3,1131.0501186265014,848.6942766953694
Arpc5,1136.0319081028074,1148.1527007229713
Cops7a,1137.2675301914385,757.1121265784966
Mvd,1141.3379401186314,1142.0493797655363
Cox7a2l,1142.306795715726,824.1261215443469
Tpm4,1142.514387943977,1165.930987967413
Tpm4,1146.1664247985564,855.9009299962016
Khdrbs1,1145.8073784868566,756.0357410802245
Trim28,1146.0929314337905,1115.872788423194
Zfp36l1,1146.955957843014,1116.122568023815
Khdrbs1,1147.9866765948336,897.0012734586094
Ywhaz,1150.355311960478,897.4347337985779
Tpm4,1148.4076893958731,718.3610104090067
Tpm4,1150.296765010639,1121.4784702117445
Tpm4,1151.1689169960696,715.0382822044576
Rarg,1153.5975172326507,807.0840407791231
Spp1,1153.6899659598705,1118.1606312637437
Tpm4,1157.0002217592437,1133.7241549130886
Tpm4,1157.0274922382036,864.8120713112382
Spp1,1157.358218617631,915.8049130048591
Arpc5,1158.0108121328908,870.1516503028287
Mrfap1,1157.7665770093113,871.8627130138249
Tpm4,1158.5334038586557,701.1292224317401
Ltbp3,1159.907243669326,936.0326584717455
Tpm4,1160.5678613389464,888.3392626752548
Spp1,1161.181645994914,1039.7832279974286
Tpm4,1161.148012027154,892.2841678199733
Arpc5,1162.7485701067926,1091.0930543440822
Rarg,1162.3875499807828,1058.3128981646817
Zfp36l1,1162.7750877304925,835.4395032601795
Tpm4,1162.615258905772,1140.526602128244
Spp1,1165.147001197366,921.6160339649985
Arpc5,1164.6487752208136,987.2089769592584
Ppm1g,1164.6627745716578,1097.1543897151114
Tpm4,1165.519195585304,961.634268553712
Arpc5,1165.9179193129198,754.6664627001912
Tpi1,1165.646974379159,755.2643969605298
Spp1,1166.2855200546007,898.5951616103669
Tpm4,1166.6552877111517,904.1762772005652
Ltbp3,1166.9913424540266,978.5708391886386
Pkm,1167.888615352554,950.9174144082692
Zfp36l1,1167.8823714790724,949.2115727263551
Zfp36l1,1167.6263610615283,983.978374858282
Fgf7,1167.5288171322036,1086.125822095168
Eif4b,1168.583203822689,1085.0059429250382
Emp1,1168.8920326900452,1086.838046624301
Gpi1,1168.7151065336477,1086.9193024594997
Vat1,1169.5388702373352,1088.7072470651483
Rpl15,1168.5182001354722,1085.7345549410702
Ppm1g,1168.1297128257042,1085.7881132784769
Ppm1g,1170.048454502373,1103.218042432753
Spp1,1170.5504623570218,1097.9083035299348
Vim,1168.8127258408413,1097.5781662852853
Khdrbs1,1172.0132564245207,965.5250458607946
Tpm4,1171.9303594735748,1081.242538699367
Tpm4,1172.2816027569563,788.8930835027364
Khdrbs1,1172.0126513231864,753.4700628337865
Pkm,1172.398951457821,731.2066426768586
Ppm1g,1172.5866798875254,1117.3111083979984
Spp1,1172.801095549959,1076.9332128320136
Snrnp70,1172.9911649875326,807.9354751833804
Khdrbs1,1173.0108857478835,808.2400489067876
Ssr2,1174.4998029394585,808.184861560034
Tubb5,1173.450627999464,808.5851154521644
Ptges3,1174.4766187453808,807.8198095007267
Hnrnpul1,1173.0180380567044,808.534586267548
Trap1,1171.7612000739769,808.3797814983128
Ptbp1,1172.7677437364728,808.7964526173614
Hspa8,1173.394288290116,807.7699561086333
Idh2,1175.2292688279124,808.128274899077
Efemp1,1173.7723403685684,808.4106053175748
Spp1,1173.5104340065902,1003.748306463137
Hspa9,1174.824249050655,832.8298604972783
Ltbp3,1174.419380026231,1066.058343077981
Cops7a,1174.995788989544,1045.2210885685945
Zfp36l1,1175.1632792279163,1138.091930259333
Tpm4,1175.7860578223963,917.3622158032103
Vim,1175.277814310617,916.7524714791572
Zfp36l1,1176.8373433843938,945.4008045028568
Raly,1176.0614632988006,945.1317519716434
Ppm1g,1177.5093514435937,905.1416035358592
Twist2,1177.5647340253772,846.6780120032483
Ppm1g,1177.9538189426908,845.8566643341512
Rpl21,1177.870244833778,846.3876077144055
Zfp36l1,1178.106833398443,936.2983372393207
Snx5,1177.4945315964403,752.5132518696279
Actn4,1177.9051112012542,754.3507685519659
Spp1,1179.349674969444,1000.3913688249768
Cops7a,1179.6016936263677,1066.2980700453306
Arpc5,1180.644722288217,785.2173289993503
Spp1,1180.8932251800306,895.7315920901281
Ncl,1181.0173687192023,898.1405678479557
Rpsa,1179.453922428704,798.5877971863115
Cops7a,1181.3375722839223,761.6171330410192
Tpm4,1181.3531545262344,789.1013593636742
Khdrbs1,1182.4526053813424,848.2565338818433
Spp1,1183.7261154767016,839.1198022744833
Rpl15,1184.3331232833243,877.1324291499543
Zfp36l1,1184.166102425423,896.490985603416
Tpm4,1185.6559912841906,1097.7772406488762
Khdrbs1,1185.7342192651672,834.5764087774826
Tpm4,1186.5997774008863,821.013984948497
Ppm1g,1187.2596665667345,1067.3928135362758
Sec13,1189.053626938868,843.7322376051118
Tpm4,1190.612653941807,757.8058222544666
Ppm1g,1191.171537642162,849.5327905466834
Vim,1190.6568921405828,877.601822374257
Ercc1,1190.7182793117886,878.3699134859253
Khdrbs1,1191.3641025625318,876.3012820889116
Spp1,1192.8193340263078,792.0647008110028
Cnn2,1191.617726972822,936.787121892517
Ppm1g,1193.295293158722,936.3035446127642
Rac1,1191.4588783214406,937.5177510928452
Lmna,1194.0517263871388,741.1706337143073
Khdrbs1,1193.7572062364734,738.8431092549074
Myh9,1193.357545246845,762.7393676649572
Cs,1195.0520028816145,763.4523728638818
Zfp36l1,1194.348089707382,1018.3808960463308
Spp1,1194.0664483306628,1088.2286014853412
Spp1,1194.1547625021246,898.7827831407494
Tpm4,1196.16311100403,1042.1360959998149
Tpm4,1197.242255916551,941.7129955067433
Vim,1197.902635183672,964.3217055772832
Fkbp4,1197.687288200348,964.9182499674602
Cops7a,1198.2555291531796,917.4853727094217
Ppm1g,1197.9457603945907,1114.6208032201591
Spp1,1199.324817299239,1120.0400740525529
Khdrbs1,1200.274790711291,994.6653285079308
Hspa9,1200.1474072469764,902.418688282198
Rab5c,1201.0055578049498,901.7979563603556
Mvd,1201.3431611980122,907.5172933465864
Spp1,1201.241302598357,878.9847194785262
Ltbp3,1202.0322606583827,824.5407062937338
Ltbp3,1201.8935397807506,965.2585183355428
Khdrbs1,1202.9929092992345,834.1009949973782
Cops7a,1203.733019457968,1011.6766785187078
Tpm4,1205.097480559128,1027.5335276816425
Lamp2,1205.4529352624295,897.0048733970544
Fxr1,1204.7491174852366,895.8588270747597
Ppm1g,1205.2669358926132,799.5949703618658
Tpm4,1206.2482147449127,987.7048297009984
Tpm4,1207.464083843156,1135.4918967172248
Tpm4,1207.5635278872917,825.206919302284
Spp1,1209.0815592595154,969.4805102778396
Lamp1,1207.922213679907,969.6102624688403
Tpm4,1209.367623084986,817.4442714381594
Igfbp4,1211.8745343298822,888.5668058360337
Tpm4,1213.4157468931164,888.8243602687705
Cops7a,1211.8820374667048,917.1446162021084
Hspa8,1212.002434162803,916.5472113143826
Nudt9,1210.4961335118062,917.046844622253
Lmna,1212.016089648807,917.1988330502684
Pdia4,1211.5178217148775,946.9722060749116
Oxct1,1210.1217223357155,786.7893225708704
Arpc5,1211.5617253380356,1089.6681995894576
Spp1,1212.3639559269168,1034.2920029462432
Zyx,1212.4607588569263,1035.3310809102663
Msn,1213.0771177508905,1024.9820584936606
Vim,1214.6947504911595,839.7344086582484
Tpm4,1213.0896957174143,839.9905290830795
Zfp36l1,1213.039621957325,963.5661594672912
Arf1,1214.265193506935,926.1466889268548
Tubb5,1213.5379237831069,925.2166939962708
Cops7a,1214.0584561715866,1098.651671487043
Ppm1g,1215.5032649704344,1070.338552138801
Spp1,1216.32805244363,923.5897923264936
Rarg,1216.9499956900463,1116.6079838411874
Mvd,1216.235022421586,961.1316609756273
Arpc5,1217.949771833209,834.5576223415877
Ppm1g,1219.0708775145863,937.1480043708092
Spp1,1219.7745254052925,930.1807878723062
Tpm4,1220.3151244731675,1094.8378910009235
Arpc5,1220.385342896754,866.062565327527
Tpm4,1220.476352885701,1079.8801919661769
Spp1,1223.679621996379,975.8485664963624
Mvd,1223.2339296262285,874.1981918815055
Rarg,1224.7404051450446,1099.8352082950491
Ndufs2,1226.7408098048554,942.7693839547344
Rbm3,1225.4841945663736,942.6339193204484
Hdgf,1226.4112838425654,942.0324814209368
G3bp1,1224.5708339008177,1128.309882487837
Rarg,1226.375787697718,1034.2363695460049
Timp2,1228.6862668992887,1123.2652693688333
Tnc,1227.5017873354943,1123.1030435579332
Zfp36l1,1226.196441098862,1121.856792950063
Sdc4,1227.086195298149,1120.8058831269063
Spp1,1226.4839853263866,1105.0152522874373
Ppm1g,1227.2196830342568,1008.1957235249766
Spp1,1227.2201495881754,873.1003146350174
Eif3a,1228.5402978634595,836.0016763544731
Zyx,1228.415855531527,836.8772467592566
Arpc5,1230.5122652557566,859.295554861063
Tpm4,1230.794827971827,1128.0694397696443
Rarg,1230.6502714910143,1136.0196880883757
Cops7a,1231.510678173418,902.6438667683736
Cops7a,1232.2887996968714,999.3070643859404
Spp1,1233.5869510137347,991.1619809939708
Fus,1235.1393057396765,1151.187870983842
Srebf2,1236.9820581075735,1133.1486428544458
Spp1,1235.3604759054128,1132.7965704217036
Rarg,1237.038635083895,1154.2738076160897
Raly,1237.8808839320577,1001.3120938356684
Fus,1237.755951623237,1001.5082212346113
Khdrbs1,1237.0873540556208,1000.93414031003
Pdia4,1236.788684719073,1002.7163693178544
Ppm1g,1237.4356730216668,954.4073077464592
Tpm4,1237.9893198919813,1030.0852231907772
Rarg,1238.6231871683788,1041.5814255695125
Rps6kb1,1239.479044312547,918.2591653406118
Cops7a,1243.7162130682505,1036.1506441411482
Tpm4,1245.1295015717883,948.0673232554188
Spp1,1246.7795750630612,972.6195727909158
Spp1,1247.626764417132,887.66354161515
Mrfap1,1251.1747743205924,1185.770319777433
Tpm4,1250.974576882821,1185.1400672544546
Hnrnpk,1251.0300266594525,1185.4844258930711
Spp1,1251.1563347696135,941.3258515681604
Stt3a,1252.4787763459497,971.6321403630232
Ltbp3,1254.220400913969,1110.9775938418218
Spp1,1255.7396153208144,862.7999774893802
Spp1,1256.6603646095743,1173.527793703615
Rarg,1258.8285329585206,1155.3084158041815
Spp1,1261.2845532859633,906.0389167387548
