,gene,gene_number,x,y
0,Ppm1g,150,757.8157603202333,928.633635253108
1,Spp1,214,757.6983949410906,1036.816802978669
2,Tpm4,239,759.1624459212401,1060.745351141514
3,Khdrbs1,73,760.8927107789253,1040.0930860763665
4,negative_control,1405,761.6627306701166,1007.125573052732
5,Csnk1a1,22,761.9033069818697,1008.0107629585244
6,Ybx1,263,762.5110481364686,908.1551327279154
7,Zfp36l1,269,762.7038609357475,908.08769666046
8,Mrfap1,89,762.6306095026328,910.0876142318466
9,Spp1,214,764.696582566075,1001.959945423076
10,Ppm1g,150,767.9808277434506,918.2768802645336
11,Arpc5,8,768.6195605533085,1021.4582323743224
12,Khdrbs1,73,770.4688739372835,913.648433026092
13,Ybx1,263,771.8081225657127,914.4124822497492
14,Vim,261,777.011090966376,935.6868509964012
15,Vat1,259,774.6567495207971,935.2657789902185
16,negative_control,714,776.3785198691737,935.5970861555686
17,Snx5,212,773.6352027145114,936.0983987796292
18,negative_control,1040,775.4834163644992,936.0145568828868
19,negative_control,1929,775.9741749871329,1047.562703297779
20,Mrfap1,89,776.3252809096454,1047.8025864087454
21,U2af2,249,774.9250526751086,1049.0185119078649
22,negative_control,1185,775.9934792369537,1049.4907356728918
23,Khdrbs1,73,776.5522810632518,1002.7054821235354
24,Snrnp70,210,775.981689458195,1001.171587819915
25,negative_control,1279,776.2487508443517,999.6183595773816
26,negative_control,1530,778.6623195011873,1052.597282715469
27,Gpi1,52,775.0459623423313,1052.688084387619
28,Hdgf,56,776.9684597546095,1052.8821049593469
29,Gsto1,54,778.908717906491,1053.532029230323
30,negative_control,954,776.8567599677394,1053.6840144538207
31,negative_control,600,778.0343662724907,1053.3491227287982
32,Rarg,179,778.2480356288848,943.8403905255576
33,negative_control,2069,777.4188588389046,1039.1663302359946
34,negative_control,1918,778.200532808172,1038.6242718244007
35,Vat1,259,775.9515209655932,1036.8238131632816
36,Hspd1,64,776.7521184465039,1037.3932316584512
37,negative_control,344,778.7887044524989,1042.747237733238
38,Eif3f,35,777.9669682494504,1073.159322600943
39,Vim,261,779.6601760515723,1078.5377798696811
40,Trim28,241,780.7341367062706,1077.6274924045017
41,Eef1g,28,782.15524015827,1059.6281346011262
42,Cs,20,782.3129706391369,965.824570109594
43,Zfp36l1,269,783.0161810170177,966.0012896880922
44,negative_control,1608,782.870462503884,966.6672542392596
45,Mdh2,85,779.9625775955392,965.0516383151532
46,Gsto1,54,781.5190587392956,967.8984662205476
47,negative_control,1569,782.3988038146953,964.9622526081154
48,Rps15a,191,780.666802159028,964.338085967514
49,negative_control,1716,782.3161883280123,965.4746495629178
50,Tcf25,226,783.3594285076454,981.1124820534357
51,Aebp1,4,783.2142782997009,982.9662288682472
52,negative_control,2100,783.6587953619593,979.8389007084425
53,negative_control,1829,782.7345629749806,980.0966218660104
54,negative_control,2000,783.549461226987,980.1994448966911
55,Gpi1,52,783.1125715193187,981.2039737616578
56,Mrfap1,89,783.6458534530939,980.4444017932992
57,Vat1,259,783.3569006220208,981.206532329071
58,negative_control,1522,785.006602894912,979.776278773066
59,Txn2,248,783.2393716037074,1045.8366548869667
60,Nr2f2,129,783.4403616382161,1046.4182094842831
61,negative_control,1703,784.6184028828606,1047.312184968605
62,negative_control,813,784.9844549649019,1046.960438774643
63,negative_control,615,785.1473417730763,1045.562260444572
64,negative_control,849,783.9428075056892,1045.95677548814
