gene,x,y
Khdrbs1,819.0742581810758,236.8930476747532
Eef1g,855.8164541622917,235.3042678685334
Khdrbs1,864.3709770009747,221.98057940781848
Cops7a,901.77982122318,246.41331640120237
Ctbp1,903.8035291061504,233.6994358476083
Vim,903.476060426518,233.46701031428825
negative_control,902.7481183339676,233.2286355443406
Rarg,907.7812665463298,239.27464607696368
Cops7a,913.3230516742,243.3170134051292
Rarg,915.7102976765216,234.16295474033035
Sfpq,919.9798044119908,236.47436510775276
Oaf,920.8936250624952,235.14043576817937
negative_control,920.1930631407748,234.81244979033636
Khdrbs1,923.413975531864,262.80752592005484
Sfpq,930.6081209620228,224.99706592434188
Mrpl28,931.6255902196976,224.6125178639487
Khdrbs1,932.090440012656,224.48090512889289
negative_control,935.882404051453,232.79620896700345
Vim,936.2409535080936,232.7916276382641
Khdrbs1,935.1621810428512,233.6222586025326
Pa2g4,935.7786691138266,232.6098314976096
Eif3f,933.5534231467142,232.6953244506145
negative_control,937.7383846649708,260.05446432544
Zfp36l1,940.0502306078316,279.8068484578528
Hspa8,940.1322552002812,279.8141729808457
Zfp36l1,941.5641732762032,287.04635121420694
Mmp14,944.6932052556152,247.6131983430555
Loxl1,943.036415482339,245.76006032555728
Rpn2,944.9943554821627,246.6604533585713
negative_control,942.9432481240874,245.59069415826812
negative_control,944.5657940650958,247.4941874439927
Ywhaq,945.2234015722004,279.77643990335247
Tpm4,948.4424218592231,229.9334788084601
Spp1,949.1211199947116,265.7927260148491
Ncl,950.1169975302678,234.5447770696921
negative_control,948.9206964023216,233.6718149599651
Emp1,948.8907016134854,232.4521303062646
Psap,948.7443310968356,232.5841701616491
Slc38a2,951.8831761790924,246.3719811637792
Mvd,950.3495395977668,246.48839451376915
Polr2m,957.5387952817712,240.290549814014
Khdrbs1,954.9994874715888,239.5395457703825
negative_control,958.0713338912548,240.9403883208284
St13,957.982365086604,237.88756645597005
negative_control,956.8405482513784,238.79381357791704
negative_control,958.3881214078452,242.2642039269052
negative_control,957.5814784123892,241.11803126067213
negative_control,959.3838905569776,241.85333817603444
Hspd1,957.5139332100912,240.00531487859652
negative_control,956.6328123358976,238.0558010272122
negative_control,955.8951046959704,238.92913694093025
Rps6kb1,956.0339037198762,239.90348706357003
Arpc2,956.3536690771292,239.7484818936562
negative_control,959.357942468588,242.37111982035856
Rpl18a,966.8439571011542,258.7508200092317
Arf1,966.3619349973166,259.9795032580014
Kars,967.254993850936,258.5098689776194
negative_control,971.0909717121732,257.0871450674764
Lmna,969.7679693010562,257.0942020458626
negative_control,969.9848900531236,257.4276400223394
Pkm,969.5083267978162,258.6770028793134
Idh2,968.7876501741256,261.8918703885972
Rps6ka3,970.9940973454592,258.6313947361025
Vim,967.3095211143948,259.6338386511338
Rarg,971.902335576793,222.3063980661139
Rarg,974.4656127028054,256.7530864702446
negative_control,975.5536712209778,240.3187910552556
Emp1,976.2175821750354,240.08678850591653
Spp1,974.9992223898034,239.77329194782487
negative_control,975.0251811729204,272.6875196402812
negative_control,975.3189502246232,273.9315099312325
Arf1,976.3492415466366,274.6147694024723
Psmd8,976.3077722156488,272.908103068263
Khdrbs1,979.5919635003804,243.3395487035312
Tnc,981.2513836789448,243.2047533834097
Npc2,980.9517950289325,242.2829649849592
Tnc,979.4966072546414,237.8655961474939
Spp1,979.7245117024354,237.4518586612791
Nucb1,978.9581260674664,238.0049357494834
negative_control,982.6180291874956,237.0070445452705
negative_control,981.6110435125254,237.75835274392188
Spp1,980.3412340723964,252.99289714277407
Pkm,979.4590403993118,248.1867989771383
negative_control,979.7607930576715,248.21165174600725
negative_control,978.8566810782088,246.82453607194208
negative_control,980.572588294202,247.83769256955188
Zyx,982.1831655449269,247.02985278146764
Cops7a,983.0380537212116,264.52504583362133
negative_control,984.6871907273947,295.38666004797
negative_control,983.1433521974864,294.5823821619477
negative_control,982.5935982058148,293.75683785286384
negative_control,984.0619137448956,295.3679182120077
negative_control,982.3751609847508,295.9312134857185
Ncl,984.8034115928192,226.51497427016983
Vim,984.9261873346868,226.44866505715996
negative_control,984.1430247700572,227.13323160360733
negative_control,987.5523669267176,220.9166299531622
Spp1,987.8549800756224,234.51087188069565
Lamp1,985.9949311012484,233.13006216142853
Vim,987.225682842783,234.202472355026
negative_control,987.7241134463218,236.23737600441055
Mtap,988.2952037355028,254.6486556046407
Rpsa,988.1662696894756,255.8120550480571
Ywhah,988.9872190636802,255.8867092106062
Arpc5,988.9113615115242,273.2914182919313
Cops7a,990.4266002434056,264.6520601069009
Spp1,993.3842172287071,275.971232694536
Trp53,995.4114515980876,250.29041877953276
Spp1,995.6537576620608,219.27054046144988
Hspa8,997.3968133832642,278.19323592969846
Ckap4,993.924884750355,278.61608270077784
negative_control,999.5219035110229,279.62391491475137
Pgrmc1,993.78111492224,279.6329992787095
Lmna,998.250118362708,278.8393031019729
Efemp1,993.8041450489244,279.07377915048335
Psap,998.9786147660792,278.8443411170597
negative_control,995.230239710016,277.97805715818646
Nucb1,998.9294204160636,278.00171494436364
Psmd7,1001.3824362581776,280.1390186537308
Pkm,998.3134870855066,277.12089045312945
Hspa8,1000.6067783316132,279.5737075731336
negative_control,1001.1473312626348,232.42110569631333
Eef1g,1001.6140119041016,241.93853764513
Sfpq,1002.4790992459314,240.70314553541877
Lmna,1002.4521578225804,242.74706812882903
negative_control,1002.6649947650044,244.4275127249061
Jun,1001.3660510540695,239.72870878803903
Vim,1000.7823772948052,220.57579522220453
Psap,1001.922038068088,220.92230449333465
negative_control,1001.6589124923644,220.66513228742144
negative_control,1004.974428024192,204.5451467720307
negative_control,1004.6954401381844,278.3277182982284
negative_control,1004.7740745746326,278.5608506329252
negative_control,1005.1422098136118,218.212631947436
negative_control,1005.8251287626048,231.3738282908672
negative_control,1010.551744272001,297.30533274385874
Oaf,1010.6845023334544,297.97059334477655
Spp1,1010.5920367613868,296.880278426322
Ctsb,1011.4445998830292,296.1475238964691
Cct5,1009.64196321595,294.87197421753325
Hdgf,1009.2646055892394,221.1559578037075
Rps15a,1010.7350065198272,220.84327667869013
Lamp1,1010.23479172641,221.59024416923864
Mbd3,1009.2869339156364,221.2089375950629
Timp2,1012.4283696994517,281.18801876369963
negative_control,1013.0375250733916,281.8010003680825
Morf4l2,1011.5165095881672,280.6967917383474
Emp1,1012.3274188848056,280.59192659950696
Ppm1g,1013.3011409400236,280.43711854738734
Rpsa,1014.1981606491938,283.4748257967896
Pdha1,1009.9499910704908,279.4042747688286
negative_control,1014.0752697947586,256.5287967831278
Ppm1g,1016.7028886438014,266.3994726961123
Rarg,1017.6678983574184,299.28773040659013
Oaf,1017.0492951375728,298.07580670765554
Hnrnpk,1016.493155510191,293.66400170188354
Mvd,1023.164409703029,266.04731901537184
Rcc2,1022.5884228710744,267.5873924439037
Ppm1g,1023.45625271293,300.07554076793235
negative_control,1026.2238032195232,240.00153321758296
negative_control,1026.5356231619091,238.62116075647376
negative_control,1026.1649620232836,239.34117083971924
Spp1,1025.7067037934366,241.15372683886855
Vim,1023.8655710446455,238.6817157303796
negative_control,1025.6863914725172,239.0258815635696
negative_control,1026.834967842697,239.06068166067337
Rpn2,1028.421278160658,238.6131726876043
negative_control,1025.84577895415,240.42036565423416
Vim,1025.908290817876,262.3692205574206
Prkcsh,1024.4835935906813,262.90095241682815
negative_control,1026.507459842211,261.2024755064325
Cs,1024.980356022896,263.9654210133618
