gene,gene_number,cpath,cost,x,y,z,cellid,cc,cc_size,pos,cell,lvf,zvf,wf,svf,dr
Xdh,262,"[42757, 68065, 79941, 99092]",0.5280997556684868,692.805840938284,1414.1325739363626,0.0,1,1,2,0,1,7.0,1.0,0.0,0.0,0
Zfp36l1,269,"[25, 16206, 51055, 70644]",2.8827570273403174,695.5514894576747,1390.1031607993218,0.0,1,2,1,0,1,7.0,1.0,0.0,0.0,0
Tpm4,239,"[28, 14660, 88427, 96062]",2.2177376320837268,701.8773118340328,1376.492374371814,0.0,1,3,1,0,1,7.0,1.0,0.0,0.0,0
Ncl,121,"[14673, 28558, 99108, 106862]",0.9161390748044138,711.9378352871896,1414.1856002248308,0.0,1,4,3,0,1,7.0,1.0,0.0,0.0,0
Khdrbs1,73,"[38, 68082, 90175, 106869]",3.7633926144776173,713.5980307967113,1413.3712663645538,0.0,1,4,3,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[54, 48758, 53597, 64543]",0.7177955587038504,722.77718568364,1351.0713154164876,0.0,1,5,1,0,1,7.0,1.0,0.0,0.0,0
Arpc5,8,"[77, 78124, 98070, 106935]",2.551858272355308,736.7133517815242,1387.315077090391,0.0,1,6,1,0,1,7.0,1.0,0.0,0.0,0
Rpl21,188,"[9745, 48809, 52990, 94751]",1.1511476394086657,739.0779299261641,1315.6496984770733,0.0,1,7,2,0,1,7.0,1.0,0.0,0.0,0
negative_control,1775,"[85, 37214, 73637, 90223]",3.199166985922098,741.4131302555586,1347.8020361916767,0.0,1,8,1,0,1,7.0,1.0,0.0,0.0,0
Myh9,118,"[37209, 40603, 70745, 106954]",3.5883020121072557,741.1088660927703,1368.354684766346,0.0,1,9,3,0,1,7.0,1.0,0.0,0.0,0
Spp1,214,"[86, 48821, 53616, 64580]",3.949728312909164,742.027209489335,1368.205277415689,0.0,1,9,3,0,1,7.0,1.0,0.0,0.0,0
negative_control,998,"[14738, 51115, 77156, 87463]",3.055903220249622,741.6445197044561,1323.009383214387,0.0,1,10,2,0,1,7.0,1.0,0.0,0.0,0
