block,pseudocolor,x,y,s,w
1,1,614.7018105,1458.302888,1.255164691,198.0253711
1,1,627.1115037,1453.57903,1.313265517,286.0427517
1,1,638.1025335,1391.032962,1.343113857,263.3528323
1,1,639.3357661,1448.677869,1.428328511,205.5267602
1,1,646.4299611,1468.136284,1.223632495,392.3018782
1,1,654.7730873,1452.023921,1.825683381,196.0520515
1,1,658.3300258,1418.068143,1.205974933,260.4974131
1,1,659.8563644,1413.999914,2,246.0084983
1,1,660.5909099,1439.47413,1.2,233.6914625
1,1,663.0126268,1427.393144,1.92039544,292.672768
1,1,663.3171695,1347.368064,1.312146226,434.4579558
1,1,664.3114551,1437.144434,2,349.5683459
1,1,669.5914865,1496.496279,1.2,299.1611411
1,1,670.0040348,1464.661605,1.405513869,379.0069949
1,1,670.567998,1417.909701,1.385382661,850.4043659
1,1,677.5160264,1433.237683,1.476105935,188.8647305
1,1,679.2509885,1438.170627,1.391156204,326.0171815
1,1,682.6004961,1460.388272,2,238.9586381
1,1,683.9330455,1343.64699,1.245407253,224.5512649
1,1,686.8794291,1402.130187,2,320.391606
1,1,687.4924489,1423.422703,1.485037632,875.1120793
1,1,689.3833835,1434.896416,1.71464909,263.9949884
1,1,691.4796159,1413.981273,1.463510734,1384.148499
1,1,694.1862096,1369.808203,1.524146591,256.5901349
1,1,695.4511273,1389.635249,1.449181297,1266.15432
1,1,696.5549565,1382.794502,2,323.956916
1,1,700.2918371,1413.382503,1.298996747,209.955024
1,1,701.9533512,1376.144525,1.894986921,563.6060161
1,1,703.1893301,1371.943062,1.201230175,498.0496644
1,1,704.3940607,1389.225745,1.524500838,2189.38948
1,1,704.6268481,1406.952696,2,363.1939959
1,1,705.9290023,1419.076111,1.411924897,1323.274425
1,1,705.9680656,1468.161714,2,348.2485821
1,1,705.9686683,954.7739985,1.265018338,360.4819266
1,1,707.1912723,1394.267117,2,240.5285669
1,1,710.7424132,1376.070132,1.602222898,2169.617073
1,1,711.3775174,1406.844573,1.550508332,1356.749526
1,1,713.2380323,1413.758554,1.33936928,771.9488339
1,1,714.7860657,1385.478084,2,608.7229662
1,1,715.3092254,1364.702954,1.444778186,244.7674571
1,1,715.5864587,1355.964451,1.454272918,475.3051774
1,1,715.9783571,1347.680965,2,217.2274893
1,1,716.0435227,1399.000725,1.3276606,270.1004002
1,1,717.653856,1285.703487,1.257587879,242.2724595
1,1,718.1391671,1386.600673,1.2,439.1428222
1,1,719.9298407,1382.527219,1.999894471,835.0642305
1,1,720.6313935,1358.531446,1.999974128,1077.953841
1,1,721.1925071,1417.275575,1.406224086,267.5150627
1,1,721.6749175,1401.060584,1.639411244,1058.709688
1,1,721.7169221,959.2151315,1.321851513,352.7371648
1,1,721.9668186,1338.440191,2,792.9900506
1,1,722.0885632,1020.410211,1.340441162,212.1586617
1,1,722.3449143,1341.865175,1.203422009,370.6696662
1,1,722.6030874,1350.781404,1.573483591,414.6591747
1,1,723.0433924,1395.467293,1.291847197,365.5167647
1,1,725.4110009,987.0094707,1.250740093,261.3260978
1,1,725.4451651,1281.609295,1.247250761,223.2033952
1,1,726.0636724,1066.883577,1.697429491,330.3670531
1,1,726.5191585,1411.638286,1.251143683,240.1983882
1,1,726.7651846,1463.970144,1.2,238.5155606
1,1,727.3293057,1406.776277,1.653263286,805.0613978
1,1,727.6068883,953.9753791,1.236918673,493.1191093
1,1,727.8554546,1353.955484,1.61447489,332.9029085
1,1,728.6362681,1330.265619,1.506212917,882.4465692
1,1,729.4351906,1340.223219,2,429.5107506
1,1,729.7610676,1374.76722,1.507912707,206.632337
1,1,731.298807,1348.58932,1.564815437,569.9403392
1,1,732.2469922,1409.673301,1.2,234.6924483
1,1,732.3549931,1017.718645,1.330203574,339.2669763
1,1,733.7783618,1091.381012,1.2,192.4981466
1,1,733.799356,1358.598247,1.200840764,478.5743652
1,1,734.2855995,1324.344687,2,357.3238663
1,1,735.5145753,1372.484024,1.201411391,711.4211072
1,1,736.1016211,1377.066028,1.999780209,1091.5305
1,1,736.3973165,1260.109304,1.93518741,203.5238622
1,1,736.603634,955.4934937,1.310708452,187.4969755
1,1,737.3800806,1387.124864,1.656760272,1507.311927
1,1,737.4326828,1413.172169,2,225.2830854
1,1,737.8871784,1358.847287,1.835933151,1832.948695
1,1,737.9485214,1344.408962,1.979553085,431.4508701
1,1,738.4641988,1315.9111,1.64992344,977.2204189
1,1,738.7430486,968.911892,1.345555115,351.4168478
1,1,739.9613047,1181.558486,1.236094952,218.6857449
1,1,740.236263,988.1362544,1.743139865,199.8931828
1,1,741.2171077,1348.128984,1.253762386,559.2683394
1,1,741.2904138,1368.582999,1.529399871,884.0638909
1,1,741.7469521,1379.886774,1.245373814,823.8842217
1,1,742.258693,1398.015904,1.321543184,1004.419478
1,1,742.4046626,1049.070993,1.344502132,699.6522439
1,1,742.5432414,1322.154007,1.438724987,455.9082054
1,1,743.5024906,1342.093229,1.527083308,1778.056346
1,1,743.5088041,1007.304811,1.337737155,204.7069304
1,1,743.9731984,1230.784963,1.202172115,218.7401394
1,1,744.1981526,1410.595361,1.595206564,193.9121891
1,1,744.2659232,1394.060878,1.2,249.5343132
1,1,744.4127352,1362.83556,1.702230041,510.4563749
1,1,744.9956682,1281.089497,1.465592302,792.5698778
1,1,746.3125502,1363.626672,1.2,340.3327992
1,1,746.3516381,1292.898262,1.2,371.763743
1,1,746.3877455,957.8100974,1.438938681,1447.217126
1,1,746.3954686,1342.186055,1.275398264,536.465764
1,1,746.6240832,1249.722049,1.221731251,321.0702113
1,1,747.5102919,1272.533022,1.374777112,1282.073017
1,1,747.536989,1035.379007,1.268294528,328.6214298
1,1,747.8176253,971.4611853,1.281152974,202.279236
1,1,748.1793345,1381.262608,2,197.18981
1,1,748.3233744,1303.514657,2,434.7998963
1,1,748.3711803,1347.683753,1.264284773,858.8989844
1,1,748.7286779,1320.939479,1.877461401,816.7253599
1,1,749.0768738,1299.933782,1.2,421.7252892
1,1,749.4348039,1407.008806,1.384787809,286.225176
1,1,750.3115418,1295.400491,1.720471594,258.9125622
1,1,750.3265857,1288.728691,1.422635227,1193.716004
1,1,750.6544501,1325.733308,1.340050528,233.9676664
1,1,750.9910369,955.4596479,1.258909419,910.2134378
1,1,752.2121994,1378.588482,1.84610796,410.7984205
1,1,752.3419868,1360.58484,1.468504428,292.8877561
1,1,752.7223638,949.5931526,1.486518164,218.0301038
1,1,752.9335339,1393.922792,2,201.0263906
