gene,gene_number,cpath,cost,x,y
Ctbp1,24,"[26432, 60441, 78353, 89256]",0.033817386,789.3505911,1118.163329
Vim,261,"[43986, 66920, 72487, 97974]",0.042055521,681.1465259,1419.658294
Ybx1,263,"[62235, 75728, 101449, 111358]",0.047768417,716.8622947,1335.579878
Zfp36l1,269,"[1296, 17673, 52134, 72255]",0.051313694,1001.9709,1082.380106
Vim,261,"[44940, 67947, 73499, 98979]",0.060901278,1029.360738,1182.042513
Stip1,221,"[14913, 31423, 73749, 103496]",0.06391909,779.7856966,1083.657193
Ncl,121,"[14800, 28690, 99208, 107035]",0.070995852,756.8059562,992.0006106
Cox7a2l,18,"[5631, 47624, 52124, 88919]",0.072367135,998.6287446,1204.762899
Ctbp1,24,"[26739, 60729, 78596, 89549]",0.088637142,846.0794491,1091.248338
Vim,261,"[44374, 67322, 72919, 98370]",0.092714017,813.9419007,1097.730952
Vim,261,"[44445, 67406, 72991, 98450]",0.092799656,837.2131105,1026.516404
Csnk2b,23,"[49875, 75666, 84622, 91781]",0.09305467,1007.834359,1208.416288
Mmp14,87,"[11430, 47827, 75830, 91280]",0.095483957,757.7775448,1278.530524
Psmc2,162,"[47415, 65949, 88630, 95148]",0.096603584,819.6640596,1087.79782
Ppp2r1a,151,"[34816, 41060, 77441, 85919]",0.098680821,826.3825088,1360.149895
Rps15a,191,"[27434, 54547, 80815, 106039]",0.098830721,729.0764113,1326.057128
Maged1,82,"[58920, 74544, 86358, 104090]",0.101951071,1064.288105,1149.893284
Vim,261,"[44086, 67013, 72592, 98084]",0.104847626,741.2413089,1320.193793
Sfpq,206,"[32098, 54656, 74708, 86630]",0.106291198,782.3512949,1037.840499
Arf1,6,"[29079, 60594, 86781, 98383]",0.107592299,816.605593,1052.126623
Sdc4,202,"[28085, 33619, 47525, 54858]",0.108007572,903.3659294,1307.235181
Zyx,271,"[23394, 40660, 84000, 94245]",0.110029253,755.6044024,1246.879335
Zfp36l2,270,"[35744, 79869, 82857, 97845]",0.110287946,1022.178502,1071.02431
Arf1,6,"[30171, 61329, 87287, 98993]",0.114055369,1033.362425,1036.337438
Rcn3,184,"[18544, 38867, 55477, 87804]",0.116778405,817.969865,1153.339819
Vim,261,"[44589, 67569, 73130, 98606]",0.116891426,895.1154239,1088.042465
Vim,261,"[44534, 67502, 73072, 98538]",0.123201485,860.5324809,1112.20191
Tbrg1,225,"[80049, 90353, 93624, 111534]",0.125011786,780.498135,1208.922184
Vim,261,"[44462, 67425, 73011, 98470]",0.128309219,841.0384893,1039.157771
Uqcrq,257,"[7243, 21249, 43980, 63541]",0.130041851,656.6281855,1453.77554
Lrrc59,79,"[37574, 76158, 85079, 111712]",0.133241029,815.2946867,1092.771859
Ubxn1,253,"[25635, 31737, 58683, 80541]",0.135089843,960.5562317,1030.858265
Ssrp1,219,"[32086, 75516, 96359, 104288]",0.135528254,780.0951099,1138.35866
Hspd1,64,"[14424, 45940, 77932, 85511]",0.140858948,1009.541652,1213.168282
Lmna,77,"[23767, 76230, 86814, 108551]",0.141555253,825.8698201,1035.597728
Vim,261,"[44308, 67247, 72842, 98299]",0.145560216,796.5904294,1377.764347
Emp1,39,"[5507, 22944, 45810, 84541]",0.146072573,972.1269781,1243.744071
Vim,261,"[44673, 67652, 73209, 98691]",0.14667988,942.2700461,1045.458994
Ppp2r1a,151,"[34573, 40896, 77328, 85823]",0.147438691,797.9452149,1028.851014
Mta1,113,"[57438, 67138, 78284, 107161]",0.148144894,776.5526208,1129.077735
Sec13,204,"[50762, 65207, 98695, 107764]",0.148401596,944.4432757,1067.579015
Fkbp8,45,"[12864, 59084, 96237, 110142]",0.14866879,761.972488,966.8561237
Npc2,128,"[13487, 20312, 99670, 105448]",0.149140584,835.5137855,1211.553268
Fbln2,42,"[3074, 21194, 87305, 108139]",0.149457117,1041.25346,1181.454425
Vim,261,"[44118, 67049, 72633, 98119]",0.149825381,752.2616424,1294.41224
Cct5,10,"[34178, 70660, 73600, 88431]",0.154758559,707.9624994,1415.124614
Vim,261,"[44152, 67083, 72667, 98158]",0.156907742,758.9606141,1240.908618
Vim,261,"[44315, 67256, 72848, 98304]",0.157941898,797.6199175,1158.645665
Hnrnpul1,60,"[40491, 47129, 55994, 83851]",0.159164633,1044.826171,1120.742962
Mrpl12,92,"[51170, 65645, 75506, 86554]",0.159326025,761.8099042,956.2384335
Ncl,121,"[15013, 28917, 99421, 107293]",0.164645216,796.0786565,1046.731738
Nap1l1,120,"[38426, 52286, 64492, 82927]",0.165636453,644.3847394,1469.277563
Actn4,3,"[11589, 23515, 58328, 61591]",0.168090104,787.0900123,1349.269376
Ergic1,41,"[21616, 41207, 70011, 99792]",0.169311754,859.5844294,1102.204147
Vim,261,"[44398, 67344, 72941, 98390]",0.172074135,819.7543873,1065.291445
Maged1,82,"[58478, 74035, 85950, 103681]",0.17365447,839.8232058,1030.840866
Loxl1,78,"[37121, 50091, 56039, 70625]",0.17591658,1092.074805,1114.143101
Sfpq,206,"[32849, 55056, 75452, 87290]",0.177240207,1034.438086,1202.990135
Polr2e,148,"[17942, 40519, 64510, 80764]",0.180402818,696.934618,1370.802143
Tomm40,235,"[25816, 78958, 83788, 93327]",0.180751602,1002.114627,1115.532743
