gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
1,2,3,0,1,8,0,0,0,7,0
2,7,0,9,9,8,0,0,0,7,0
3,0,2,3,0,0,0,9,4,0,3
4,0,2,3,0,0,0,0,5,8,4
5,0,2,3,0,9,0,0,9,0,5
6,0,2,3,0,1,8,0,0,0,7
7,0,2,3,0,0,6,0,0,10,8
8,0,2,3,0,6,0,3,0,0,8
9,0,2,3,0,0,3,6,0,0,9
10,0,2,3,0,0,9,0,3,0,10
11,0,2,3,0,0,0,1,0,1,10
12,0,2,3,0,0,8,7,0,2,0
13,0,2,3,0,0,5,0,10,6,0
14,0,2,3,0,0,0,3,1,9,0
15,0,2,3,0,3,0,6,2,0,0
16,0,2,3,0,7,2,0,4,0,0
17,0,2,3,0,0,4,5,6,0,0
18,0,2,3,0,10,9,1,0,0,0
19,6,7,6,0,9,0,0,0,7,0
20,6,7,6,0,0,9,1,0,0,0
21,10,9,0,2,9,0,0,0,7,0
22,10,9,0,2,0,9,1,0,0,0
23,3,0,5,4,9,0,0,0,7,0
24,3,0,5,4,0,9,1,0,0,0
25,0,4,4,8,9,0,0,0,7,0
26,0,4,4,8,0,9,1,0,0,0
27,10,0,1,10,0,0,0,9,0,5
28,10,0,1,10,10,0,0,0,7,0
29,1,1,9,0,0,0,0,9,0,5
30,1,1,9,0,10,0,0,0,7,0
31,7,4,0,3,0,0,0,9,0,5
32,7,4,0,3,10,0,0,0,7,0
33,0,6,5,5,0,0,0,9,0,5
34,0,6,5,5,10,0,0,0,7,0
35,2,9,3,3,0,0,0,0,7,0
36,8,1,5,6,0,0,0,0,7,0
37,10,2,2,7,0,0,0,0,7,0
38,1,3,10,8,0,0,0,0,7,0
39,3,4,7,9,0,0,0,0,7,0
40,5,5,4,10,0,0,0,0,7,0
41,9,7,9,1,0,0,0,0,7,0
42,2,0,4,0,0,9,0,0,6,1
43,2,0,4,0,0,0,7,0,9,4
44,2,0,4,0,2,0,0,9,0,5
45,2,0,4,0,0,5,8,0,0,6
46,2,0,4,0,0,0,0,2,3,6
47,2,0,4,0,5,8,0,0,0,7
48,2,0,4,0,0,0,2,3,0,7
49,2,0,4,0,10,0,3,0,0,8
50,2,0,4,0,0,1,5,0,5,0
51,2,0,4,0,0,0,10,7,10,0
52,2,0,4,0,7,0,6,2,0,0
53,2,0,4,0,3,9,1,0,0,0
54,1,5,0,5,1,0,0,0,7,0
55,1,5,0,5,0,2,0,4,0,0
56,0,10,7,10,1,0,0,0,7,0
57,0,10,7,10,0,2,0,4,0,0
58,8,5,7,0,0,0,3,0,0,8
59,8,5,7,0,2,0,0,0,7,0
60,9,0,0,6,0,0,0,4,10,1
61,9,0,0,6,0,7,0,0,5,2
62,9,0,0,6,0,3,0,7,0,3
63,9,0,0,6,3,0,0,9,0,5
64,9,0,0,6,6,8,0,0,0,7
65,9,0,0,6,0,0,9,3,2,0
66,9,0,0,6,0,2,10,0,3,0
67,9,0,0,6,0,4,0,8,4,0
68,9,0,0,6,8,0,6,2,0,0
69,9,0,0,6,1,2,0,4,0,0
70,9,0,0,6,0,7,7,9,0,0
71,9,0,0,6,4,9,1,0,0,0
72,0,1,8,7,0,0,3,0,0,8
73,0,1,8,7,2,0,0,0,7,0
74,6,6,0,7,3,0,0,0,7,0
75,3,10,10,0,3,0,0,0,7,0
76,5,0,7,1,3,0,0,0,7,0
77,0,3,9,4,3,0,0,0,7,0
78,1,0,3,7,4,0,0,0,7,0
79,3,1,0,8,4,0,0,0,7,0
80,9,4,2,0,4,0,0,0,7,0
81,0,5,10,1,4,0,0,0,7,0
82,4,9,5,0,5,0,0,0,7,0
83,4,9,5,0,0,0,6,2,0,0
84,8,0,10,2,5,0,0,0,7,0
85,8,0,10,2,0,0,6,2,0,0
86,0,7,0,9,0,6,0,5,0,1
87,0,7,0,9,0,7,10,0,0,3
88,0,7,0,9,6,0,0,9,0,5
89,0,7,0,9,0,1,0,0,2,5
90,0,7,0,9,9,8,0,0,0,7
91,0,7,0,9,3,0,3,0,0,8
92,0,7,0,9,0,0,0,10,9,8
93,0,7,0,9,0,0,2,0,6,9
94,0,7,0,9,0,10,0,9,5,0
95,0,7,0,9,0,5,3,0,8,0
96,0,7,0,9,4,2,0,4,0,0
97,0,7,0,9,7,9,1,0,0,0
98,4,0,6,8,6,0,0,0,7,0
99,8,2,0,10,6,0,0,0,7,0
100,10,3,8,0,6,0,0,0,7,0
101,0,9,1,6,6,0,0,0,7,0
102,5,8,0,0,0,0,8,7,0,2
103,5,8,0,0,8,0,0,9,0,5
104,5,8,0,0,0,0,5,0,10,6
105,5,8,0,0,5,0,3,0,0,8
106,5,8,0,0,0,0,0,3,1,9
107,5,8,0,0,0,3,0,6,2,0
108,5,8,0,0,0,7,2,0,4,0
109,5,8,0,0,0,0,4,5,6,0
110,5,8,0,0,0,10,9,1,0,0
111,5,8,0,0,2,0,6,2,0,0
112,5,8,0,0,6,2,0,4,0,0
113,5,8,0,0,9,9,1,0,0,0
114,0,0,2,3,0,0,8,7,0,2
115,0,0,2,3,8,0,0,9,0,5
116,0,0,2,3,0,0,5,0,10,6
117,0,0,2,3,5,0,3,0,0,8
118,0,0,2,3,0,0,0,3,1,9
119,0,0,2,3,0,3,0,6,2,0
120,0,0,2,3,0,7,2,0,4,0
121,0,0,2,3,0,0,4,5,6,0
122,0,0,2,3,0,10,9,1,0,0
123,0,0,2,3,2,0,6,2,0,0
124,0,0,2,3,6,2,0,4,0,0
125,0,0,2,3,9,9,1,0,0,0
126,7,0,0,10,0,7,0,5,0,1
127,7,0,0,10,0,0,4,0,10,2
128,7,0,0,10,7,0,0,6,0,2
129,7,0,0,10,0,8,10,0,0,3
130,7,0,0,10,5,0,2,0,0,4
131,7,0,0,10,0,2,0,0,2,5
132,7,0,0,10,10,0,0,0,1,6
133,7,0,0,10,9,9,0,0,0,7
134,7,0,0,10,0,0,7,7,0,9
135,7,0,0,10,5,1,0,0,7,0
136,7,0,0,10,0,6,3,0,8,0
