gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
1,α⁷,α²,α⁶,α,α,0,0,0,0,0
2,1,α³,α⁷,α²,α²,0,0,0,0,0
3,α⁶,α,α⁵,1,1,0,0,0,0,0
4,1,α⁴,α⁴,α,0,α³,0,0,0,0
5,α²,α⁶,α⁶,α³,0,α⁵,0,0,0,0
6,α³,α⁷,α⁷,α⁴,0,α⁶,0,0,0,0
7,α⁴,1,1,α⁵,0,α⁷,0,0,0,0
8,α⁶,α³,1,α⁴,0,0,α,0,0,0
9,α⁷,α⁴,α,α⁵,0,0,α²,0,0,0
10,α²,α⁷,α⁴,1,0,0,α⁵,0,0,0
11,α³,1,α⁵,α,0,0,α⁶,0,0,0
12,α,α⁷,α⁶,α⁵,0,0,0,α²,0,0
13,α⁴,α²,α,1,0,0,0,α⁵,0,0
14,α⁵,α³,α²,α,0,0,0,α⁶,0,0
15,α⁶,α⁴,α³,α²,0,0,0,α⁷,0,0
16,α⁵,α⁴,α⁶,α⁴,0,0,0,0,α²,0
17,α⁶,α⁵,α⁷,α⁵,0,0,0,0,α³,0
18,α⁷,α⁶,1,α⁶,0,0,0,0,α⁴,0
19,1,α⁷,α,α⁷,0,0,0,0,α⁵,0
20,α,1,α²,1,0,0,0,0,α⁶,0
21,α³,α²,α⁴,α²,0,0,0,0,1,0
22,α,α,α⁴,α⁴,0,0,0,0,0,α
23,α²,α²,α⁵,α⁵,0,0,0,0,0,α²
24,α³,α³,α⁶,α⁶,0,0,0,0,0,α³
25,α⁴,α⁴,α⁷,α⁷,0,0,0,0,0,α⁴
26,α⁵,α⁵,1,1,0,0,0,0,0,α⁵
27,α⁶,α⁶,α,α,0,0,0,0,0,α⁶
28,α⁷,α⁷,α²,α²,0,0,0,0,0,α⁷
29,1,1,α³,α³,0,0,0,0,0,1
30,1,α⁶,0,α⁶,α,α,0,0,0,0
31,α⁴,α,α⁷,0,α³,α,0,0,0,0
32,0,1,α³,α²,α⁴,α,0,0,0,0
33,α,α⁷,0,α⁷,α²,α²,0,0,0,0
34,α⁵,α²,1,0,α⁴,α²,0,0,0,0
35,0,α²,α⁵,α⁴,α⁶,α³,0,0,0,0
36,α³,0,1,α⁶,α⁷,α³,0,0,0,0
37,α⁷,α⁴,α²,0,α⁶,α⁴,0,0,0,0
38,α⁴,0,α,α⁷,1,α⁴,0,0,0,0
39,α⁵,0,α²,1,α,α⁵,0,0,0,0
40,α⁴,α²,0,α²,α⁵,α⁵,0,0,0,0
41,0,α⁴,α⁷,α⁶,1,α⁵,0,0,0,0
42,0,α⁵,1,α⁷,α,α⁶,0,0,0,0
43,0,α⁶,α,1,α²,α⁷,0,0,0,0
44,α⁷,0,α⁴,α²,α³,α⁷,0,0,0,0
45,α⁶,α⁴,0,α⁴,α⁷,α⁷,0,0,0,0
46,1,0,α⁵,α³,α⁴,1,0,0,0,0
47,α⁷,α⁵,0,α⁵,1,1,0,0,0,0
48,α³,0,α⁶,α³,α⁶,0,α,0,0,0
49,α⁷,α⁶,0,α²,α⁷,0,α,0,0,0
50,α²,1,α³,0,1,0,α,0,0,0
51,α³,α,α⁴,0,α,0,α²,0,0,0
52,0,α³,α³,α,α⁵,0,α²,0,0,0
53,α⁴,0,α⁷,α⁴,α⁷,0,α²,0,0,0
54,0,α⁴,α⁴,α²,α⁶,0,α³,0,0,0
55,α⁵,0,1,α⁵,1,0,α³,0,0,0
56,α⁶,0,α,α⁶,α,0,α⁴,0,0,0
57,α⁵,α³,α⁶,0,α³,0,α⁴,0,0,0
58,0,α⁵,α⁵,α³,α⁷,0,α⁴,0,0,0
59,α⁷,0,α²,α⁷,α²,0,α⁵,0,0,0
60,α³,α²,0,α⁶,α³,0,α⁵,0,0,0
61,α⁶,α⁴,α⁷,0,α⁴,0,α⁵,0,0,0
62,0,α⁷,α⁷,α⁵,α,0,α⁶,0,0,0
63,α⁷,α⁵,1,0,α⁵,0,α⁶,0,0,0
64,0,1,1,α⁶,α²,0,α⁷,0,0,0
65,α,0,α⁴,α,α⁴,0,α⁷,0,0,0
66,1,α⁶,α,0,α⁶,0,α⁷,0,0,0
67,0,α,α,α⁷,α³,0,1,0,0,0
68,α²,0,α⁵,α²,α⁵,0,1,0,0,0
69,α⁶,α⁵,0,α,α⁶,0,1,0,0,0
70,α,0,α⁷,α⁷,α,0,0,α,0,0
71,0,1,α²,α³,α⁶,0,0,α,0,0
72,α²,0,1,1,α²,0,0,α²,0,0
73,α⁷,α⁶,α³,0,α²,0,0,α³,0,0
74,0,α²,α⁴,α⁵,1,0,0,α³,0,0
75,0,α³,α⁵,α⁶,α,0,0,α⁴,0,0
76,1,α⁷,α⁴,0,α³,0,0,α⁴,0,0
77,α²,α²,0,α³,α⁷,0,0,α⁴,0,0
78,α,1,α⁵,0,α⁴,0,0,α⁵,0,0
79,α⁴,α⁴,0,α⁵,α,0,0,α⁶,0,0
80,α²,α,α⁶,0,α⁵,0,0,α⁶,0,0
81,α⁵,α⁵,0,α⁶,α²,0,0,α⁷,0,0
82,α³,α²,α⁷,0,α⁶,0,0,α⁷,0,0
83,α⁶,α⁶,0,α⁷,α³,0,0,1,0,0
84,0,α⁷,α,α²,α⁵,0,0,1,0,0
85,α⁴,α³,1,0,α⁷,0,0,1,0,0
86,1,0,α⁶,α⁶,1,0,0,1,0,0
87,0,α⁷,α⁴,α⁴,α²,0,0,0,α,0
88,α,α²,0,α⁵,α⁴,0,0,0,α,0
89,α⁶,α⁶,α⁶,0,α⁷,0,0,0,α,0
90,0,1,α⁵,α⁵,α³,0,0,0,α²,0
91,α²,α³,0,α⁶,α⁵,0,0,0,α²,0
92,α,0,α³,α²,α⁷,0,0,0,α²,0
93,α⁷,α⁷,α⁷,0,1,0,0,0,α²,0
94,1,1,1,0,α,0,0,0,α³,0
95,α²,0,α⁴,α³,1,0,0,0,α³,0
96,α³,0,α⁵,α⁴,α,0,0,0,α⁴,0
