gene,block1,block2,block3,block4
1,12,23,23,8
2,15,3,8,1
3,6,15,24,20
4,1,6,10,17
5,1,1,1,3
6,22,10,16,23
7,2,10,17,4
8,23,22,24,19
9,18,17,5,15
10,20,8,13,16
11,17,24,9,0
12,14,1,2,17
13,10,0,17,2
14,2,11,18,6
15,11,14,18,18
16,4,11,15,5
17,24,20,1,20
18,8,14,0,22
19,21,24,12,7
20,19,7,9,10
21,5,2,3,10
22,17,5,12,9
23,22,21,7,0
24,13,8,3,24
25,14,13,20,22
26,16,18,7,16
27,9,8,19,11
28,14,14,6,9
29,8,0,7,15
30,16,16,14,21
31,16,12,15,18
32,13,4,13,5
33,7,9,21,12
34,19,13,11,18
35,2,10,3,15
36,18,22,19,9
37,20,12,7,14
38,5,4,4,13
39,4,22,20,21
40,21,9,11,16
41,24,7,10,16
42,11,12,5,3
43,21,12,7,15
44,13,5,14,7
45,7,17,22,21
46,22,0,13,10
47,23,0,0,23
48,19,16,4,14
49,24,0,22,21
50,0,19,12,6
51,7,13,11,6
52,23,17,6,21
53,8,9,14,6
54,5,9,9,23
55,2,18,4,24
56,19,20,20,9
57,24,4,4,7
58,14,24,12,0
59,0,13,14,2
60,18,7,11,11
61,4,18,22,19
62,10,14,22,21
63,19,7,18,19
64,3,12,22,12
65,0,5,22,2
66,0,17,21,13
67,24,4,14,17
68,6,6,15,2
69,17,11,21,24
70,20,24,11,5
71,3,21,7,6
72,7,9,20,11
73,3,13,12,3
74,11,21,15,22
75,14,2,19,10
76,17,13,4,9
77,0,17,4,21
78,3,0,21,24
79,22,5,2,4
80,9,2,17,3
81,18,16,5,14
82,20,12,22,4
83,7,19,10,11
84,0,0,22,22
85,3,4,6,13
86,8,21,17,21
87,11,16,2,4
88,9,16,14,14
89,13,20,17,0
90,20,14,2,11
91,9,4,22,10
92,21,5,14,15
93,22,2,0,24
94,8,20,12,15
95,10,7,13,5
96,20,5,21,21
97,8,24,4,11
98,3,6,0,9
99,4,18,2,24
100,4,8,11,23
101,11,5,0,16
102,18,11,3,7
103,17,11,4,7
104,8,21,20,24
105,19,16,6,16
106,0,18,20,13
107,21,18,18,7
108,13,12,0,0
109,11,16,20,22
110,18,6,19,18
111,6,15,5,1
112,7,8,3,18
113,21,15,13,24
114,6,21,20,22
115,19,8,16,18
116,8,21,9,13
117,22,19,13,4
118,9,20,19,23
119,9,5,0,14
120,2,13,8,23
121,10,12,1,23
122,13,7,18,13
123,23,15,1,14
124,15,18,6,14
125,3,18,21,17
126,21,17,0,13
127,20,6,5,6
128,7,4,2,13
129,17,11,11,14
130,24,9,19,2
131,3,2,2,7
132,16,7,16,14
133,23,21,18,12
134,13,21,20,4
135,16,22,14,2
136,9,13,2,24
137,7,21,8,11
138,16,24,7,22
139,17,19,3,14
140,13,5,10,3
141,13,20,14,22
142,14,19,17,0
143,24,19,18,11
144,20,16,5,16
145,5,19,0,24
146,23,7,12,17
147,16,13,3,7
148,8,20,2,5
149,9,17,14,15
150,12,14,21,22
151,24,15,15,4
152,13,2,3,18
153,10,4,21,10
154,20,19,17,6
155,1,12,23,11
156,15,13,10,13
157,7,16,10,8
158,11,7,21,14
159,17,2,16,10
160,14,24,22,10
161,17,7,3,2
162,22,18,11,1
163,5,0,19,24
164,4,8,19,6
165,6,21,16,18
166,13,11,22,21
167,8,3,21,7
168,18,20,19,7
169,3,19,19,16
170,8,14,12,9
171,4,4,3,11
172,16,20,17,3
173,1,13,4,18
174,15,23,21,9
175,22,4,6,7
176,3,16,16,10
177,11,3,16,5
178,5,19,20,19
179,10,19,18,22
180,4,19,15,13
181,1,2,2,5
182,23,21,6,0
183,17,8,3,3
184,21,13,20,4
185,5,2,2,9
186,14,7,14,10
187,24,2,12,13
188,11,1,15,2
189,9,22,13,19
190,10,16,13,14
191,11,22,10,18
192,9,18,18,20
193,19,19,22,10
194,14,19,6,14
195,19,7,21,22
196,16,20,19,5
197,2,1,1,4
198,21,6,1,3
199,13,15,21,24
200,2,9,1,12
201,9,17,10,11
202,0,11,6,17
203,3,22,0,0
204,11,20,6,12
205,3,1,1,5
206,19,17,19,5
207,9,2,20,6
208,9,20,9,13
209,18,4,7,4
210,24,19,3,21
211,20,16,16,2
212,23,5,17,20
213,7,2,4,13
214,0,12,5,17
215,7,1,15,23
216,7,0,2,9
217,24,20,4,23
218,10,2,18,5
219,3,24,7,9
220,0,24,15,14
221,2,4,5,11
222,14,19,5,13
223,20,4,4,3
224,24,17,13,4
225,4,9,4,17
226,1,16,6,23
227,11,2,9,22
228,9,12,10,6
229,24,3,9,11
230,20,9,12,16
231,7,22,6,10
232,13,5,9,2
233,11,14,13,13
234,17,6,5,3
235,8,21,12,16
236,10,16,4,5
237,3,24,13,15
238,19,24,18,11
239,9,19,1,4
240,19,8,13,15
241,10,8,12,5
242,17,1,20,13
243,11,11,12,9
244,13,14,13,15
245,10,16,8,9
246,11,12,21,19
247,20,7,9,11
248,7,16,13,11
249,4,7,1,12
250,23,0,2,0
251,5,8,19,7
252,1,5,13,19
253,14,5,21,15
254,0,6,20,1
255,0,9,8,17
256,16,16,18,0
257,3,8,1,12
258,10,20,9,14
259,0,21,19,15
260,3,7,5,15
261,11,7,7,0
262,6,7,2,15
263,21,8,21,0
264,13,14,7,9
265,9,24,14,22
266,18,17,15,0
267,1,9,10,20
268,16,15,17,23
269,17,2,6,0
270,20,14,18,2
271,17,11,14,17
