gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
1,α⁴,α⁶,0,α⁴,α³,α,0,0,0
2,α⁵,α²,0,α²,α⁶,α,0,0,0
3,α,α⁶,0,α³,α⁶,α,0,0,0
4,α³,α⁶,0,α⁶,1,α,0,0,0
5,α³,α⁶,0,α²,α³,α²,0,0,0
6,α⁴,α⁶,0,α⁵,1,α²,0,0,0
7,α⁵,α⁴,0,α²,α⁵,α³,0,0,0
8,α³,α⁶,0,α⁴,α⁵,α³,0,0,0
9,α⁵,α⁶,0,α³,1,α³,0,0,0
10,α²,α³,0,α³,α,α⁴,0,0,0
11,α⁴,α²,0,α⁶,α²,α⁴,0,0,0
12,1,α⁵,0,α⁴,α³,α⁴,0,0,0
13,α³,α³,0,α⁵,α³,α⁴,0,0,0
14,α⁴,α⁶,0,1,α⁴,α⁴,0,0,0
15,α²,α²,0,α,α⁵,α⁴,0,0,0
16,α³,1,0,α²,α⁵,α⁴,0,0,0
17,α⁶,α⁴,0,α⁵,α⁵,α⁴,0,0,0
18,1,α⁶,0,α⁶,α⁵,α⁴,0,0,0
19,α,α³,0,1,α⁵,α⁴,0,0,0
20,α⁶,α⁵,0,α³,α⁶,α⁴,0,0,0
21,α²,α⁶,0,α⁴,α⁶,α⁴,0,0,0
22,1,α⁴,0,α,1,α⁴,0,0,0
23,α⁶,α,0,α,α,α⁵,0,0,0
24,α⁴,α²,0,α⁴,α,α⁵,0,0,0
25,α³,α⁶,0,1,α,α⁵,0,0,0
26,α⁵,α⁶,0,α²,α²,α⁵,0,0,0
27,α⁴,α⁵,0,1,α²,α⁵,0,0,0
28,1,α²,0,α,α³,α⁵,0,0,0
29,α⁴,1,0,α²,α³,α⁵,0,0,0
30,α²,α⁶,0,α⁶,α³,α⁵,0,0,0
31,α³,α⁵,0,α,α⁴,α⁵,0,0,0
32,1,α³,0,α³,α⁴,α⁵,0,0,0
33,α⁴,α⁴,0,α⁶,α⁴,α⁵,0,0,0
34,α²,α⁵,0,α⁴,α⁵,α⁵,0,0,0
35,α⁴,α³,0,α⁵,α⁵,α⁵,0,0,0
36,α³,α³,0,α²,α⁶,α⁵,0,0,0
37,α⁴,α,0,α³,α⁶,α⁵,0,0,0
38,1,α⁵,0,α⁶,α⁶,α⁵,0,0,0
39,α,α³,0,α,1,α⁵,0,0,0
40,1,α⁶,0,α⁴,1,α⁵,0,0,0
41,α³,1,0,α⁵,1,α⁵,0,0,0
42,α³,α³,0,α,α,α⁶,0,0,0
43,1,α⁵,0,α³,α,α⁶,0,0,0
44,α⁴,α,0,α⁶,α,α⁶,0,0,0
45,α⁶,α²,0,1,α,α⁶,0,0,0
46,α⁴,1,0,α,α²,α⁶,0,0,0
47,1,α²,0,α²,α²,α⁶,0,0,0
48,α²,α⁶,0,α³,α²,α⁶,0,0,0
49,α⁶,α⁵,0,α⁴,α²,α⁶,0,0,0
50,α⁵,α³,0,α⁵,α²,α⁶,0,0,0
51,α⁶,1,0,α³,α³,α⁶,0,0,0
52,α²,α³,0,α⁴,α³,α⁶,0,0,0
53,α⁴,α⁵,0,α⁵,α³,α⁶,0,0,0
54,α,α²,0,α⁶,α³,α⁶,0,0,0
55,α⁶,α⁴,0,α,α⁴,α⁶,0,0,0
56,α,α³,0,α²,α⁴,α⁶,0,0,0
57,α⁵,α,0,α³,α⁴,α⁶,0,0,0
58,α²,α²,0,α⁵,α⁴,α⁶,0,0,0
59,α³,1,0,1,α⁴,α⁶,0,0,0
60,α⁴,α⁶,0,α²,α⁵,α⁶,0,0,0
61,α³,α²,0,α³,α⁵,α⁶,0,0,0
62,α,α⁴,0,α⁴,α⁵,α⁶,0,0,0
63,α⁵,α⁵,0,1,α⁵,α⁶,0,0,0
64,1,1,0,α⁴,α⁶,α⁶,0,0,0
65,α³,α⁶,0,α⁵,α⁶,α⁶,0,0,0
66,α²,α,0,α,1,α⁶,0,0,0
67,α³,α⁵,0,α²,1,α⁶,0,0,0
68,α⁵,α²,0,α⁴,1,α⁶,0,0,0
69,α²,1,0,α,α,1,0,0,0
70,α³,α²,0,α²,α,1,0,0,0
71,α⁴,α⁶,0,α³,α,1,0,0,0
72,α⁵,α⁵,0,α⁴,α,1,0,0,0
73,α⁶,α³,0,α⁵,α,1,0,0,0
74,α,α⁴,0,1,α,1,0,0,0
75,1,α³,0,α,α²,1,0,0,0
76,α⁴,α⁴,0,α²,α²,1,0,0,0
77,α³,α⁵,0,α³,α²,1,0,0,0
78,α²,α,0,α⁶,α²,1,0,0,0
79,α⁵,α²,0,1,α²,1,0,0,0
80,α⁵,α,0,α²,α³,1,0,0,0
81,α,α³,0,α³,α³,1,0,0,0
82,α³,1,0,α⁴,α³,1,0,0,0
83,1,α⁶,0,α⁵,α³,1,0,0,0
84,α⁶,α⁴,0,α⁶,α³,1,0,0,0
85,α,α²,0,α,α⁴,1,0,0,0
86,α⁶,1,0,α²,α⁴,1,0,0,0
87,1,α,0,α⁴,α⁴,1,0,0,0
88,α³,α⁴,0,α⁵,α⁴,1,0,0,0
89,α⁵,α⁶,0,α⁶,α⁴,1,0,0,0
90,α⁴,α,0,α,α⁵,1,0,0,0
91,α²,α⁴,0,α³,α⁵,1,0,0,0
92,α⁶,α²,0,α⁴,α⁵,1,0,0,0
93,α³,α³,0,α⁶,α⁵,1,0,0,0
94,α²,α⁵,0,α⁵,α⁶,1,0,0,0
95,α²,α⁶,0,α²,1,1,0,0,0
96,1,α²,0,α³,1,1,0,0,0
97,α,α,0,α⁵,1,1,0,0,0
98,α⁶,α⁵,0,1,1,1,0,0,0
99,α⁵,α⁶,0,α²,α,0,α,0,0
100,α,α²,0,α³,α,0,α,0,0
101,α³,α⁴,0,α⁴,α,0,α,0,0
102,1,α,0,α⁵,α,0,α,0,0
103,α⁶,1,0,α⁶,α,0,α,0,0
104,α⁴,α⁵,0,1,α,0,α,0,0
105,α⁶,α,0,α,α²,0,α,0,0
106,α,α⁵,0,α²,α²,0,α,0,0
107,α⁵,α⁴,0,α³,α²,0,α,0,0
108,α⁴,α²,0,α⁴,α²,0,α,0,0
109,α³,α⁶,0,1,α²,0,α,0,0
