gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
1,α⁷,α⁴,α,α,0,0,0,0,0,0
2,α²,1,α²,α,0,0,0,0,0,0
3,1,α³,α³,α,0,0,0,0,0,0
4,α⁵,α,α⁴,α,0,0,0,0,0,0
5,α⁴,α⁶,α⁵,α,0,0,0,0,0,0
6,α³,α²,1,α,0,0,0,0,0,0
7,α⁴,α³,α,α²,0,0,0,0,0,0
8,1,α⁵,α²,α²,0,0,0,0,0,0
9,α³,α,α³,α²,0,0,0,0,0,0
10,α,α⁴,α⁴,α²,0,0,0,0,0,0
11,α⁶,α²,α⁵,α²,0,0,0,0,0,0
12,α⁵,α⁷,α⁶,α²,0,0,0,0,0,0
13,α⁵,α⁴,α²,α³,0,0,0,0,0,0
14,α,α⁶,α³,α³,0,0,0,0,0,0
15,α⁴,α²,α⁴,α³,0,0,0,0,0,0
16,α²,α⁵,α⁵,α³,0,0,0,0,0,0
17,α⁷,α³,α⁶,α³,0,0,0,0,0,0
18,α⁶,1,α⁷,α³,0,0,0,0,0,0
19,α⁶,α⁵,α³,α⁴,0,0,0,0,0,0
20,α²,α⁷,α⁴,α⁴,0,0,0,0,0,0
21,α⁵,α³,α⁵,α⁴,0,0,0,0,0,0
22,α³,α⁶,α⁶,α⁴,0,0,0,0,0,0
23,1,α⁴,α⁷,α⁴,0,0,0,0,0,0
24,α⁷,α,1,α⁴,0,0,0,0,0,0
25,1,α²,α,α⁵,0,0,0,0,0,0
26,α⁷,α⁶,α⁴,α⁵,0,0,0,0,0,0
27,α³,1,α⁵,α⁵,0,0,0,0,0,0
28,α⁶,α⁴,α⁶,α⁵,0,0,0,0,0,0
29,α⁴,α⁷,α⁷,α⁵,0,0,0,0,0,0
30,α,α⁵,1,α⁵,0,0,0,0,0,0
31,α²,α⁶,α,α⁶,0,0,0,0,0,0
32,α,α³,α²,α⁶,0,0,0,0,0,0
33,1,α⁷,α⁵,α⁶,0,0,0,0,0,0
34,α⁴,α,α⁶,α⁶,0,0,0,0,0,0
35,α⁷,α⁵,α⁷,α⁶,0,0,0,0,0,0
36,α⁵,1,1,α⁶,0,0,0,0,0,0
37,α⁶,α,α,α⁷,0,0,0,0,0,0
38,α³,α⁷,α²,α⁷,0,0,0,0,0,0
39,α²,α⁴,α³,α⁷,0,0,0,0,0,0
40,α,1,α⁶,α⁷,0,0,0,0,0,0
41,α⁵,α²,α⁷,α⁷,0,0,0,0,0,0
42,1,α⁶,1,α⁷,0,0,0,0,0,0
43,α,α⁷,α,1,0,0,0,0,0,0
44,α⁷,α²,α²,1,0,0,0,0,0,0
45,α⁴,1,α³,1,0,0,0,0,0,0
46,α³,α⁵,α⁴,1,0,0,0,0,0,0
47,α²,α,α⁷,1,0,0,0,0,0,0
48,α⁶,α³,1,1,0,0,0,0,0,0
49,0,α³,1,α,α,0,0,0,0,0
50,0,α⁵,α³,α²,α,0,0,0,0,0
51,0,α,α,α³,α,0,0,0,0,0
52,0,α⁴,α⁶,α⁴,α,0,0,0,0,0
53,0,α²,α⁵,α⁵,α,0,0,0,0,0
54,0,α⁶,α²,α⁷,α,0,0,0,0,0
55,0,α⁴,α,α²,α²,0,0,0,0,0
56,0,α⁶,α⁴,α³,α²,0,0,0,0,0
57,0,α²,α²,α⁴,α²,0,0,0,0,0
