gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
1,α⁴,α³,α⁵,α,0,0,0,0,0
2,1,α⁶,α⁵,α,0,0,0,0,0
3,α²,α⁷,α⁵,α,0,0,0,0,0
4,α⁶,1,α⁵,α,0,0,0,0,0
5,α⁵,α,α⁶,α,0,0,0,0,0
6,α⁶,α²,α⁶,α,0,0,0,0,0
7,α⁷,α³,α⁶,α,0,0,0,0,0
8,1,α⁴,α⁶,α,0,0,0,0,0
9,α,α⁵,α⁶,α,0,0,0,0,0
10,α²,α⁶,α⁶,α,0,0,0,0,0
11,α³,α⁷,α⁶,α,0,0,0,0,0
12,α⁴,1,α⁶,α,0,0,0,0,0
13,1,α,α⁷,α,0,0,0,0,0
14,α⁵,α³,α⁷,α,0,0,0,0,0
15,α⁷,α⁴,α⁷,α,0,0,0,0,0
16,α³,α⁵,α⁷,α,0,0,0,0,0
17,α⁶,α⁶,α⁷,α,0,0,0,0,0
18,α⁴,α⁷,α⁷,α,0,0,0,0,0
19,α,1,α⁷,α,0,0,0,0,0
20,α⁶,α,1,α,0,0,0,0,0
21,α³,α²,1,α,0,0,0,0,0
22,α²,α³,1,α,0,0,0,0,0
23,α⁷,α⁵,1,α,0,0,0,0,0
24,α,α⁶,1,α,0,0,0,0,0
25,α⁵,α⁷,1,α,0,0,0,0,0
26,1,1,1,α,0,0,0,0,0
27,α⁴,α,α⁵,α²,0,0,0,0,0
28,1,α²,α⁵,α²,0,0,0,0,0
29,α³,α³,α⁵,α²,0,0,0,0,0
30,α,α⁴,α⁵,α²,0,0,0,0,0
31,α⁶,α⁵,α⁵,α²,0,0,0,0,0
32,α⁵,α⁶,α⁵,α²,0,0,0,0,0
33,α²,1,α⁵,α²,0,0,0,0,0
34,α⁷,α,α⁶,α²,0,0,0,0,0
35,α⁵,α⁴,α⁶,α²,0,0,0,0,0
36,α⁴,α⁵,α⁶,α²,0,0,0,0,0
37,α³,1,α⁶,α²,0,0,0,0,0
38,α⁵,α,α⁷,α²,0,0,0,0,0
39,α⁶,α²,α⁷,α²,0,0,0,0,0
40,α⁷,α³,α⁷,α²,0,0,0,0,0
41,1,α⁴,α⁷,α²,0,0,0,0,0
42,α,α⁵,α⁷,α²,0,0,0,0,0
43,α²,α⁶,α⁷,α²,0,0,0,0,0
44,α³,α⁷,α⁷,α²,0,0,0,0,0
45,α⁴,1,α⁷,α²,0,0,0,0,0
46,α²,α,1,α²,0,0,0,0,0
47,α,α²,1,α²,0,0,0,0,0
48,α⁶,α⁴,1,α²,0,0,0,0,0
49,1,α⁵,1,α²,0,0,0,0,0
50,α⁴,α⁶,1,α²,0,0,0,0,0
51,α⁷,α⁷,1,α²,0,0,0,0,0
52,α⁵,1,1,α²,0,0,0,0,0
53,α⁷,α²,α⁴,α³,0,0,0,0,0
54,α³,α⁴,α⁴,α³,0,0,0,0,0
55,1,α⁶,α⁴,α³,0,0,0,0,0
56,α⁶,α⁴,α⁵,α³,0,0,0,0,0
57,1,α⁵,α⁵,α³,0,0,0,0,0
58,α⁴,α⁶,α⁵,α³,0,0,0,0,0
59,α⁷,α⁷,α⁵,α³,0,0,0,0,0
60,α³,α,α⁶,α³,0,0,0,0,0
61,α⁵,α²,α⁶,α³,0,0,0,0,0
62,α,α³,α⁶,α³,0,0,0,0,0
63,α⁴,α⁴,α⁶,α³,0,0,0,0,0
64,α⁷,α⁶,α⁶,α³,0,0,0,0,0
65,α⁶,α⁷,α⁶,α³,0,0,0,0,0
66,α⁴,α,α⁷,α³,0,0,0,0,0
67,1,α²,α⁷,α³,0,0,0,0,0
68,α³,α³,α⁷,α³,0,0,0,0,0
69,α⁶,α⁵,α⁷,α³,0,0,0,0,0
70,α⁵,α⁶,α⁷,α³,0,0,0,0,0
71,α²,1,α⁷,α³,0,0,0,0,0
72,α⁵,α,1,α³,0,0,0,0,0
73,α⁶,α²,1,α³,0,0,0,0,0
74,α⁷,α³,1,α³,0,0,0,0,0
75,1,α⁴,1,α³,0,0,0,0,0
76,α,α⁵,1,α³,0,0,0,0,0
77,α²,α⁶,1,α³,0,0,0,0,0
78,α³,α⁷,1,α³,0,0,0,0,0
79,α⁴,1,1,α³,0,0,0,0,0
80,α²,α⁶,α,α⁴,0,0,0,0,0
81,α³,α⁷,α,α⁴,0,0,0,0,0
82,α⁴,1,α,α⁴,0,0,0,0,0
83,α,α,α²,α⁴,0,0,0,0,0
84,α⁴,α³,α²,α⁴,0,0,0,0,0
85,α,α⁴,α³,α⁴,0,0,0,0,0
86,α⁶,α⁵,α³,α⁴,0,0,0,0,0
87,α²,1,α³,α⁴,0,0,0,0,0
88,α⁶,α⁴,α⁴,α⁴,0,0,0,0,0
89,1,α³,α⁵,α⁴,0,0,0,0,0
90,α³,α²,α⁶,α⁴,0,0,0,0,0
91,α²,α³,α⁶,α⁴,0,0,0,0,0
92,α⁷,α⁵,α⁶,α⁴,0,0,0,0,0
93,α⁵,α⁷,α⁶,α⁴,0,0,0,0,0
94,1,1,α⁶,α⁴,0,0,0,0,0
95,α⁴,α²,α⁷,α⁴,0,0,0,0,0
96,α⁶,α³,α⁷,α⁴,0,0,0,0,0
97,α²,α⁴,α⁷,α⁴,0,0,0,0,0
98,α³,α⁶,α⁷,α⁴,0,0,0,0,0
99,α⁷,1,α⁷,α⁴,0,0,0,0,0
100,α³,α,1,α⁴,0,0,0,0,0
101,α⁵,α²,1,α⁴,0,0,0,0,0
102,α,α³,1,α⁴,0,0,0,0,0
103,α⁴,α⁴,1,α⁴,0,0,0,0,0
104,α²,α⁵,1,α⁴,0,0,0,0,0
105,α⁷,α⁶,1,α⁴,0,0,0,0,0
