gene,block1,block2,block3,block4,block5
1,10,2,8,9,5
2,8,1,5,11,1
3,6,6,0,10,10
4,9,7,4,6,2
5,6,9,7,5,3
6,7,6,4,0,5
7,2,8,5,3,6
8,9,3,8,4,0
9,2,0,4,8,2
10,6,10,9,0,1
11,5,5,10,5,1
12,9,6,5,0,8
13,6,4,4,3,5
14,0,9,6,1,4
15,6,2,6,6,8
16,10,9,7,7,9
17,5,10,5,2,10
18,0,4,3,1,8
19,1,3,8,7,7
20,6,10,5,3,0
21,5,1,3,5,2
22,2,2,2,4,10
23,7,9,7,5,4
24,3,5,9,7,0
25,7,5,9,3,0
26,5,5,6,3,7
27,9,7,4,7,3
28,2,7,11,4,0
29,7,7,2,8,0
30,4,0,3,3,10
31,0,4,0,1,5
32,2,11,6,7,2
33,9,0,5,2,4
34,3,0,8,1,0
35,6,2,5,11,0
36,8,11,10,0,5
37,5,7,1,5,6
38,5,11,3,2,9
39,6,2,7,10,1
40,8,2,1,3,2
41,7,5,6,9,3
42,0,6,9,8,11
43,0,8,11,1,8
44,2,3,1,10,4
45,8,2,6,0,4
46,2,0,11,0,1
47,1,11,3,0,3
48,11,7,9,4,7
49,6,4,4,7,9
50,7,5,11,8,7
51,11,8,8,9,0
52,3,11,2,9,1
53,11,4,3,5,11
54,1,3,11,4,7
55,7,11,1,3,10
56,5,10,6,3,0
57,5,2,3,5,3
58,7,10,6,8,7
59,10,6,0,2,6
60,1,3,0,11,3
61,2,5,11,8,2
62,4,4,6,4,6
63,8,8,11,9,0
64,3,3,10,1,5
65,7,8,2,6,11
66,1,5,1,6,1
67,6,3,6,6,9
68,0,8,8,5,9
69,6,11,10,8,11
70,2,8,5,10,1
71,3,6,11,6,2
72,8,11,5,8,8
73,7,8,8,0,11
74,8,7,1,6,10
75,5,1,2,0,8
76,5,10,1,7,11
77,6,1,4,2,1
78,7,6,6,2,9
79,3,2,10,3,6
80,10,0,7,4,9
81,9,3,5,6,11
82,0,0,7,3,10
83,8,7,1,11,3
84,7,9,9,9,10
85,8,1,7,0,4
86,8,1,8,11,4
87,8,2,5,0,3
88,3,4,4,5,4
89,1,0,9,11,9
90,3,9,1,10,11
91,0,10,7,5,10
92,10,5,10,0,1
93,2,10,3,3,6
94,7,8,2,8,1
95,9,11,6,3,5
96,9,1,4,3,5
97,5,3,11,10,5
98,4,5,2,9,8
99,1,4,7,1,1
100,5,5,10,2,10
101,4,11,1,3,7
102,8,4,10,1,11
103,1,2,11,11,1
