gene,block1,block2,block3,block4
1,1,1,1,3
2,2,1,1,4
3,3,1,1,5
4,4,1,1,6
5,5,1,1,7
6,6,1,1,8
7,7,1,1,9
8,8,1,1,10
9,9,1,1,11
10,10,1,1,12
11,11,1,1,13
12,12,1,1,14
13,13,1,1,15
14,14,1,1,16
15,15,1,1,17
16,16,1,1,18
17,17,1,1,19
18,18,1,1,20
19,19,1,1,21
20,20,1,1,22
21,21,1,1,23
22,22,1,1,24
23,23,1,1,0
24,24,1,1,1
25,0,1,1,2
26,1,2,1,4
27,2,2,1,5
28,3,2,1,6
29,4,2,1,7
30,5,2,1,8
31,6,2,1,9
32,7,2,1,10
33,8,2,1,11
34,9,2,1,12
35,10,2,1,13
36,11,2,1,14
37,12,2,1,15
38,13,2,1,16
39,14,2,1,17
40,15,2,1,18
41,16,2,1,19
42,17,2,1,20
43,18,2,1,21
44,19,2,1,22
45,20,2,1,23
46,21,2,1,24
47,22,2,1,0
48,23,2,1,1
49,24,2,1,2
50,0,2,1,3
51,1,3,1,5
52,2,3,1,6
53,3,3,1,7
54,4,3,1,8
55,5,3,1,9
56,6,3,1,10
57,7,3,1,11
58,8,3,1,12
59,9,3,1,13
60,10,3,1,14
61,11,3,1,15
62,12,3,1,16
63,13,3,1,17
64,14,3,1,18
65,15,3,1,19
66,16,3,1,20
67,17,3,1,21
68,18,3,1,22
69,19,3,1,23
70,20,3,1,24
71,21,3,1,0
72,22,3,1,1
73,23,3,1,2
74,24,3,1,3
75,0,3,1,4
76,1,4,1,6
77,2,4,1,7
78,3,4,1,8
79,4,4,1,9
80,5,4,1,10
81,6,4,1,11
82,7,4,1,12
83,8,4,1,13
84,9,4,1,14
85,10,4,1,15
86,11,4,1,16
87,12,4,1,17
88,13,4,1,18
89,14,4,1,19
90,15,4,1,20
91,16,4,1,21
92,17,4,1,22
93,18,4,1,23
94,19,4,1,24
95,20,4,1,0
96,21,4,1,1
97,22,4,1,2
98,23,4,1,3
99,24,4,1,4
100,0,4,1,5
101,1,5,1,7
102,2,5,1,8
103,3,5,1,9
104,4,5,1,10
105,5,5,1,11
106,6,5,1,12
107,7,5,1,13
108,8,5,1,14
109,9,5,1,15
110,10,5,1,16
111,11,5,1,17
112,12,5,1,18
113,13,5,1,19
114,14,5,1,20
115,15,5,1,21
116,16,5,1,22
117,17,5,1,23
118,18,5,1,24
119,19,5,1,0
120,20,5,1,1
121,21,5,1,2
122,22,5,1,3
123,23,5,1,4
124,24,5,1,5
125,0,5,1,6
126,1,6,1,8
127,2,6,1,9
128,3,6,1,10
129,4,6,1,11
130,5,6,1,12
131,6,6,1,13
132,7,6,1,14
133,8,6,1,15
134,9,6,1,16
135,10,6,1,17
136,11,6,1,18
137,12,6,1,19
138,13,6,1,20
139,14,6,1,21
140,15,6,1,22
141,16,6,1,23
142,17,6,1,24
143,18,6,1,0
144,19,6,1,1
145,20,6,1,2
146,21,6,1,3
147,22,6,1,4
148,23,6,1,5
149,24,6,1,6
150,0,6,1,7
151,1,7,1,9
152,2,7,1,10
153,3,7,1,11
154,4,7,1,12
155,5,7,1,13
156,6,7,1,14
157,7,7,1,15
158,8,7,1,16
159,9,7,1,17
160,10,7,1,18
161,11,7,1,19
162,12,7,1,20
163,13,7,1,21
164,14,7,1,22
165,15,7,1,23
166,16,7,1,24
167,17,7,1,0
168,18,7,1,1
169,19,7,1,2
170,20,7,1,3
171,21,7,1,4
172,22,7,1,5
173,23,7,1,6
174,24,7,1,7
175,0,7,1,8
176,1,8,1,10
177,2,8,1,11
178,3,8,1,12
179,4,8,1,13
180,5,8,1,14
181,6,8,1,15
182,7,8,1,16
183,8,8,1,17
184,9,8,1,18
185,10,8,1,19
186,11,8,1,20
187,12,8,1,21
188,13,8,1,22
189,14,8,1,23
190,15,8,1,24
191,16,8,1,0
192,17,8,1,1
193,18,8,1,2
194,19,8,1,3
195,20,8,1,4
196,21,8,1,5
197,22,8,1,6
198,23,8,1,7
199,24,8,1,8
200,0,8,1,9
201,1,9,1,11
202,2,9,1,12
203,3,9,1,13
204,4,9,1,14
205,5,9,1,15
206,6,9,1,16
207,7,9,1,17
208,8,9,1,18
209,9,9,1,19
210,10,9,1,20
211,11,9,1,21
212,12,9,1,22
213,13,9,1,23
214,14,9,1,24
215,15,9,1,0
