gene,block1,block2,block3,block4,block5
1,1,1,1,1,0
2,2,1,1,2,1
3,3,1,1,3,2
4,4,1,1,4,3
5,5,1,1,5,4
6,6,1,1,6,5
7,7,1,1,7,6
8,8,1,1,8,7
9,9,1,1,9,8
10,10,1,1,10,9
11,11,1,1,11,10
12,12,1,1,12,11
13,13,1,1,13,12
14,14,1,1,14,13
15,15,1,1,15,14
16,0,1,1,0,15
17,1,2,1,0,0
18,2,2,1,1,1
19,3,2,1,2,2
20,4,2,1,3,3
21,5,2,1,4,4
22,6,2,1,5,5
23,7,2,1,6,6
24,8,2,1,7,7
25,9,2,1,8,8
26,10,2,1,9,9
27,11,2,1,10,10
28,12,2,1,11,11
29,13,2,1,12,12
30,14,2,1,13,13
31,15,2,1,14,14
32,0,2,1,15,15
33,1,3,1,15,0
34,2,3,1,0,1
35,3,3,1,1,2
36,4,3,1,2,3
37,5,3,1,3,4
38,6,3,1,4,5
39,7,3,1,5,6
40,8,3,1,6,7
41,9,3,1,7,8
42,10,3,1,8,9
43,11,3,1,9,10
44,12,3,1,10,11
45,13,3,1,11,12
46,14,3,1,12,13
47,15,3,1,13,14
48,0,3,1,14,15
49,1,4,1,14,0
50,2,4,1,15,1
51,3,4,1,0,2
52,4,4,1,1,3
53,5,4,1,2,4
54,6,4,1,3,5
55,7,4,1,4,6
56,8,4,1,5,7
57,9,4,1,6,8
58,10,4,1,7,9
59,11,4,1,8,10
60,12,4,1,9,11
61,13,4,1,10,12
62,14,4,1,11,13
63,15,4,1,12,14
64,0,4,1,13,15
65,1,5,1,13,0
66,2,5,1,14,1
67,3,5,1,15,2
68,4,5,1,0,3
69,5,5,1,1,4
70,6,5,1,2,5
71,7,5,1,3,6
72,8,5,1,4,7
73,9,5,1,5,8
74,10,5,1,6,9
75,11,5,1,7,10
76,12,5,1,8,11
77,13,5,1,9,12
78,14,5,1,10,13
79,15,5,1,11,14
80,0,5,1,12,15
81,1,6,1,12,0
82,2,6,1,13,1
83,3,6,1,14,2
84,4,6,1,15,3
85,5,6,1,0,4
86,6,6,1,1,5
87,7,6,1,2,6
88,8,6,1,3,7
89,9,6,1,4,8
90,10,6,1,5,9
91,11,6,1,6,10
92,12,6,1,7,11
93,13,6,1,8,12
94,14,6,1,9,13
95,15,6,1,10,14
96,0,6,1,11,15
97,1,7,1,11,0
98,2,7,1,12,1
99,3,7,1,13,2
100,4,7,1,14,3
101,5,7,1,15,4
102,6,7,1,0,5
103,7,7,1,1,6
104,8,7,1,2,7
105,9,7,1,3,8
106,10,7,1,4,9
107,11,7,1,5,10
108,12,7,1,6,11
109,13,7,1,7,12
110,14,7,1,8,13
111,15,7,1,9,14
112,0,7,1,10,15
113,1,8,1,10,0
114,2,8,1,11,1
115,3,8,1,12,2
116,4,8,1,13,3
117,5,8,1,14,4
118,6,8,1,15,5
119,7,8,1,0,6
120,8,8,1,1,7
121,9,8,1,2,8
122,10,8,1,3,9
123,11,8,1,4,10
124,12,8,1,5,11
125,13,8,1,6,12
126,14,8,1,7,13
127,15,8,1,8,14
128,0,8,1,9,15
129,1,9,1,9,0
130,2,9,1,10,1
131,3,9,1,11,2
132,4,9,1,12,3
133,5,9,1,13,4
134,6,9,1,14,5
135,7,9,1,15,6
136,8,9,1,0,7
137,9,9,1,1,8
138,10,9,1,2,9
139,11,9,1,3,10
140,12,9,1,4,11
141,13,9,1,5,12
142,14,9,1,6,13
143,15,9,1,7,14
144,0,9,1,8,15
145,1,10,1,8,0
146,2,10,1,9,1
147,3,10,1,10,2
148,4,10,1,11,3
149,5,10,1,12,4
150,6,10,1,13,5
151,7,10,1,14,6
152,8,10,1,15,7
153,9,10,1,0,8
