code,nbarcodes,ncpaths
RS_q8n9k7w5_10421cws_greedycb,1,0.854
RS_q8n9k7w5_10421cws_greedycb,2,3.17
RS_q8n9k7w5_10421cws_greedycb,3,11.57
RS_q8n9k7w5_10421cws_greedycb,4,35.112
RS_q8n9k7w5_10421cws_greedycb,5,97.05
RS_q8n9k7w5_10421cws_greedycb,6,220.524
RS_q8n9k7w5_10421cws_greedycb,7,457.454
RS_q8n9k7w5_10421cws_greedycb,8,879.428
RS_q8n9k7w5_10421cws_greedycb,9,1576.094
RS_q8n9k7w5_10421cws_greedycb,10,2585.276
RS_q9n10k6w5cb_1267cws_16hrcb,1,0.79
RS_q9n10k6w5cb_1267cws_16hrcb,2,2.05
RS_q9n10k6w5cb_1267cws_16hrcb,3,4.362
RS_q9n10k6w5cb_1267cws_16hrcb,4,7.348
RS_q9n10k6w5cb_1267cws_16hrcb,5,12.764
RS_q9n10k6w5cb_1267cws_16hrcb,6,20.44
RS_q9n10k6w5cb_1267cws_16hrcb,7,33.716
RS_q9n10k6w5cb_1267cws_16hrcb,8,52.618
RS_q9n10k6w5cb_1267cws_16hrcb,9,77.208
RS_q9n10k6w5cb_1267cws_16hrcb,10,118.448
RS_q9n10k8w4cb_3334cws_16hrcb,1,0.734
RS_q9n10k8w4cb_3334cws_16hrcb,2,1.886
RS_q9n10k8w4cb_3334cws_16hrcb,3,3.89
RS_q9n10k8w4cb_3334cws_16hrcb,4,7.754
RS_q9n10k8w4cb_3334cws_16hrcb,5,13.376
RS_q9n10k8w4cb_3334cws_16hrcb,6,24.024
RS_q9n10k8w4cb_3334cws_16hrcb,7,39.338
RS_q9n10k8w4cb_3334cws_16hrcb,8,61.39
RS_q9n10k8w4cb_3334cws_16hrcb,9,90.876
RS_q9n10k8w4cb_3334cws_16hrcb,10,133.492
RS_q9n9k8w4cb_12903cws_greedycb,1,0.898
RS_q9n9k8w4cb_12903cws_greedycb,2,3.704
RS_q9n9k8w4cb_12903cws_greedycb,3,11.234
RS_q9n9k8w4cb_12903cws_greedycb,4,28.116
RS_q9n9k8w4cb_12903cws_greedycb,5,64.092
RS_q9n9k8w4cb_12903cws_greedycb,6,120.65
RS_q9n9k8w4cb_12903cws_greedycb,7,207.392
RS_q9n9k8w4cb_12903cws_greedycb,8,348.76
RS_q9n9k8w4cb_12903cws_greedycb,9,549.11
RS_q9n9k8w4cb_12903cws_greedycb,10,811.632
