cell_seg_label,pos,pos_cell
1314.0,8.0,2.0
1321.0,8.0,9.0
1323.0,8.0,11.0
1325.0,8.0,13.0
1330.0,8.0,18.0
1333.0,8.0,21.0
1335.0,8.0,23.0
1338.0,8.0,26.0
1339.0,8.0,27.0
1340.0,8.0,28.0
1341.0,8.0,29.0
1342.0,8.0,30.0
1344.0,8.0,32.0
1345.0,8.0,33.0
1346.0,8.0,34.0
1348.0,8.0,36.0
1349.0,8.0,37.0
1351.0,8.0,39.0
1353.0,8.0,41.0
1354.0,8.0,42.0
1358.0,8.0,46.0
1359.0,8.0,47.0
1360.0,8.0,48.0
1361.0,8.0,49.0
1362.0,8.0,50.0
1363.0,8.0,51.0
1364.0,8.0,52.0
1365.0,8.0,53.0
1366.0,8.0,54.0
1367.0,8.0,55.0
1395.0,12.0,13.0
1397.0,12.0,15.0
1398.0,12.0,16.0
1399.0,12.0,17.0
1400.0,12.0,18.0
1401.0,12.0,19.0
1402.0,12.0,20.0
1403.0,12.0,21.0
1404.0,12.0,22.0
1407.0,12.0,25.0
4262.0,31.0,49.0
4283.0,32.0,1.0
4284.0,32.0,2.0
4285.0,32.0,3.0
4286.0,32.0,4.0
4287.0,32.0,5.0
4288.0,32.0,6.0
4289.0,32.0,7.0
4290.0,32.0,8.0
4291.0,32.0,9.0
4293.0,33.0,1.0
4294.0,33.0,2.0
4295.0,33.0,3.0
4296.0,33.0,4.0
4297.0,33.0,5.0
4298.0,33.0,6.0
4299.0,33.0,7.0
4300.0,33.0,8.0
4301.0,33.0,9.0
4302.0,33.0,10.0
4303.0,33.0,11.0
4304.0,33.0,12.0
4305.0,33.0,13.0
4306.0,33.0,14.0
4307.0,33.0,15.0
4308.0,33.0,16.0
4309.0,33.0,17.0
4310.0,33.0,18.0
4311.0,33.0,19.0
4312.0,33.0,20.0
4315.0,33.0,23.0
4316.0,33.0,24.0
4317.0,33.0,25.0
4318.0,33.0,26.0
4319.0,33.0,27.0
4320.0,33.0,28.0
4321.0,33.0,29.0
4322.0,33.0,30.0
4323.0,33.0,31.0
4324.0,33.0,32.0
4334.0,34.0,10.0
4335.0,34.0,11.0
4337.0,34.0,13.0
4338.0,34.0,14.0
4339.0,34.0,15.0
4340.0,34.0,16.0
4345.0,34.0,21.0
4347.0,34.0,23.0
4348.0,34.0,24.0
7282.0,53.0,77.0
7314.0,54.0,1.0
7316.0,54.0,3.0
7318.0,54.0,5.0
7320.0,54.0,7.0
7321.0,54.0,8.0
7323.0,54.0,10.0
7324.0,54.0,11.0
7325.0,54.0,12.0
7326.0,54.0,13.0
7327.0,54.0,14.0
7328.0,54.0,15.0
7329.0,54.0,16.0
7330.0,54.0,17.0
7331.0,54.0,18.0
7332.0,54.0,19.0
7333.0,54.0,20.0
7334.0,54.0,21.0
7335.0,54.0,22.0
7336.0,54.0,23.0
7337.0,54.0,24.0
7338.0,54.0,25.0
7339.0,54.0,26.0
7340.0,54.0,27.0
7341.0,54.0,28.0
7342.0,54.0,29.0
7343.0,54.0,30.0
7344.0,54.0,31.0
7345.0,54.0,32.0
7346.0,54.0,33.0
7347.0,54.0,34.0
7348.0,54.0,35.0
7349.0,54.0,36.0
7350.0,54.0,37.0
7351.0,54.0,38.0
7352.0,54.0,39.0
7353.0,54.0,40.0
7354.0,54.0,41.0
7355.0,54.0,42.0
7356.0,54.0,43.0
7357.0,54.0,44.0
7358.0,54.0,45.0
7359.0,54.0,46.0
7360.0,54.0,47.0
7363.0,54.0,50.0
7366.0,54.0,53.0
7367.0,54.0,54.0
7368.0,54.0,55.0
7370.0,54.0,57.0
7372.0,54.0,59.0
7373.0,54.0,60.0
7374.0,54.0,61.0
7375.0,54.0,62.0
7376.0,54.0,63.0
7377.0,54.0,64.0
7380.0,54.0,67.0
7381.0,54.0,68.0
7382.0,54.0,69.0
7383.0,54.0,70.0
7384.0,54.0,71.0
7385.0,54.0,72.0
7386.0,54.0,73.0
7387.0,54.0,74.0
7389.0,55.0,2.0
7391.0,55.0,4.0
7393.0,55.0,6.0
7398.0,55.0,11.0
7401.0,55.0,14.0
7404.0,55.0,17.0
7410.0,55.0,23.0
7412.0,55.0,25.0
7413.0,55.0,26.0
7417.0,55.0,30.0
7418.0,55.0,31.0
7419.0,55.0,32.0
7420.0,55.0,33.0
7421.0,55.0,34.0
7423.0,55.0,36.0
7424.0,55.0,37.0
7425.0,55.0,38.0
7426.0,55.0,39.0
7428.0,55.0,41.0
7431.0,55.0,44.0
7432.0,55.0,45.0
7434.0,55.0,47.0
7439.0,55.0,52.0
7441.0,55.0,54.0
10498.0,76.0,1.0
10499.0,76.0,2.0
10500.0,76.0,3.0
10501.0,76.0,4.0
10502.0,76.0,5.0
10503.0,76.0,6.0
10504.0,76.0,7.0
10505.0,76.0,8.0
10506.0,76.0,9.0
10507.0,76.0,10.0
10508.0,76.0,11.0
10511.0,76.0,14.0
10513.0,76.0,16.0
10515.0,76.0,18.0
10516.0,76.0,19.0
10517.0,76.0,20.0
10524.0,76.0,27.0
10525.0,76.0,28.0
10526.0,76.0,29.0
10534.0,76.0,37.0
10535.0,76.0,38.0
10538.0,76.0,41.0
10540.0,76.0,43.0
10545.0,76.0,48.0
10546.0,76.0,49.0
10552.0,76.0,55.0
10559.0,76.0,62.0
10563.0,76.0,66.0
10566.0,76.0,69.0
10568.0,76.0,71.0
10570.0,76.0,73.0
