hyb,rmse
0,30.385762211271494
1,31.539470577351498
2,34.323192558046344
3,31.377233960486983
4,34.46575217537937
5,33.204465592586025
6,33.06164840007875
7,33.08816981878021
8,32.69743672296178
9,32.47651667138403
10,32.01427125387588
11,30.541378518569143
12,30.5056205288877
13,34.4350896015785
14,32.36414203401532
15,30.073435192079998
16,30.155245088335622
17,35.34060183084057
18,32.438984237986965
19,30.96275475988315
20,29.306998735873425
21,31.023825402604697
22,30.30933648792833
23,31.800283955854884
24,30.095088248793328
25,31.163125400502697
26,30.2614063352166
27,31.39779027550776
28,33.393677550603684
29,29.979107184746287
30,29.168955006278466
31,31.34976629025974
32,31.502403929432585
33,28.31529834869734
34,28.361348328609544
35,30.644143354279656
36,31.920452319246582
37,29.46914628344818
38,27.316803354152675
39,29.581584839150995
40,30.302810725285184
41,26.797690054283503
42,28.20403132365378
43,30.03126285240941
44,30.863268980642264
45,28.677451619343515
46,30.978060690768178
47,29.220748817406687
48,26.72012738833589
49,28.62261569614453
50,30.340248770829213
51,28.642224264712507
52,27.450440030937933
53,27.571346321201293
54,26.29458460384087
55,35.30810640563951
56,35.95039766569217
57,36.29722869943049
58,34.06272103718219
59,33.540984981371444
60,36.367075030811414
61,33.659794081871574
62,35.891001972547
63,35.15771144663326
64,31.801079790691485
65,35.23252607866177
66,39.518404181341246
67,36.24887308046474
68,38.27354818506168
69,36.765369979036656
70,36.8552814397276
71,36.22167718902783
72,37.76335193075466
73,40.612869242533044
74,35.5629215528509
75,35.201395670971216
76,33.88168110309349
77,36.85169574183107
78,35.853190661764614
79,35.69376644832423
80,36.83939266336157
81,31.595354522794125
82,37.18574612017283
83,37.410994919090065
84,38.24493962447772
85,38.53243265358059
86,35.89312032012091
87,35.018321225964904
88,31.237673512783118
89,31.076688408667298
90,34.02039940176162
91,37.55232111496917
92,36.430387840820984
93,35.68260843426564
94,35.81607800110423
95,30.0122158642071
96,37.72536359190694
97,39.02841286900745
98,36.32363569398693
99,37.29734848909059
0,15.728040855530947
1,21.218335716604965
2,19.18407824563634
3,21.45941706120903
4,21.875604265852427
5,17.226043047475205
6,19.314317969454567
7,18.050558444676398
8,17.182793734370602
9,17.387727456036597
10,20.017373724773357
11,19.594153003574117
12,20.68663333465854
13,29.59844476096405
14,18.709356302446565
15,25.225737310297138
16,21.152252386635624
17,19.852553522371455
18,23.767626807118504
19,26.813757917032955
20,20.952367171236425
21,25.861930148666183
22,26.879460667985352
23,22.830420282193693
24,28.893410776044462
25,35.964563710644796
26,31.315218906972618
27,32.55379454524031
28,31.06868906211591
29,29.52169993303869
30,27.13150020107396
31,35.48354402681256
32,25.571521213281958
33,26.108900993870275
34,25.48785801732367
35,33.88897617468238
36,40.23047891290824
37,32.892504980155465
38,29.640037224875922
39,37.156186076948124
40,36.535508407143354
41,37.68684216901567
42,39.859606365060756
43,38.53632206890015
44,35.017341522035764
45,40.855390281018
46,35.44554157238101
47,37.23148724120477
48,41.42916054575065
49,39.52196662436134
50,43.113833513282536
51,38.94355111025719
52,40.13855200486061
53,39.45157232983077
54,43.998778311446266
55,35.181432632680774
56,37.004404089232104
57,38.13283815392778
58,30.97270505978002
59,31.221071078325018
60,28.55572977089257
61,34.545596283056724
62,31.802545790788376
63,38.951121550265505
64,38.471813386599315
65,29.436176439798604
66,30.880350119088014
67,38.69887195997893
68,36.18397041077942
69,30.726974710736506
70,31.75856573883373
71,32.54256064944729
72,37.80807190267305
73,33.08016973243161
74,37.30680835929524
75,37.35600708240722
76,32.32595079615337
77,30.281815203591986
78,31.059744045497162
79,37.70401345232964
80,31.651923924740018
81,32.080887797415656
82,34.40971196674268
83,38.742089575003675
84,37.08810768162504
85,33.4858960742788
86,32.420899595640606
87,28.140583098351232
88,32.073681198525975
89,35.3038782546679
90,32.39239111315433
91,31.416423483566785
92,31.59674342380048
93,32.61450012059365
94,37.49045035391051
95,28.776033450009123
96,28.697669459057042
97,35.10971668707722
98,33.973025622217115
99,35.73663309240159
0,12.670372650146714
1,15.585937815769991
2,16.06074635717687
3,16.303645288869873
4,17.654235410283576
5,16.519940250303197
6,17.077983105258653
7,16.75854155619753
8,16.342260847988324
9,17.177660669232026
10,17.377917157493155
11,17.939864718654
12,20.750895087462816
13,17.76254390648034
14,17.023184012360222
15,18.143238578630637
16,18.68058697030342
17,18.64890150652689
18,20.269575664171715
19,19.32817573490831
20,19.862393815595105
21,20.769247111380242
22,18.911157337428918
23,19.79388571151782
24,21.908315666242327
25,20.619850716827642
26,18.50735178421548
27,21.9075215518867
28,21.999448264882737
29,22.357118908540137
30,21.31645268042333
31,22.500273214254154
32,21.721412731695676
33,23.416652392258577
34,21.75165266734709
35,23.575584273282573
36,22.946841984363697
37,24.16893053815547
38,23.193147266506063
39,25.848370444459647
40,24.655385587861478
41,26.32734123237485
42,25.642464903758725
43,25.6274742546799
44,26.096519839344335
45,29.494684669136685
46,32.660467666248806
47,34.41433011853743
48,30.93323501309994
49,32.15684334037616
50,29.470744156067582
51,31.753075739378495
52,34.3480684680537
53,34.27722483215454
54,32.270183567515566
55,25.617457447016488
56,23.261625474714947
57,24.322673409095188
58,25.86208845568574
59,24.792200553216723
60,27.075740795038683
61,27.449091802167565
62,27.749808424209775
63,25.03227447153733
64,24.481139098175714
65,28.35691097213268
66,27.483695735623204
67,24.16866990574692
68,22.31749768074147
69,25.137455379444013
70,24.76463802175052
71,25.470269893835322
72,23.475367592513628
73,24.916214361371296
74,23.662506825750842
75,27.527553916282876
76,27.119876613451115
77,28.79686243258118
78,26.418437005795305
79,25.246427072667192
80,27.14700142135914
81,26.881858811185804
82,29.536991305971483
83,26.423793889973297
84,26.686556479247535
85,28.09758799708629
86,26.048091023530073
87,28.70007888663841
88,26.77896356858073
89,25.39231874540852
90,26.528491855461674
91,28.20894188650512
92,29.011070260692396
93,28.279031267476018
94,28.324081370867948
95,28.571578004520124
96,28.44848720723765
97,28.654294076889336
98,28.651257836283317
99,29.347112128967147
0,11.931959581262113
1,13.212596470327197
2,13.716876747368069
3,16.06519103000446
4,16.31381974836412
5,16.798068463167965
6,16.46621414182433
7,17.169197158274027
8,17.322869105386193
9,17.78695118990107
10,19.199118711523365
11,17.888512626452215
12,17.293664082551086
13,17.682490909148804
14,17.12612069057877
15,18.98028020862298
16,19.19591452290254
17,18.659673828214412
18,18.085722166026923
19,18.414710679891694
20,18.997863212135393
21,20.166444811304977
22,20.55917948921987
23,18.323089226024035
24,19.177209345087267
25,19.600722187637178
26,19.65428564447098
27,19.400115258156543
28,18.803806367665153
29,18.696266446671284
30,20.73118398073997
31,21.445567744649075
32,20.41436960264997
33,20.10125670024195
34,21.059754006198624
35,21.563585359634125
36,22.377550825755534
37,21.15584419920813
38,23.46326575667281
39,22.395552612058793
40,22.96734913754001
41,22.22907681937364
42,21.092591995639328
43,21.3800563776199
44,21.384581797145586
45,22.904138226977118
46,24.380893785156267
47,25.154630557708106
48,26.221248424199477
49,26.660701584342146
50,28.131716291064524
51,29.10926088352606
52,28.672388858010116
53,28.279168459344493
54,26.853341251790592
55,24.004955164985738
56,23.25823693864091
57,24.66133339248749
58,24.263413073009332
59,22.612031817639025
60,24.915312859111857
61,25.624420253212218
62,22.636187527847255
63,25.75433085418881
64,24.20575020139958
65,25.538779630714668
66,25.55122499376086
67,24.9128501007125
68,23.84173985593239
69,26.360863207725625
70,25.187336430502278
71,25.203407221447726
72,24.458375217317368
73,23.158370355682813
74,24.706072247242446
75,24.744138426843175
76,23.475371622499893
77,26.64942065246421
78,20.021806393199853
79,27.115243174499458
80,23.259608161672055
81,24.079122945642997
82,24.86265285273283
83,25.655928669863332
84,23.418171262893406
85,23.319803876840336
86,22.76354412452072
87,22.762691702745602
88,28.238047526533926
89,26.088235694064924
90,22.18300199014341
91,24.702053627401984
92,25.086308504631567
93,23.52728035831744
94,26.729639734135485
95,23.422895352244712
96,23.186258882086562
97,26.084908410370762
98,23.063544641159343
99,24.158058059796787
0,11.850315087767559
1,15.929140641765791
2,17.78796989564374
3,18.03160355414682
4,16.114298620567812
5,16.607060772301963
6,18.023499681726886
7,18.07434284438329
8,17.498290239860868
9,16.471519238885932
10,15.99715420955382
11,18.89391790430108
12,20.817498767903935
13,19.708201934225407
14,17.541777091778314
15,18.80709410302683
16,19.947368250899018
17,19.291679157784632
18,19.155779836579867
19,19.564184013753643
20,21.069095375612186
21,20.064206205612344
22,19.054289686462145
23,20.211153838957852
24,18.129260134660413
25,20.31275063491885
26,18.936534349241512
27,20.171715335826008
28,20.62098682650091
29,20.767304045000124
30,21.06271341546376
31,20.93812109661587
32,20.665836576976265
33,21.270254889479833
34,21.89825109497811
35,22.32289273128014
36,22.56455098380637
37,21.521235609980412
38,20.465696931220098
39,19.818645802691833
40,22.424427300129082
41,23.522492572852734
42,23.61714674769379
43,20.64884036264121
44,24.34049479481306
45,27.136830295383973
46,27.49687833985334
47,27.695677477624002
48,29.69959020832603
49,29.30859068333526
50,28.436127243316186
51,32.1698174176115
52,31.2417164186837
53,34.82283284935414
54,32.971384412951416
55,23.76333182053166
56,21.757278741336325
57,22.31303546200857
58,21.970989940930078
59,25.5288137431985
60,21.312316780069327
61,21.685178261047113
62,20.276007760034233
63,20.92847940953172
64,21.36620777428371
65,21.764945207545505
66,21.203953555318016
67,21.36244937106611
68,22.667423913548795
69,22.439312576938992
70,21.950083913722523
71,21.943876243790463
72,21.72457818566156
73,23.23128200911438
74,20.706655141788364
75,21.148121992148297
76,20.582288239499576
77,22.689256285989945
78,21.575274799303244
79,20.74258452034629
80,19.14633431812368
81,21.75349213893702
82,20.0638473665708
83,22.966412918987032
84,20.713171456511763
85,22.049270226446673
86,21.36639856487535
87,22.119499673965585
88,23.281759570122635
89,21.93410013334698
90,20.880911879738033
91,22.9805732622229
92,20.82716664552396
93,20.73645277314458
94,21.26368616938731
95,22.974601203630623
96,24.08364192412628
97,19.53156826883205
98,22.130174759615603
99,21.757144185158435
0,16.339237079588298
1,13.628673820797063
2,15.590491978005693
3,20.46084687079171
4,18.938779217662876
7,21.6027678264761
8,21.444708769991767
