hyb,rmse
0,81.28634530350476
1,21.690601972017156
2,75.87853218451282
3,85.54884854647267
4,89.71127561857759
5,83.74743302770648
6,89.8422198471715
7,29.449289185688286
8,28.951894195861822
9,87.58848385552525
10,98.44899333593625
11,82.84052926012718
12,31.64785790333277
13,95.18021080641681
14,91.66299664080174
15,97.58909282749997
16,28.19764175507593
17,36.67488327642781
18,31.54248174238425
19,97.50644419147582
20,26.852908720804237
21,31.67377552607305
22,96.13988150221536
23,28.596544352967737
24,98.91749069209597
25,98.78512682743745
26,102.28910527524529
27,99.99996165292681
28,99.39108024521141
29,99.22456445084167
30,100.51825716047422
31,101.66552528080139
32,100.36287486702977
33,99.77465090231209
34,104.00467295783673
35,39.45553294894426
36,35.73746244706776
37,101.88193918758981
38,99.33667912640087
39,41.53095311714777
40,36.92738997022703
41,103.53238911906644
42,34.52626560175517
43,102.26975603903422
44,33.59308143784021
45,40.58453385039792
46,107.98290742466607
47,102.3745569504956
48,105.17167950910653
49,105.13357073294236
50,113.80591279426282
51,107.09971677332278
52,102.07019381552624
53,36.68038768349546
54,104.45970823494616
55,109.06463989665004
56,41.99351625044567
57,38.692745316898566
58,109.79880037224862
59,107.01149911239389
60,106.40346723711268
61,103.84103985360433
62,114.32503514503071
63,115.39649850401722
64,109.43116652905039
65,104.27776845570736
66,39.172456763219856
67,104.98939731297486
68,110.46723389589006
69,107.41352005901308
70,30.93949938060777
71,30.527221225294113
72,108.5167325214759
73,102.10553034833382
74,35.37612611142591
75,36.107210382362965
76,109.68022913417518
77,110.27959218582642
78,112.84678367678787
79,110.3554787165919
80,28.714851401095352
0,15.525826607498113
1,20.155092882583627
2,44.38837302870851
3,44.87116084958922
4,26.562017396658444
5,50.25927320736938
6,49.97433904765284
7,47.831026367644306
8,23.71395218162495
9,55.39998478471065
10,53.76414226701735
11,52.90987000580554
12,26.360759062307665
13,23.577705910199015
14,53.327905945592704
15,53.73803293131852
16,22.874326729881254
17,57.02178934784219
18,31.43049543996559
19,25.954688537501294
20,24.900701556736983
21,27.71423027073192
22,25.787007206244226
23,24.88315285723863
24,59.77430547872806
25,24.91068387493523
26,60.43117873919367
27,28.67852545104735
28,59.85417741376656
29,28.52179306334145
30,27.82859459180451
31,29.85404885616347
32,26.372359202323352
33,33.56340163132924
34,64.3634075423856
35,36.82059338526346
36,57.312065997341136
37,30.159512376679046
38,29.495252336083343
39,65.54564669229944
40,32.369135917419264
41,60.17855090422031
42,60.020320513847714
43,61.62844293588868
44,28.637254090990243
45,63.74023358063781
46,73.18874198190446
47,63.01456976978574
48,67.41534188921874
49,39.487094476058466
50,67.8755038955971
51,64.10855528177001
52,63.130200610673434
53,61.54014736646753
54,31.946611202769695
55,64.60871388644196
56,64.15022733126193
57,33.199444959349556
58,39.57729504735463
59,41.0553012430179
60,37.65107667707822
61,43.009732467200585
62,70.1749429914626
63,43.457693839641294
64,51.74604558299036
65,32.016909801392785
66,63.97134045385416
67,69.5706054932141
68,70.81650601479294
69,64.83619490273932
70,62.86200291488583
71,61.75000492609348
72,33.3175775274031
73,62.1929220756695
74,34.06123482487669
75,31.592441899583406
76,41.919620652137475
77,66.51445738177767
78,72.71204257890531
79,32.22584563293047
80,63.74494041484539
0,16.7912967383476
1,23.506020043795083
2,24.85942446953094
3,22.15437459266849
4,31.51013114679459
5,31.99189181051119
6,34.311863816866605
7,23.840177918879
8,24.159243890134295
9,36.40738986132584
10,29.24582364169343
11,27.12177177647652
12,26.54792726110542
13,24.21073822594614
14,28.92912412259576
15,26.805174324386602
16,24.891346577495625
17,47.50109590847152
18,47.98820271074022
19,43.35659325008687
20,25.864909930664194
21,27.990170382384715
22,25.218465351966845
23,24.65309589228897
24,46.9634961881709
25,24.058439695580194
26,53.18184134308195
27,27.29030745497536
28,53.54276890358898
29,29.03909458475223
30,51.163672471755454
31,51.060950046545386
32,51.18957583522108
33,50.228888661553476
34,31.194948301876757
35,52.62680852927246
36,54.655037431110536
37,29.828891136673807
38,27.91204794790778
39,35.129319519736384
40,29.30901272453097
41,53.87528524464851
42,54.36743845845124
43,27.9493138332481
44,27.328332591100683
45,58.95714882235955
46,61.139345986942615
47,34.672572503037856
48,56.00037122484914
49,35.88821726736577
50,59.60161753277002
51,59.30096355502971
52,55.92507518216875
53,56.04448278979475
54,34.11878762647126
55,35.143871957691445
56,36.54103741125884
57,56.03900397439127
58,32.645736498875976
59,58.03028903567957
60,30.35528005442313
61,60.19584293510089
62,34.4902840982449
63,62.20753683490107
64,63.074983738570786
65,30.101230978048026
66,55.29830934725791
67,35.58909924063298
68,61.37571212366775
69,56.613330836268325
70,26.7909118936695
71,28.908874397767327
72,29.545613995774925
73,28.934462681632947
74,56.22708946642578
75,59.4251209227194
76,61.38971348163455
77,31.732544643053288
78,33.500860051849465
79,28.2465404128317
80,24.924294092438615
0,16.97739234089396
1,20.540186265569933
2,32.32604748031343
3,20.78459792717547
4,30.804361835127064
5,26.437556400657325
6,28.040648541571425
7,26.732725236467328
8,30.539431895037634
9,27.93930559639559
10,31.955823915212786
11,33.84549713178364
12,29.84599133313122
13,25.586067020251065
14,30.28727281176538
15,27.448175506292525
16,25.80717681617007
17,42.81945423916767
18,34.719522660773684
19,30.998729872790005
20,50.82847124636716
21,28.422683987439243
22,28.739645253954837
23,27.67627161080712
24,53.34583979477373
25,47.971736272536944
26,38.22111214663704
27,29.125044193366037
28,33.209409503092864
29,60.79058062356827
30,59.656077650486125
31,59.566842979238835
32,27.325889726547075
33,31.84804098973178
34,60.72460396624983
35,65.24190714915797
36,58.955179333072714
37,32.95032281006156
38,60.33531056265152
39,41.64141913079635
40,32.97737638382723
41,33.44420709626946
42,33.24511355383595
43,64.51621616669021
44,32.85523041933012
45,38.86131718091143
46,72.65396253317022
47,68.23478364701731
48,38.18833870126558
49,70.64356381384721
50,41.04885970858429
51,37.079161144625154
52,33.70786670335202
53,32.17998448008787
54,36.29138461986792
55,38.62141387322623
56,68.76996799079078
57,68.60529562165632
58,38.99456091609506
59,43.93808899546008
60,37.06439311212441
61,73.03385213352202
62,81.48435625289495
63,73.94048229651177
64,46.19539814707247
65,34.43660944797903
66,35.214061189954535
67,71.8770280167621
68,71.81565188599023
69,38.710148501804255
70,32.75678163158867
71,65.98852193322475
72,67.72647938551519
73,33.14857572495068
74,34.733232021682205
75,68.51755394909192
76,43.81703974986815
77,71.55002177809143
78,78.4594903642438
79,35.39971410617427
80,35.170557849204734
0,17.860770816795075
1,21.07332590230623
2,24.09218434935437
3,20.530362818922786
4,27.2483598116075
5,28.251336934438786
6,30.768824981445807
7,27.281113111761385
8,25.868546049732267
9,30.374149295042283
10,31.873004513414614
11,29.349858770279578
12,30.366027610472702
13,25.467300716123855
14,32.22154933040624
15,29.079878896472277
16,27.67228307631838
17,31.25206998238163
18,34.17935334821504
19,31.559238852963695
20,27.049531954356336
21,27.550180130320495
22,28.013972629808944
23,26.903638250220723
24,30.812884732394163
25,27.995825796794914
26,44.07639528281266
27,31.009611993659334
28,31.689430110548273
29,36.36465485981955
30,30.492058925205598
31,38.5581066571058
32,32.41914938629238
33,32.874734005176904
34,36.009135072216296
35,42.02008123688451
36,34.09842007376397
37,42.40869835542354
38,35.28190856957409
39,47.650752356282204
40,40.94102568285008
41,37.088554854679785
42,35.89306087892887
43,37.59087357193228
44,32.89009197973053
45,46.3107463086909
46,56.89689446069592
47,37.45952522402184
48,46.817515887120805
49,46.16845424277325
50,52.0940223396307
51,49.81431765985184
52,36.90555054423108
53,47.672795106940576
54,37.95153176126843
55,46.475454325598264
56,49.15456686617922
57,40.22815428646157
58,40.39957468126712
59,37.181615560750664
60,51.53020835934761
61,42.6440294998847
62,59.27684137670775
63,47.71261399011359
64,57.54579013359187
65,45.66642290426381
66,37.124363428010156
67,53.85949796395268
68,48.0071864345576
69,39.79952414244652
70,29.907638769644972
71,30.448300472781128
72,34.737826953123815
73,29.935823761245356
74,35.14534512335763
75,35.70248802565537
76,44.57351269115557
77,38.54093266962918
78,52.49228951483437
79,33.11126867509064
80,32.83963559720099
0,19.00727605564409
1,20.46474955517213
2,24.192834300104348
3,20.853397889104016
4,23.385687166111403
5,37.77625646886469
6,34.24096842496939
7,27.090004621301926
8,33.61340981596961
9,49.7770682148498
10,27.679980215796057
11,51.308492145114236
12,27.656873823702295
13,25.608290955402175
14,60.725712390275845
15,56.36018446409781
16,24.530673840011644
17,60.447393167534024
18,56.42978684868795
19,28.801171868387748
20,25.085708539437437
21,54.0076531390949
22,26.714360035567378
23,26.481297819118925
24,28.6749097053726
25,26.99962690931879
26,35.043810885245584
27,63.632542525273074
28,29.998329889776127
29,28.760228680854745
30,64.06790056383596
31,59.82578989648613
32,26.808515799383436
33,60.50971999336499
34,34.76654693411338
35,34.48895354505506
36,33.667331287759126
37,28.904503973554366
38,29.516633302107834
39,71.1968124214622
40,32.580157197899425
41,32.27287337272625
42,30.783738049405734
43,32.214815999399505
44,28.767591413348555
45,70.62618656502029
46,73.36236853238297
47,69.88880168955853
48,35.87292348865721
49,72.33375214773851
50,37.46542466397717
51,70.8104980219159
52,68.00215251757629
53,68.53593804181205
54,37.95117464811864
55,38.61350412557361
56,74.87034545765243
57,72.98026187503737
58,38.64646119703713
59,38.50687606837885
60,73.32325381726874
61,75.08220845027128
62,77.0849582438654
63,79.99536997684766
64,79.54644298059013
65,32.5060901726181
66,73.22392913482946
67,39.62681043007827
68,74.43423753670746
69,34.90377323944156
70,29.79218514334427
71,34.935833076189226
72,28.930330038739836
73,30.008469404947366
74,73.05330749421483
75,33.380822946930856
76,35.41718695796697
77,75.22008690389515
78,76.94391138489743
79,76.73220689999529
80,74.30451441822653
0,20.416074176959004
1,25.291058781532378
2,64.0146137347206
3,24.22591438906721
4,68.26563091321245
5,72.4798198839807
6,74.25427578618779
7,72.96060103268809
8,69.48445964672325
9,33.992995726765585
10,85.34769008123092
11,79.83375223512763
12,82.34101453487581
13,27.1462491948894
14,86.02127492271161
15,82.42978042040934
16,28.158643782306328
17,95.01223837161466
18,37.571627827828166
19,82.61929792524536
20,29.89945822026834
21,94.13483127373883
22,94.0084481868423
23,29.263386162138108
24,92.01560321761637
25,91.41289143167278
26,95.4791990755156
27,92.81034647694815
28,98.29840218599557
29,102.16763621152955
30,97.39764349171689
31,106.03725013268176
