,rmse
"(1, 1)",62.97214264213005
"(1, 2)",78.31369708282172
"(2, 1)",55.2146390616331
"(2, 2)",73.53713727855414
"(3, 1)",37.912261610743045
"(3, 2)",40.380810586370885
"(4, 1)",49.37514062165395
"(4, 2)",63.13989129539966
"(5, 1)",41.27717760207441
"(5, 2)",40.447170495973396
"(6, 1)",34.04278624819306
"(6, 2)",30.573967662252002
"(7, 1)",30.575866741082095
"(7, 2)",28.210825990118604
"(8, 1)",32.18741644823494
"(8, 2)",27.906000152764136
"(9, 1)",33.20278150268263
"(9, 2)",35.512110818233225
"(10, 1)",45.392224852139194
"(10, 2)",62.90854203337491
"(11, 1)",39.1843728405588
"(11, 2)",34.67046680353691
"(12, 1)",28.99828880274258
"(12, 2)",29.414665468167133
"(13, 1)",30.465604478320486
"(13, 2)",28.982367129493237
"(14, 1)",47.301268157468655
"(14, 2)",62.61246886241668
"(15, 1)",32.293298743202136
"(15, 2)",44.23509323150391
"(16, 1)",25.13263620765564
"(16, 2)",29.587560830816557
"(17, 1)",45.58848244224945
"(17, 2)",63.122307872345004
"(18, 1)",41.89471278605406
"(18, 2)",60.17128671240342
"(19, 1)",26.30845552374206
"(19, 2)",28.858809789010188
"(20, 1)",33.02433574835041
"(20, 2)",31.06956203331636
"(21, 1)",27.953465842964164
"(21, 2)",26.45682289244291
"(22, 1)",34.88253969001795
"(22, 2)",35.79515488307483
"(23, 1)",28.905249980845902
"(23, 2)",30.121320278456025
"(24, 1)",30.900617210921958
"(24, 2)",46.46139080520201
"(25, 1)",40.207387993609046
"(25, 2)",55.84954361606334
"(26, 1)",29.724074184670716
"(26, 2)",30.595372556346547
"(27, 1)",40.93240325940706
"(27, 2)",33.94574997402841
"(28, 1)",37.196824595383184
"(28, 2)",59.93681771762543
"(29, 1)",31.488135197741034
"(29, 2)",43.144600409586474
"(30, 1)",27.51131231807686
"(30, 2)",29.653388378086778
"(31, 1)",30.3118912431913
"(31, 2)",46.01866197676112
"(32, 1)",35.741860269402494
"(32, 2)",33.598914636771276
"(33, 1)",35.762497924442805
"(34, 1)",29.14972246572261
0,80.45277621863079
1,74.72844392464441
2,44.434245538856274
3,67.52052659146334
4,43.61200142188013
5,39.87788567266951
6,32.406979417589916
7,31.337325578561117
8,34.69265399337352
9,65.04996242345517
10,36.02723679407004
11,28.57505890476417
12,25.613415421695322
13,61.90865356002732
14,36.57065374882086
15,23.028191982881715
16,70.66390644435872
17,64.40876699835557
18,33.619608901285325
19,33.306498251055515
20,32.38169889663071
21,37.01729259654932
22,30.815320815091397
23,45.276610702286646
24,56.144233692257174
25,24.526439166995285
26,24.4391276663924
27,54.918815702763304
28,43.904001507265704
29,23.579234807728316
30,39.29820895291857
31,23.260646368508098
32,49.19923547932114
33,45.950444706521786
"(1, 1)",97.97572864004928
"(1, 2)",100.97089859702591
"(2, 1)",80.5425845251754
"(2, 2)",85.54890763380888
"(3, 1)",44.920405660255675
"(3, 2)",47.859257582620614
"(4, 1)",70.34532257160815
"(4, 2)",81.69596795330894
