Unnamed: 0,gene,gene_number,cpath,cost,x,y,z,stringency_rank,lambda,rep
77,1659,1659,"[248, 319, 944, 1007]",0,2.7,5.3,1,50,2.63383e-06,1
111,1659,1659,"[249, 319, 949, 1007]",0,2.8,5.35,1,6,0.0230406,1
135,1940,1940,"[158, 249, 319, 496]",0,2.8,5.4,1,55,1.57557e-06,1
181,1659,1659,"[248, 315, 944, 1006]",0,2.6,5.35,1,23,0.000168113,1
346,1952,1952,"[496, 682, 921, 1093]",0,2.8,5.5,1,14,0.013854,1
496,76,76,"[4, 432, 598, 863]",0,3.2,2.45,1,64,7.67108e-07,1
563,76,76,"[4, 432, 598, 864]",0,3.25,2.5,1,74,3.84778e-07,1
588,76,76,"[6, 433, 599, 864]",0,3.25,2.7,1,15,0.0132574,1
811,648,648,"[103, 413, 773, 1128]",0,3.15,2.85,1,42,8.41728e-06,1
910,648,648,"[109, 410, 772, 1129]",0,3.1,3.1,1,54,1.6243e-06,1
1025,648,648,"[104, 410, 772, 1133]",0,3.1,3.05,1,92,1.51265e-07,1
1028,648,648,"[109, 410, 772, 1133]",0,3.15,3.1,1,64,7.67108e-07,1
1146,648,648,"[105, 415, 775, 1133]",0,3.25,3.15,1,10,0.0165977,1
1448,1952,1952,"[504, 690, 930, 1094]",0,3.15,5.65,1,45,4.99748e-06,1
1472,76,76,"[10, 437, 603, 874]",0,3.55,2.95,1,76,2.98588e-07,1
1475,76,76,"[9, 432, 602, 864]",0,3.35,2.65,1,86,1.81597e-07,1
1597,1565,1565,"[389, 526, 881, 1116]",0,3.9,3.9,1,90,1.60766e-07,1
1598,1565,1565,"[390, 526, 881, 1116]",0,3.95,3.85,1,85,1.87213e-07,1
1616,1565,1565,"[390, 526, 880, 1115]",0,3.95,3.75,1,79,2.72513e-07,1
1621,1565,1565,"[390, 519, 881, 1115]",0,3.85,3.8,1,39,1.24573e-05,1
1630,1565,1565,"[389, 526, 881, 1115]",0,3.9,3.85,1,59,1.09784e-06,1
1631,1565,1565,"[390, 526, 881, 1115]",0,3.95,3.8,1,46,4.74501e-06,1
1646,1565,1565,"[390, 526, 879, 1114]",0,3.95,3.65,1,2,0.035989,1
1657,1565,1565,"[389, 526, 881, 1114]",0,3.9,3.8,1,94,1.42325e-07,1
1658,1565,1565,"[390, 526, 881, 1114]",0,3.95,3.75,1,71,4.21595e-07,1
1660,1761,1761,"[69, 164, 934, 1167]",0,3.6,5.4,1,48,4.03777e-06,1
1708,1761,1761,"[68, 166, 934, 1167]",0,3.6,5.4,1,49,3.00941e-06,1
1757,1761,1761,"[67, 160, 930, 1163]",0,3.35,5.45,1,5,0.0238359,1
1823,1616,1616,"[197, 564, 830, 1045]",0,3.9,6.35,1,81,2.1147e-07,1
1837,1616,1616,"[194, 560, 830, 1041]",0,3.7,6.35,1,25,0.000105385,1
1846,1616,1616,"[196, 564, 830, 1041]",0,3.85,6.25,1,76,2.98588e-07,1
2030,951,951,"[287, 364, 469, 846]",0,4.3,3.05,1,92,1.51265e-07,1
2120,136,136,"[234, 619, 736, 838]",0,4.35,5.05,1,41,8.99456e-06,1
2134,136,136,"[234, 619, 736, 851]",0,4.4,5.05,1,3,0.0354526,1
2270,1616,1616,"[199, 563, 835, 1047]",0,4.05,5.95,1,93,1.46727e-07,1
2402,1196,1196,"[229, 289, 888, 977]",0,4.15,5.7,1,94,1.42325e-07,1
2527,1196,1196,"[227, 289, 888, 976]",0,4.15,5.55,1,37,1.64245e-05,1
2749,1616,1616,"[200, 565, 836, 1047]",0,4.1,6.05,1,12,0.0152488,1
2831,922,922,"[172, 766, 938, 1081]",0,4.95,2.9,1,83,1.98972e-07,1
2832,922,922,"[173, 766, 938, 1081]",0,4.95,2.95,1,57,1.22264e-06,1
2859,951,951,"[288, 363, 470, 856]",0,4.3,3.2,1,20,0.0101697,1
2861,951,951,"[287, 366, 469, 846]",0,4.35,3.05,1,55,1.57557e-06,1
2987,654,654,"[152, 340, 579, 1144]",0,4.85,4.9,1,4,0.0339095,1
3184,136,136,"[234, 616, 736, 861]",0,4.4,5.1,1,79,2.72513e-07,1
