"","gene","gene_number","cpath","cost","x","y","z","stringency_rank","lambda"
"131",1614,1614,"[302, 500, 621, 1027]",0,1.95,2.6,1,35,2.59032e-05
"197",1614,1614,"[304, 500, 621, 1028]",0,1.95,2.75,1,65,9.8326e-07
"201",1614,1614,"[304, 500, 622, 1028]",0,1.95,2.8,1,67,9.2515e-07
"329",1614,1614,"[308, 500, 626, 1030]",0,2.15,2.8,1,92,1.35961e-07
"421",1165,1165,"[316, 544, 978, 1021]",0,2.35,2.15,1,73,6.35566e-07
"426",1165,1165,"[316, 542, 980, 1021]",0,2.35,2.15,1,54,2.45033e-06
"581",705,705,"[96, 190, 821, 965]",0,1.85,3.1,1,99,9.06015e-08
"752",1614,1614,"[309, 500, 626, 1030]",0,2.15,2.85,1,63,1.04502e-06
"786",1614,1614,"[308, 500, 631, 1030]",0,2.2,2.85,1,76,4.78403e-07
"1090",705,705,"[98, 191, 820, 966]",0,1.8,3.35,1,61,1.34668e-06
"1100",705,705,"[99, 191, 821, 966]",0,1.9,3.2,1,61,1.34668e-06
"1236",705,705,"[100, 195, 823, 969]",0,2.05,3.25,1,11,0.0153427
"1636",1165,1165,"[315, 548, 980, 1021]",0,2.45,2.05,1,8,0.0173423
"1896",1165,1165,"[316, 545, 985, 1021]",0,2.45,2.2,1,41,1.0487e-05
"2013",1165,1165,"[316, 544, 980, 1026]",0,2.45,2.15,1,93,1.31882e-07
"2084",1614,1614,"[308, 505, 630, 1031]",0,2.35,2.85,1,7,0.0192755
"2312",1805,1805,"[114, 160, 260, 633]",0,2.85,3.35,1,16,0.0106549
"2397",1984,1984,"[588, 893, 933, 1163]",0,2.65,6.45,1,18,0.00698678
"2401",1984,1984,"[588, 893, 934, 1163]",0,2.7,6.4,1,32,5.28997e-05
"2416",1984,1984,"[589, 894, 935, 1164]",0,2.7,6.6,1,79,3.60104e-07
"2448",1805,1805,"[116, 161, 262, 635]",0,3.1,3.2,1,42,1.01723e-05
"2592",1805,1805,"[116, 165, 262, 635]",0,3.15,3.25,1,39,1.35141e-05
"2661",1805,1805,"[123, 164, 264, 639]",0,3.4,3.2,1,35,2.59032e-05
"2713",977,977,"[231, 292, 526, 781]",0,3.85,3.85,1,76,4.78403e-07
"2724",977,977,"[230, 291, 528, 781]",0,3.85,3.9,1,14,0.0116393
"2730",977,977,"[232, 292, 528, 781]",0,3.9,3.95,1,93,1.31882e-07
"2737",977,977,"[231, 296, 528, 781]",0,3.95,3.9,1,69,8.70473e-07
"3169",319,319,"[37, 748, 850, 1240]",0,3.9,4.65,1,8,0.0173423
"3324",319,319,"[40, 749, 853, 1241]",0,4,4.75,1,66,9.53763e-07
"3338",2012,2012,"[575, 902, 1076, 1198]",0,3.75,4.85,1,35,2.59032e-05
"3340",2012,2012,"[580, 902, 1076, 1198]",0,3.8,4.9,1,64,1.01367e-06
"3343",2012,2012,"[575, 902, 1079, 1198]",0,3.8,4.85,1,39,1.35141e-05
"3647",860,860,"[169, 359, 595, 1140]",0,3.65,6.2,1,20,0.0019889
"3691",860,860,"[169, 362, 597, 1142]",0,3.8,6.1,1,39,1.35141e-05
"3699",860,860,"[169, 362, 597, 1145]",0,3.85,6.05,1,1,0.0417163
"3722",2082,2082,"[668, 854, 986, 1087]",0,3.75,6.55,1,50,4.06913e-06
"3744",860,860,"[169, 357, 595, 1140]",0,3.6,6.25,1,21,0.0019075
"3786",2082,2082,"[670, 854, 991, 1092]",0,3.95,6.6,1,9,0.0166813
