"","lambda","gamma","suppSize"
"1",0.0553922,0,0
"2",0.0548383,0,1
"3",0.0353619,0,2
"4",0.0324867,0,3
"5",0.026338,0,4
"6",0.0235203,0,5
"7",0.0215083,0,6
"8",0.0187877,0,7
"9",0.0178529,0,9
"10",0.0175825,0,10
"11",0.01738,0,11
"12",0.0156534,0,13
"13",0.0149135,0,17
"14",0.0145861,0,18
"15",0.0143328,0,19
"16",0.013839,0,20
"17",0.0111841,0,22
"18",0.00896212,0,23
"19",0.00734995,0,24
"20",0.00283759,0,25
"21",0.000906529,0,25
"22",0.000405548,0,25
"23",0.000324439,0,26
"24",0.000171958,0,26
"25",0.000104794,0,26
"26",6.48909e-05,0,26
"27",4.65838e-05,0,27
"28",4.36193e-05,0,28
"29",3.51793e-05,0,28
"30",2.81434e-05,0,29
"31",2.59434e-05,0,29
"32",2.07547e-05,0,31
"33",1.9809e-05,0,31
"34",1.54812e-05,0,35
"35",1.30335e-05,0,36
"36",1.17201e-05,0,36
"37",9.37611e-06,0,39
"38",8.07497e-06,0,40
"39",6.98898e-06,0,42
"40",6.66295e-06,0,45
"41",5.75265e-06,0,45
"42",4.60212e-06,0,47
"43",4.46405e-06,0,49
"44",3.75744e-06,0,49
"45",3.00596e-06,0,54
"46",2.91578e-06,0,54
"47",2.33262e-06,0,55
"48",2.26264e-06,0,56
"49",2.19476e-06,0,57
"50",2.12892e-06,0,58
"51",2.06505e-06,0,58
"52",1.65204e-06,0,58
"53",1.32163e-06,0,63
"54",1.28198e-06,0,63
"55",1.02559e-06,0,69
"56",9.9482e-07,0,69
"57",7.95856e-07,0,73
"58",7.7198e-07,0,78
"59",7.48821e-07,0,80
"60",7.26356e-07,0,80
"61",5.81085e-07,0,81
"62",5.63653e-07,0,81
"63",5.46743e-07,0,82
"64",5.30341e-07,0,82
"65",4.24273e-07,0,85
"66",4.11544e-07,0,86
"67",3.99198e-07,0,90
"68",3.87222e-07,0,91
"69",3.75605e-07,0,91
"70",3.00484e-07,0,93
"71",2.9147e-07,0,93
"72",2.33176e-07,0,96
"73",2.26181e-07,0,97
"74",2.19395e-07,0,98
"75",2.12813e-07,0,99
"76",2.06429e-07,0,101
"77",2.00236e-07,0,101
"78",1.60189e-07,0,102
"79",1.55383e-07,0,102
"80",1.24307e-07,0,105
"81",1.20577e-07,0,108
"82",1.1696e-07,0,110
"83",1.13451e-07,0,113
"84",1.10048e-07,0,116
"85",1.06746e-07,0,118
"86",1.03544e-07,0,121
"87",1.00438e-07,0,122
"88",9.74244e-08,0,122
"89",7.79395e-08,0,126
"90",7.56014e-08,0,129
"91",7.33333e-08,0,131
"92",7.11333e-08,0,130
"93",6.89993e-08,0,130
"94",5.51994e-08,0,133
"95",5.35435e-08,0,138
"96",5.19372e-08,0,142
"97",5.0379e-08,0,140
"98",4.88677e-08,0,143
"99",4.74016e-08,0,145
"100",4.59796e-08,0,146
