method,code,nbarcodes,rstdv,rep,sensitivity,fdr,n_true,n_decoded,n_fd,not_decoded_true,param_l1,param_peak,param_Q,param_tau,best_lambda
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.0,1,1.0,0.0,5,5,0.0,0.0,0.0,0.35,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.25,1,0.4,0.0,5,2,0.0,3.0,0.001,0.25,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.5,1,0.8,0.0,5,4,0.0,1.0,0.0,0.2,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.75,1,0.2,0.0,5,1,0.0,4.0,0.0,0.5,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,1.0,1,0.6,0.0,5,3,0.0,2.0,0.01,0.6,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,1.25,1,0.8,0.0,5,4,0.0,1.0,0.01,0.25,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,1.5,1,0.8,0.0,5,4,0.0,1.0,0.03,0.2,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,0.0,1,0.2,0.0,10,2,0.0,8.0,0.0,0.5,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,0.25,1,0.3,0.0,10,3,0.0,7.0,0.0,0.5,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,0.5,1,0.1,0.0,10,1,0.0,9.0,0.0,0.8,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,0.75,1,0.0,0.0,10,0,0.0,10.0,0.03,1.5,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,1.0,1,0.4,0.0,10,4,0.0,6.0,0.03,0.2,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,1.25,1,0.2,0.0,10,2,0.0,8.0,0.0,0.7,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,1.5,1,0.2,0.0,10,2,0.0,8.0,0.0,0.5,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.0,2,0.8,0.0,5,4,0.0,1.0,0.01,0.2,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.25,2,1.0,0.0,5,5,0.0,0.0,0.0,0.4,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.5,2,0.2,0.0,5,1,0.0,4.0,0.0,1.5,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.75,2,0.6,0.0,5,3,0.0,2.0,0.0,0.25,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,1.0,2,0.2,0.0,5,1,0.0,4.0,0.0,0.4,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,1.25,2,0.0,0.0,5,0,0.0,5.0,0.0,0.45,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,1.5,2,0.0,,5,0,,,,,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,0.0,2,0.7,0.0,10,7,0.0,3.0,0.01,0.8,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,0.25,2,0.3,0.0,10,3,0.0,7.0,0.0,0.25,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,0.5,2,0.2,0.0,10,2,0.0,8.0,0.0,0.35,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,0.75,2,0.1,0.0,10,1,0.0,9.0,0.0,1.5,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,1.0,2,0.3,0.0,10,3,0.0,7.0,0.03,0.25,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,1.25,2,0.2,0.0,10,2,0.0,8.0,0.0,0.35,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,1.5,2,0.1,0.0,10,1,0.0,9.0,0.03,0.7,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.0,3,1.0,0.0,5,5,0.0,0.0,0.0,0.35,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.25,3,1.0,0.0,5,5,0.0,0.0,0.0,0.45,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.5,3,0.8,0.0,5,4,0.0,1.0,0.0,1.0,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.75,3,0.8,0.0,5,4,0.0,1.0,0.0,0.35,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,1.0,3,0.4,0.0,5,2,0.0,3.0,0.001,0.2,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,1.25,3,0.2,0.0,5,1,0.0,4.0,0.0,0.35,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,1.5,3,0.2,0.0,5,1,0.0,4.0,0.0,0.45,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,0.0,3,0.4,0.0,10,4,0.0,6.0,0.01,0.45,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,0.25,3,0.0,0.0,10,0,0.0,10.0,0.03,1.0,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,0.5,3,0.4,0.0,10,4,0.0,6.0,0.0,0.25,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,0.75,3,0.1,0.0,10,1,0.0,9.0,0.0,0.4,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,1.0,3,0.2,0.0,10,2,0.0,8.0,0.03,0.35,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,1.25,3,0.1,0.0,10,1,0.0,9.0,0.0,1.0,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,10,1.5,3,0.0,0.0,10,0,0.0,10.0,0.0,0.6,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.0,4,0.8,0.0,5,4,0.0,1.0,0.0,0.25,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.25,4,0.8,0.0,5,4,0.0,1.0,0.0,0.45,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.5,4,0.6,0.0,5,3,0.0,2.0,0.0,1.5,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,0.75,4,0.4,0.0,5,2,0.0,3.0,0.0,0.4,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,1.0,4,0.0,0.0,5,0,0.0,5.0,0.0,0.4,,,
bardensr,Hamming_q2_n16_k11_w4cb_MERFISH_2015,5,1.25,4,0.0,0.0,5,0,0.0,5.0,0.0,0.7,,,
