block,pseudocolor,channel,readout hyb,
1,1,1,1,
1,2,2,1,
1,3,1,2,
1,4,1,3, 
1,5,1,4,
1,6,2,2,
1,7,3,1,
1,8,2,3,
1,9,3,2,
1,10,2,4,
2,1,2,5,
2,2,1,5,
2,3,2,6,
2,4,2,7,
2,5,1,6,
2,6,3,3,
2,7,2,8,
2,8,3,4,
2,9,1,7,
2,10,1,8,
3,1,2,9,
3,2,2,10,
3,3,3,5,
3,4,1,9,
3,5,3,6,
3,6,2,11,
3,7,2,12,
3,8,1,10,
3,9,1,11,
3,10,2,13,
4,1,2,14,
4,2,1,12,
4,3,2,15,
4,4,3,7,
4,5,3,8,
4,6,1,13,
4,7,3,9,
4,8,1,14,
4,9,3,10,
4,10,3,11,
5,1,1,15,
5,2,2,16,
5,3,1,16,
5,4,1,17,
5,5,3,12,
5,6,3,13,
5,7,3,14,
5,8,2,17,
5,9,3,15,
5,10,2,18,
6,1,2,19,
6,2,3,16,
6,3,3,17,
6,4,3,18,
6,5,3,19,
6,6,2,20,
6,7,3,20,
6,8,1,18,
6,9,2,21,
6,10,1,19,
7,1,3,21,
7,2,2,22,
7,3,1,20,
7,4,1,21,
7,5,1,22,
7,6,1,23,
7,7,3,22,
7,8,3,23,
7,9,1,24,
7,10,3,24,
8,1,2,23,
8,2,1,25,
8,3,3,25,
8,4,1,26,
8,5,2,24,
8,6,3,26,
8,7,3,27,
8,8,1,27,
8,9,2,25,
8,10,1,28,
9,1,3,28,
9,2,2,26,
9,3,1,29,
9,4,3,29,
9,5,1,30,
9,6,2,27,
9,7,3,30,
9,8,2,28,
9,9,1,31,
9,10,3,31,
10,1,2,29,
10,2,3,32,
10,3,2,30,
10,4,2,31,
10,5,3,33,
10,6,3,34,
10,7,1,32,
10,8,1,33,
10,9,2,32,
10,10,1,34,
