gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
Aars,2,8,5,0,0,0,0,0,2,0
Aco2,10,7,0,0,0,0,8,0,0,6
Actn4,9,7,0,0,9,2,0,0,0,0
Aebp1,2,0,1,3,0,0,0,2,0,0
Aqp1,10,0,3,0,0,0,9,1,0,0
Arf1,0,0,1,0,0,1,0,6,7,0
Arpc2,6,1,0,0,0,0,0,7,0,7
Arpc5,1,0,0,0,0,0,7,0,7,6
Cct3,5,0,0,0,2,0,10,0,9,0
Cct5,0,0,6,0,0,10,2,8,0,0
Cct8,0,2,0,0,0,10,4,2,0,0
Cebpd,0,7,10,0,3,0,0,9,0,0
Cited2,0,4,5,0,0,0,1,0,6,0
Ckap4,0,2,7,6,0,0,0,0,10,0
Clta,0,0,0,7,5,8,0,0,0,8
Cnn2,9,0,0,10,0,9,0,0,10,0
Cops7a,1,0,9,0,0,8,0,0,5,0
Cox7a2l,4,0,0,7,1,0,0,8,0,0
Crlf1,3,0,0,3,0,7,10,0,0,0
Cs,0,0,5,0,2,1,0,0,5,0
Csf1,0,2,0,3,7,0,0,2,0,0
Csnk1a1,0,0,4,0,7,1,0,7,0,0
Csnk2b,0,0,0,9,0,0,4,3,1,0
Ctbp1,0,9,0,0,0,1,7,9,0,0
Ctsb,2,0,0,0,0,9,0,2,5,0
Ddx17,0,0,5,0,7,0,0,0,10,6
Dpy19l1,0,3,0,6,0,7,0,0,0,5
Eef1g,4,9,9,0,0,3,0,0,0,0
Efemp1,8,0,0,7,0,0,0,7,0,5
Efemp2,0,5,0,3,0,6,0,7,0,0
Ehmt2,7,0,0,2,3,0,8,0,0,0
Eif3a,7,3,0,0,0,0,0,10,0,10
Eif3d,0,8,1,0,10,0,0,0,6,0
Eif3e,6,0,0,0,0,0,0,1,6,4
Eif3f,0,2,0,0,0,10,0,0,6,9
Eif3i,7,0,1,0,0,3,0,0,0,6
Eif4b,7,0,5,8,0,0,7,0,0,0
Eif4g2,0,9,5,0,7,0,0,10,0,0
Emp1,4,6,0,5,0,0,0,3,0,0
Ercc1,0,6,0,0,6,0,3,9,0,0
Ergic1,0,5,0,1,0,9,0,0,8,0
Fbln2,2,4,0,0,0,0,0,6,0,6
Fgf7,0,0,0,10,0,7,0,2,4,0
Fkbp4,0,0,0,0,10,5,7,5,0,0
Fkbp8,10,0,0,0,10,0,0,0,6,9
Fkbp9,0,0,8,0,4,1,0,0,0,8
Fus,0,0,0,0,1,10,6,0,2,0
Fxr1,0,1,4,0,0,0,3,0,7,0
G3bp1,0,0,9,0,7,0,0,9,0,7
Gas1,6,0,3,0,0,2,8,0,0,0
Got2,6,0,6,0,0,0,0,9,2,0
Gpi1,0,3,0,0,8,9,0,0,6,0
Grina,0,0,0,0,3,0,3,1,2,0
Gsto1,0,0,9,0,0,0,0,1,5,5
H1f0,0,0,9,5,0,7,0,0,10,0
Hdgf,0,8,0,5,0,4,0,0,0,6
Hif1a,0,0,4,0,0,0,8,2,0,5
Hmgcs1,6,0,9,0,0,0,0,2,0,9
Hnrnpk,8,0,1,6,0,0,8,0,0,0
Hnrnpul1,0,0,10,6,6,0,0,2,0,0
Hsd17b12,0,1,0,0,2,0,7,0,8,0
Hspa8,0,6,0,0,7,0,0,0,3,9
Hspa9,0,2,0,0,0,0,3,8,0,2
Hspd1,10,0,0,5,0,0,6,4,0,0
Idh2,0,2,0,0,10,4,0,7,0,0
Idh3g,0,7,0,2,4,0,0,0,0,10
Igfbp4,0,2,0,9,6,0,9,0,0,0
Igfbp6,7,3,0,0,0,0,2,0,8,0
Il1rl1,9,8,0,0,0,0,0,0,5,8
Jun,0,7,0,0,0,5,0,3,0,6
Junb,0,4,5,10,0,0,0,0,0,4
Kars,0,0,0,6,0,0,10,2,8,0
Khdrbs1,1,0,0,0,0,8,0,10,0,6
Lamp1,0,0,5,8,9,8,0,0,0,0
Lamp2,0,2,10,0,0,1,0,8,0,0
Laptm4a,0,3,7,0,0,2,0,0,0,2
Lmna,0,7,0,0,0,0,5,6,0,7
Loxl1,0,0,7,9,6,9,0,0,0,0
Lrrc59,0,0,8,0,0,0,5,4,0,10
Ltbp3,1,2,0,0,0,0,5,0,9,0
Ly6e,0,0,0,7,0,5,8,0,0,7
Maged1,0,0,0,0,9,0,2,5,0,2
Malat1,9,2,0,6,0,6,0,0,0,0
Mbd3,0,3,0,0,4,6,0,5,0,0
Mdh2,0,0,7,0,0,2,3,0,8,0
Mmd,6,4,0,0,0,6,4,0,0,0
Mmp14,9,0,0,8,0,0,5,0,1,0
Morf4l2,9,10,0,0,6,0,0,0,6,0
Mrfap1,0,6,0,0,0,8,1,6,0,0
Mrpl1,9,0,4,0,3,0,0,10,0,0
Mrpl10,3,0,0,0,4,6,3,0,0,0
Mrpl12,0,0,0,0,1,6,4,6,0,0
Mrpl15,0,6,0,0,0,6,0,9,10,0
Mrpl16,10,5,0,0,3,0,0,0,3,0
Mrpl17,0,0,0,1,10,6,0,2,0,0
Mrpl20,4,7,2,0,8,0,0,0,0,0
Mrpl28,0,0,0,3,0,7,0,0,1,4
Mrpl35,1,7,0,0,0,0,0,0,3,7
Mrpl37,0,0,10,0,0,6,9,0,2,0
Mrpl38,3,0,8,9,0,8,0,0,0,0
Mrpl4,5,0,0,0,3,10,5,0,0,0
Mrpl41,0,0,4,1,0,8,0,0,2,0
Mrpl43,10,0,0,0,3,0,0,3,0,7
Mrpl44,0,0,4,6,3,0,0,0,3,0
Mrpl45,8,1,0,0,0,0,0,0,2,1
Mrps18b,0,0,8,0,1,6,0,0,8,0
Mrps2,5,1,4,0,0,0,0,3,0,0
Mrps25,8,9,0,8,0,0,0,0,3,0
Mrps31,0,10,0,0,4,0,0,8,0,6
Mrps5,0,2,0,6,0,0,0,9,0,1
Mrps9,0,0,5,0,8,0,0,9,3,0
Msn,0,8,5,0,0,0,0,7,0,6
