gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
1,1,1,0,0,0,0,7,4,12,12
2,2,1,0,0,0,0,6,10,2,6
3,4,1,0,0,0,0,4,9,8,7
4,5,1,0,0,0,0,3,2,11,1
5,6,1,0,0,0,0,2,8,1,8
6,7,1,0,0,0,0,1,1,4,2
7,11,1,0,0,0,0,10,12,3,4
8,12,1,0,0,0,0,9,5,6,11
9,1,2,0,0,0,0,2,2,8,4
10,2,2,0,0,0,0,1,8,11,11
11,4,2,0,0,0,0,12,7,4,12
12,8,2,0,0,0,0,8,5,3,1
13,9,2,0,0,0,0,7,11,6,8
14,10,2,0,0,0,0,6,4,9,2
15,11,2,0,0,0,0,5,10,12,9
16,12,2,0,0,0,0,4,3,2,3
17,2,3,0,0,0,0,9,6,7,3
18,3,3,0,0,0,0,8,12,10,10
19,5,3,0,0,0,0,6,11,3,11
20,6,3,0,0,0,0,5,4,6,5
21,7,3,0,0,0,0,4,10,9,12
22,8,3,0,0,0,0,3,3,12,6
23,10,3,0,0,0,0,1,2,5,7
24,12,3,0,0,0,0,12,1,11,8
25,2,4,0,0,0,0,4,4,3,8
26,3,4,0,0,0,0,3,10,6,2
27,4,4,0,0,0,0,2,3,9,9
28,5,4,0,0,0,0,1,9,12,3
29,7,4,0,0,0,0,12,8,5,4
30,8,4,0,0,0,0,11,1,8,11
31,9,4,0,0,0,0,10,7,11,5
32,11,4,0,0,0,0,8,6,4,6
33,3,5,0,0,0,0,11,8,2,7
34,4,5,0,0,0,0,10,1,5,1
35,5,5,0,0,0,0,9,7,8,8
36,7,5,0,0,0,0,7,6,1,9
37,8,5,0,0,0,0,6,12,4,3
38,9,5,0,0,0,0,5,5,7,10
39,10,5,0,0,0,0,4,11,10,4
40,12,5,0,0,0,0,2,10,3,5
41,1,6,0,0,0,0,8,7,5,11
42,3,6,0,0,0,0,6,6,11,12
43,4,6,0,0,0,0,5,12,1,6
44,6,6,0,0,0,0,3,11,7,7
45,7,6,0,0,0,0,2,4,10,1
46,10,6,0,0,0,0,12,9,6,9
47,11,6,0,0,0,0,11,2,9,3
48,12,6,0,0,0,0,10,8,12,10
49,1,7,0,0,0,0,3,5,1,3
50,2,7,0,0,0,0,2,11,4,10
51,3,7,0,0,0,0,1,4,7,4
52,6,7,0,0,0,0,11,9,3,12
53,7,7,0,0,0,0,10,2,6,6
54,9,7,0,0,0,0,8,1,12,7
55,10,7,0,0,0,0,7,7,2,1
56,12,7,0,0,0,0,5,6,8,2
57,1,8,0,0,0,0,11,3,10,8
58,3,8,0,0,0,0,9,2,3,9
59,4,8,0,0,0,0,8,8,6,3
60,5,8,0,0,0,0,7,1,9,10
61,6,8,0,0,0,0,6,7,12,4
62,8,8,0,0,0,0,4,6,5,5
63,9,8,0,0,0,0,3,12,8,12
64,10,8,0,0,0,0,2,5,11,6
65,2,9,0,0,0,0,5,7,9,7
66,4,9,0,0,0,0,3,6,2,8
67,5,9,0,0,0,0,2,12,5,2
68,6,9,0,0,0,0,1,5,8,9
69,8,9,0,0,0,0,12,4,1,10
70,9,9,0,0,0,0,11,10,4,4
71,10,9,0,0,0,0,10,3,7,11
72,11,9,0,0,0,0,9,9,10,5
73,1,10,0,0,0,0,1,12,2,5
74,3,10,0,0,0,0,12,11,8,6
75,5,10,0,0,0,0,10,10,1,7
76,6,10,0,0,0,0,9,3,4,1
77,7,10,0,0,0,0,8,9,7,8
78,8,10,0,0,0,0,7,2,10,2
79,10,10,0,0,0,0,5,1,3,3
80,11,10,0,0,0,0,4,7,6,10
81,1,11,0,0,0,0,9,10,11,10
82,2,11,0,0,0,0,8,3,1,4
83,3,11,0,0,0,0,7,9,4,11
84,4,11,0,0,0,0,6,2,7,5
85,5,11,0,0,0,0,5,8,10,12
86,9,11,0,0,0,0,1,6,9,1
87,11,11,0,0,0,0,12,5,2,2
88,12,11,0,0,0,0,11,11,5,9
89,1,12,0,0,0,0,4,8,7,2
90,2,12,0,0,0,0,3,1,10,9
91,6,12,0,0,0,0,12,12,9,11
92,7,12,0,0,0,0,11,5,12,5
93,8,12,0,0,0,0,10,11,2,12
94,9,12,0,0,0,0,9,4,5,6
95,11,12,0,0,0,0,7,3,11,7
96,12,12,0,0,0,0,6,9,1,1
97,1,0,1,0,0,0,1,4,5,10
98,3,0,1,0,0,0,12,3,11,11
99,4,0,1,0,0,0,11,9,1,5
100,5,0,1,0,0,0,10,2,4,12
101,6,0,1,0,0,0,9,8,7,6
102,10,0,1,0,0,0,5,6,6,8
103,11,0,1,0,0,0,4,12,9,2
104,12,0,1,0,0,0,3,5,12,9
105,0,1,1,0,0,0,10,9,11,8
106,1,2,1,0,0,0,4,0,10,7
107,2,2,1,0,0,0,3,6,0,1
108,5,2,1,0,0,0,0,11,9,9
109,3,3,1,0,0,0,10,10,12,0
110,10,3,1,0,0,0,3,0,7,10
111,12,3,1,0,0,0,1,12,0,11
112,0,4,1,0,0,0,8,3,12,10
113,8,4,1,0,0,0,0,12,10,1
114,9,4,1,0,0,0,12,5,0,8
115,0,5,1,0,0,0,3,1,8,2
116,2,5,1,0,0,0,1,0,1,3
117,3,5,1,0,0,0,0,6,4,10
118,6,5,1,0,0,0,10,11,0,5
119,9,5,1,0,0,0,7,3,9,0
120,0,6,1,0,0,0,11,12,4,7
121,3,6,1,0,0,0,8,4,0,2
122,12,6,1,0,0,0,12,6,1,0
123,2,7,1,0,0,0,4,9,6,0
124,6,7,1,0,0,0,0,7,5,2
125,7,7,1,0,0,0,12,0,8,9
126,0,8,1,0,0,0,1,8,9,4
127,1,8,1,0,0,0,0,1,12,11
128,3,8,1,0,0,0,11,0,5,12
129,5,8,1,0,0,0,9,12,11,0
130,10,8,1,0,0,0,4,3,0,9
131,0,9,1,0,0,0,9,6,5,9
132,7,9,1,0,0,0,2,9,0,6
133,8,9,1,0,0,0,1,2,3,0
134,9,9,1,0,0,0,0,8,6,7
135,12,9,1,0,0,0,10,0,2,2
136,0,10,1,0,0,0,4,4,1,1
137,8,10,1,0,0,0,9,0,12,5
138,11,10,1,0,0,0,6,5,8,0
139,0,11,1,0,0,0,12,2,10,6
140,4,11,1,0,0,0,8,0,9,8
141,12,11,1,0,0,0,0,9,7,12
142,4,12,1,0,0,0,3,11,5,0
143,7,12,1,0,0,0,0,3,1,8
144,11,12,1,0,0,0,9,1,0,10
145,2,0,2,0,0,0,2,8,10,7
146,6,0,2,0,0,0,11,6,9,9
147,7,0,2,0,0,0,10,12,12,3
148,8,0,2,0,0,0,9,5,2,10
149,9,0,2,0,0,0,8,11,5,4
150,10,0,2,0,0,0,7,4,8,11
151,11,0,2,0,0,0,6,10,11,5
152,12,0,2,0,0,0,5,3,1,12
153,1,1,2,0,0,0,11,0,3,5
154,4,1,2,0,0,0,8,5,12,0
155,12,1,2,0,0,0,0,1,10,4
156,0,2,2,0,0,0,7,5,9,3
157,0,3,2,0,0,0,2,3,5,8
158,2,3,2,0,0,0,0,2,11,9
159,6,3,2,0,0,0,9,0,10,11
160,7,3,2,0,0,0,8,6,0,5
161,10,3,2,0,0,0,5,11,9,0
162,2,4,2,0,0,0,8,0,7,1
163,4,4,2,0,0,0,6,12,0,2
164,10,4,2,0,0,0,0,9,5,5
165,0,5,2,0,0,0,5,12,10,5
166,1,5,2,0,0,0,4,5,0,12
167,3,5,2,0,0,0,2,4,6,0
168,5,5,2,0,0,0,0,3,12,1
169,11,5,2,0,0,0,7,0,4,4
170,6,6,2,0,0,0,7,7,11,0
171,7,6,2,0,0,0,6,0,1,7
172,11,6,2,0,0,0,2,11,0,9
173,0,7,2,0,0,0,8,8,2,2
174,3,7,2,0,0,0,5,0,11,10
175,9,7,2,0,0,0,12,10,3,0
176,0,8,2,0,0,0,3,6,11,7
177,3,8,2,0,0,0,0,11,7,2
178,5,8,2,0,0,0,11,10,0,3
179,0,9,2,0,0,0,11,4,7,12
180,8,9,2,0,0,0,3,0,5,3
181,11,9,2,0,0,0,0,5,1,11
182,0,10,2,0,0,0,6,2,3,4
183,4,10,2,0,0,0,2,0,2,6
184,5,10,2,0,0,0,1,6,5,0
185,6,10,2,0,0,0,0,12,8,7
186,12,10,2,0,0,0,7,9,0,10
187,1,11,2,0,0,0,0,6,2,3
188,8,11,2,0,0,0,6,9,10,0
189,9,11,2,0,0,0,5,2,0,7
190,0,12,2,0,0,0,9,11,8,1
191,6,12,2,0,0,0,3,8,0,4
192,11,12,2,0,0,0,11,12,2,0
193,2,0,3,0,0,0,4,6,12,10
194,3,0,3,0,0,0,3,12,2,4
195,4,0,3,0,0,0,2,5,5,11
196,5,0,3,0,0,0,1,11,8,5
197,7,0,3,0,0,0,12,10,1,6
198,9,0,3,0,0,0,10,9,7,7
199,10,0,3,0,0,0,9,2,10,1
200,12,0,3,0,0,0,7,1,3,2
201,0,1,3,0,0,0,1,5,2,1
202,1,1,3,0,0,0,0,11,5,8
203,8,1,3,0,0,0,6,1,0,5
204,10,1,3,0,0,0,4,0,6,6
205,11,1,3,0,0,0,3,6,9,0
206,0,2,3,0,0,0,9,3,11,6
207,1,2,3,0,0,0,8,9,1,0
208,5,2,3,0,0,0,4,7,0,2
209,6,2,3,0,0,0,3,0,3,9
210,9,2,3,0,0,0,0,5,12,4
211,0,3,3,0,0,0,4,1,7,11
212,0,4,3,0,0,0,12,12,3,3
213,7,4,3,0,0,0,5,2,11,0
214,11,4,3,0,0,0,1,0,10,2
215,0,5,3,0,0,0,7,10,12,8
216,9,5,3,0,0,0,11,12,0,6
217,10,5,3,0,0,0,10,5,3,0
218,2,6,3,0,0,0,0,7,1,1
219,3,6,3,0,0,0,12,0,4,8
220,6,6,3,0,0,0,9,5,0,3
221,0,7,3,0,0,0,10,6,4,5
222,10,7,3,0,0,0,0,1,8,10
223,12,7,3,0,0,0,11,0,1,11
224,5,8,3,0,0,0,0,8,2,6
225,6,8,3,0,0,0,12,1,5,0
226,8,8,3,0,0,0,10,0,11,1
227,4,9,3,0,0,0,9,0,8,4
228,9,9,3,0,0,0,4,4,10,0
229,10,9,3,0,0,0,3,10,0,7
230,7,10,3,0,0,0,1,3,0,4
231,8,10,3,0,0,0,0,9,3,11
232,12,10,3,0,0,0,9,7,2,0
233,0,11,3,0,0,0,3,11,1,12
234,2,11,3,0,0,0,1,10,7,0
235,3,11,3,0,0,0,0,3,10,7
236,4,11,3,0,0,0,12,9,0,1
237,9,11,3,0,0,0,7,0,2,10
238,0,12,3,0,0,0,11,9,10,4
239,1,12,3,0,0,0,10,2,0,11
240,11,12,3,0,0,0,0,10,4,3
241,1,0,4,0,0,0,7,11,11,6
242,3,0,4,0,0,0,5,10,4,7
243,4,0,4,0,0,0,4,3,7,1
244,5,0,4,0,0,0,3,9,10,8
245,7,0,4,0,0,0,1,8,3,9
246,9,0,4,0,0,0,12,7,9,10
247,11,0,4,0,0,0,10,6,2,11
248,12,0,4,0,0,0,9,12,5,5
249,0,1,4,0,0,0,3,3,4,4
250,5,1,4,0,0,0,11,7,6,0
251,6,1,4,0,0,0,10,0,9,7
252,2,2,4,0,0,0,9,0,6,10
253,8,2,4,0,0,0,3,10,11,0
254,11,2,4,0,0,0,0,2,7,8
