gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
1,α³,α³,α²,α,α,0,0,0,0
2,1,α⁵,1,α²,α,0,0,0,0
3,α⁴,α,α,α⁴,α,0,0,0,0
4,α,1,α³,1,α,0,0,0,0
5,α²,α,α⁴,α,α²,0,0,0,0
6,α⁴,α⁴,α³,α²,α²,0,0,0,0
7,α,α⁶,α,α³,α²,0,0,0,0
8,α⁵,α²,α²,α⁵,α²,0,0,0,0
9,α³,α²,α⁵,α²,α³,0,0,0,0
10,α⁵,α⁵,α⁴,α³,α³,0,0,0,0
11,α²,1,α²,α⁴,α³,0,0,0,0
12,α⁶,α³,α³,α⁶,α³,0,0,0,0
13,α⁴,α³,α⁶,α³,α⁴,0,0,0,0
14,α⁶,α⁶,α⁵,α⁴,α⁴,0,0,0,0
15,α³,α,α³,α⁵,α⁴,0,0,0,0
16,1,α⁴,α⁴,1,α⁴,0,0,0,0
17,α,α⁵,α⁵,α,α⁵,0,0,0,0
18,α⁵,α⁴,1,α⁴,α⁵,0,0,0,0
19,1,1,α⁶,α⁵,α⁵,0,0,0,0
20,α⁴,α²,α⁴,α⁶,α⁵,0,0,0,0
21,α²,α⁶,α⁶,α²,α⁶,0,0,0,0
22,α⁶,α⁵,α,α⁵,α⁶,0,0,0,0
23,α,α,1,α⁶,α⁶,0,0,0,0
24,α⁵,α³,α⁵,1,α⁶,0,0,0,0
25,α⁶,α⁴,α⁶,α,1,0,0,0,0
26,α³,1,1,α³,1,0,0,0,0
27,1,α⁶,α²,α⁶,1,0,0,0,0
28,α²,α²,α,1,1,0,0,0,0
29,α,α³,α⁵,α²,0,α,0,0,0
30,α⁶,α⁴,α²,α⁴,0,α,0,0,0
31,α²,α²,α³,α⁶,0,α,0,0,0
32,1,α⁶,α⁶,1,0,α,0,0,0
33,α,1,1,α,0,α²,0,0,0
34,α²,α⁴,α⁶,α³,0,α²,0,0,0
35,1,α⁵,α³,α⁵,0,α²,0,0,0
36,α³,α³,α⁴,1,0,α²,0,0,0
37,α⁴,α⁴,α⁵,α,0,α³,0,0,0
38,α²,α,α,α²,0,α³,0,0,0
39,α³,α⁵,1,α⁴,0,α³,0,0,0
40,α,α⁶,α⁴,α⁶,0,α³,0,0,0
41,α⁵,α⁵,α⁶,α²,0,α⁴,0,0,0
42,α³,α²,α²,α³,0,α⁴,0,0,0
43,α⁴,α⁶,α,α⁵,0,α⁴,0,0,0
44,α²,1,α⁵,1,0,α⁴,0,0,0
45,α³,α,α⁶,α,0,α⁵,0,0,0
46,α⁶,α⁶,1,α³,0,α⁵,0,0,0
47,α⁴,α³,α³,α⁴,0,α⁵,0,0,0
48,α⁵,1,α²,α⁶,0,α⁵,0,0,0
49,α⁴,α²,1,α²,0,α⁶,0,0,0
50,1,1,α,α⁴,0,α⁶,0,0,0
51,α⁵,α⁴,α⁴,α⁵,0,α⁶,0,0,0
52,α⁶,α,α³,1,0,α⁶,0,0,0
53,1,α²,α⁴,α,0,1,0,0,0
54,α⁵,α³,α,α³,0,1,0,0,0
55,α,α,α²,α⁵,0,1,0,0,0
56,α⁶,α⁵,α⁵,α⁶,0,1,0,0,0
57,α²,α²,α⁵,α,0,0,α,0,0
58,α,α³,α³,α³,0,0,α,0,0
59,1,α⁶,1,α⁴,0,0,α,0,0
60,α⁵,α,α⁶,α⁵,0,0,α,0,0
61,α³,α³,α⁶,α²,0,0,α²,0,0
62,α²,α⁴,α⁴,α⁴,0,0,α²,0,0
63,α,1,α,α⁵,0,0,α²,0,0
64,α⁶,α²,1,α⁶,0,0,α²,0,0
65,α⁴,α⁴,1,α³,0,0,α³,0,0
66,α³,α⁵,α⁵,α⁵,0,0,α³,0,0
67,α²,α,α²,α⁶,0,0,α³,0,0
68,1,α³,α,1,0,0,α³,0,0
69,α,α⁴,α²,α,0,0,α⁴,0,0
70,α⁵,α⁵,α,α⁴,0,0,α⁴,0,0
71,α⁴,α⁶,α⁶,α⁶,0,0,α⁴,0,0
72,α³,α²,α³,1,0,0,α⁴,0,0
73,α⁴,α³,α⁴,α,0,0,α⁵,0,0
74,α²,α⁵,α³,α²,0,0,α⁵,0,0
75,α⁶,α⁶,α²,α⁵,0,0,α⁵,0,0
76,α⁵,1,1,1,0,0,α⁵,0,0
77,α⁶,α,α,α,0,0,α⁶,0,0
78,α⁵,α⁴,α⁵,α²,0,0,α⁶,0,0
79,α³,α⁶,α⁴,α³,0,0,α⁶,0,0
80,1,1,α³,α⁶,0,0,α⁶,0,0
81,1,α²,α²,α²,0,0,1,0,0
82,α⁶,α⁵,α⁶,α³,0,0,1,0,0
83,α⁴,1,α⁵,α⁴,0,0,1,0,0
84,α,α,α⁴,1,0,0,1,0,0
85,α²,α⁵,α⁶,α,0,0,0,α,0
86,1,α⁴,α³,α⁴,0,0,0,α,0
87,α⁵,1,α⁵,α⁵,0,0,0,α,0
88,α⁶,α⁶,α,1,0,0,0,α,0
89,1,1,α²,α,0,0,0,α²,0
90,α³,α⁶,1,α²,0,0,0,α²,0
91,α,α⁵,α⁴,α⁵,0,0,0,α²,0
92,α⁶,α,α⁶,α⁶,0,0,0,α²,0
93,α,α,α³,α²,0,0,0,α³,0
94,α⁴,1,α,α³,0,0,0,α³,0
95,α²,α⁶,α⁵,α⁶,0,0,0,α³,0
96,1,α²,1,1,0,0,0,α³,0
97,α,α³,α,α,0,0,0,α⁴,0
98,α²,α²,α⁴,α³,0,0,0,α⁴,0
99,α⁵,α,α²,α⁴,0,0,0,α⁴,0
100,α³,1,α⁶,1,0,0,0,α⁴,0
101,α⁴,α,1,α,0,0,0,α⁵,0
102,α²,α⁴,α²,α²,0,0,0,α⁵,0
103,α³,α³,α⁵,α⁴,0,0,0,α⁵,0
104,α⁶,α²,α³,α⁵,0,0,0,α⁵,0
105,α⁵,α²,α,α²,0,0,0,α⁶,0
106,α³,α⁵,α³,α³,0,0,0,α⁶,0
107,α⁴,α⁴,α⁶,α⁵,0,0,0,α⁶,0
108,1,α³,α⁴,α⁶,0,0,0,α⁶,0
109,α⁶,α³,α²,α³,0,0,0,1,0
110,α⁴,α⁶,α⁴,α⁴,0,0,0,1,0
111,α⁵,α⁵,1,α⁶,0,0,0,1,0
112,α,α⁴,α⁵,1,0,0,0,1,0
113,α³,α⁵,α⁴,α,0,0,0,0,α
114,1,α³,α³,α²,0,0,0,0,α
