gene,block1,block2,block3,block4,block5
1,1,1,1,1,4
2,2,1,1,1,5
3,3,1,1,1,6
4,4,1,1,1,7
5,5,1,1,1,8
6,6,1,1,1,9
7,7,1,1,1,10
8,8,1,1,1,11
9,9,1,1,1,0
10,10,1,1,1,1
11,11,1,1,1,2
12,0,1,1,1,3
13,1,2,1,1,5
14,2,2,1,1,6
15,3,2,1,1,7
16,4,2,1,1,8
17,5,2,1,1,9
18,6,2,1,1,10
19,7,2,1,1,11
20,8,2,1,1,0
21,9,2,1,1,1
22,10,2,1,1,2
23,11,2,1,1,3
24,0,2,1,1,4
25,1,3,1,1,6
26,2,3,1,1,7
27,3,3,1,1,8
28,4,3,1,1,9
29,5,3,1,1,10
30,6,3,1,1,11
31,7,3,1,1,0
32,8,3,1,1,1
33,9,3,1,1,2
34,10,3,1,1,3
35,11,3,1,1,4
36,0,3,1,1,5
37,1,4,1,1,7
38,2,4,1,1,8
39,3,4,1,1,9
40,4,4,1,1,10
41,5,4,1,1,11
42,6,4,1,1,0
43,7,4,1,1,1
44,8,4,1,1,2
45,9,4,1,1,3
46,10,4,1,1,4
47,11,4,1,1,5
48,0,4,1,1,6
49,1,5,1,1,8
50,2,5,1,1,9
51,3,5,1,1,10
52,4,5,1,1,11
53,5,5,1,1,0
54,6,5,1,1,1
55,7,5,1,1,2
56,8,5,1,1,3
57,9,5,1,1,4
58,10,5,1,1,5
59,11,5,1,1,6
60,0,5,1,1,7
61,1,6,1,1,9
62,2,6,1,1,10
63,3,6,1,1,11
64,4,6,1,1,0
65,5,6,1,1,1
66,6,6,1,1,2
67,7,6,1,1,3
68,8,6,1,1,4
69,9,6,1,1,5
70,10,6,1,1,6
71,11,6,1,1,7
72,0,6,1,1,8
73,1,7,1,1,10
74,2,7,1,1,11
75,3,7,1,1,0
76,4,7,1,1,1
77,5,7,1,1,2
78,6,7,1,1,3
79,7,7,1,1,4
80,8,7,1,1,5
81,9,7,1,1,6
82,10,7,1,1,7
83,11,7,1,1,8
84,0,7,1,1,9
85,1,8,1,1,11
86,2,8,1,1,0
87,3,8,1,1,1
88,4,8,1,1,2
89,5,8,1,1,3
90,6,8,1,1,4
91,7,8,1,1,5
92,8,8,1,1,6
93,9,8,1,1,7
94,10,8,1,1,8
95,11,8,1,1,9
96,0,8,1,1,10
97,1,9,1,1,0
98,2,9,1,1,1
99,3,9,1,1,2
100,4,9,1,1,3
101,5,9,1,1,4
102,6,9,1,1,5
103,7,9,1,1,6
104,8,9,1,1,7
105,9,9,1,1,8
106,10,9,1,1,9
107,11,9,1,1,10
108,0,9,1,1,11
109,1,10,1,1,1
110,2,10,1,1,2
111,3,10,1,1,3
112,4,10,1,1,4
113,5,10,1,1,5
114,6,10,1,1,6
115,7,10,1,1,7
116,8,10,1,1,8
117,9,10,1,1,9
118,10,10,1,1,10
119,11,10,1,1,11
120,0,10,1,1,0
121,1,11,1,1,2
122,2,11,1,1,3
123,3,11,1,1,4
124,4,11,1,1,5
125,5,11,1,1,6
126,6,11,1,1,7
127,7,11,1,1,8
128,8,11,1,1,9
129,9,11,1,1,10
130,10,11,1,1,11
131,11,11,1,1,0
132,0,11,1,1,1
133,1,0,1,1,3
134,2,0,1,1,4
135,3,0,1,1,5
136,4,0,1,1,6
137,5,0,1,1,7
138,6,0,1,1,8
139,7,0,1,1,9
140,8,0,1,1,10
141,9,0,1,1,11
142,10,0,1,1,0
143,11,0,1,1,1
144,0,0,1,1,2
145,1,1,2,1,5
146,2,1,2,1,6
147,3,1,2,1,7
148,4,1,2,1,8
149,5,1,2,1,9
150,6,1,2,1,10
151,7,1,2,1,11
152,8,1,2,1,0
153,9,1,2,1,1
154,10,1,2,1,2
155,11,1,2,1,3
156,0,1,2,1,4
157,1,2,2,1,6
158,2,2,2,1,7
159,3,2,2,1,8
160,4,2,2,1,9
161,5,2,2,1,10
162,6,2,2,1,11
163,7,2,2,1,0
164,8,2,2,1,1
165,9,2,2,1,2
166,10,2,2,1,3
167,11,2,2,1,4
168,0,2,2,1,5
169,1,3,2,1,7
170,2,3,2,1,8
171,3,3,2,1,9
172,4,3,2,1,10
173,5,3,2,1,11
174,6,3,2,1,0
175,7,3,2,1,1
176,8,3,2,1,2
177,9,3,2,1,3
178,10,3,2,1,4
179,11,3,2,1,5
180,0,3,2,1,6
181,1,4,2,1,8
182,2,4,2,1,9
183,3,4,2,1,10
184,4,4,2,1,11
185,5,4,2,1,0
186,6,4,2,1,1
