code,densities_to_simulate
seqFISH_q12_n5_k4,"[1,2,3,4,5,6,7,8,9,10]"
seqFISH_intron_2018,"[1,2,3,4,5,6,7,8,9,10]"
seqFISHp2019,"[1,2,3,4,5,6,7,8,9,10]"
seqFISHp2019_used_only,"[1,2,3,4,5,6,7,8,9,10]"
seqFISH_q16_n5_k3,"[1,2,3,4,5,6,7,8,9,10]"
seqFISHDNA_2020,"[1,2,3,4,5,6,7,8,9,10]"
seqFISH_n4k3q25_parity_check,"[1,2,3,4,5,6,7,8,9,10]"
seqFISH_q25_n4_k3_w4cb_assign_3t3_ribo_271_attempt1,"[1,2,3,4,5,6,7,8,9,10]"
Hamming_q2_n16_k11_w4cb_MERFISH_2015,"[1,2,3,4,5,6,7,8,9,10]"
RS_q13_n13_k9_w5,"[1,2,3,4,5,6,7,8,9,10]"
RS_q13_n10_k6_w6,"[1,2,3,4,5,6,7,8,9,10]"
q17n12md5w5,"[1,2,3,4,5,6,7,8,9,10]"
RS_q11_n10_k7_w4,"[1,2,3,4,5,6,7,8,9,10]"
q11_n10_k7_w4cb_pool1,"[1,2,3,4,5,6,7,8,9,10]"
"RS_q8_n9_k6_w5","[1,2,3,4,5,6,7,8,9,10]"
MERFISH_2019,"[1,2,3,4,5,6,7,8,9,10]"
unstructured_100bit_w5_md6,"[1,2,3,4,5,6,7,8,9,10]"
