gene,Block1,Block2,Block3,Block4
1700022a21rik,15,5,19,1
1700025g04rik,9,6,1,14
4933401b06rik,17,2,0,19
5830417i10rik,14,9,1,2
9330102e08rik,8,12,8,12
9430018g01rik,19,9,15,13
9430083a17rik,3,4,10,17
Aanat,12,14,5,1
Aasdh,5,14,2,17
Aatf,16,1,2,15
Abat,7,2,14,15
Abca16,14,1,16,19
Abca17,5,11,12,4
Abca4,10,14,12,12
Abca8a,8,5,13,0
Abcb5,4,12,17,19
Abcb7,13,7,17,3
Abcc1,7,1,19,9
Abcc4,1,3,7,17
Abcc6,12,4,0,16
Abcc9,7,6,14,19
Abcg1,5,17,3,19
Abhd2,3,19,11,11
Abhd6,19,3,12,10
Abl1,15,18,5,8
Abl2,12,18,18,12
Ablim2,3,17,2,18
Abtb1,14,10,10,14
Acacb,2,12,3,11
Acad10,9,5,8,6
Acad11,7,14,4,17
Acad9,19,0,6,13
Acap2,8,16,1,3
Acat1,11,12,12,11
Acbd5,10,5,1,14
Ace,10,12,0,2
Acer3,13,6,5,14
Ackr3,0,4,17,7
Acot6,15,12,3,4
Acox1,8,15,18,5
Acox3,11,17,13,15
Acoxl,4,10,4,10
Acp5,5,6,7,4
Acsbg1,17,18,6,9
Acsbg2,8,10,0,18
Acsf2,7,17,10,14
Acsl5,1,17,11,7
Acsm1,13,19,7,5
Acsm2,6,17,0,3
Acsm5,14,3,3,14
Acss1,11,9,3,17
Actl7a,15,11,3,3
Actl9,16,7,12,11
Actn3,11,12,11,12
Actr10,1,14,4,11
Actrt3,15,6,1,0
Adam11,12,5,16,1
Adam12,19,11,15,15
Adam17,17,14,15,16
Adam19,16,8,4,0
Adam1b,2,12,15,19
Adam2,12,0,9,3
Adam21,4,9,8,5
Adam5,12,19,18,13
Adam9,2,15,16,1
Adamts13,8,14,0,2
Adamts2,19,9,13,15
Adamtsl2,1,1,18,4
Adamtsl4,19,4,0,3
Adap1,0,11,14,17
Adarb1,7,8,14,1
Adck5,1,14,1,14
Adcy1,2,8,4,6
Adcy2,7,2,7,2
Adcy3,1,9,6,4
Adcy9,12,15,8,19
Add3,3,12,16,19
Adh7,0,11,0,11
Adipor1,16,2,4,14
Adipor2,10,2,5,7
Adrb3,12,10,19,3
Adss,18,6,3,1
Aff2,15,17,14,18
Afg3l2,3,7,9,1
Agap1,7,9,12,4
Agap2,7,13,4,16
Agbl2,3,11,10,4
Agfg2,16,0,8,8
Aggf1,15,18,7,6
Agl,5,11,6,10
Ago1,10,17,8,19
Ago2,17,6,13,10
Agpat3,11,2,9,4
Agpat4,17,17,12,2
Agps,0,1,15,6
Agrn,14,15,12,17
Agtr1a,0,3,11,12
Ahcyl2,5,14,13,6
Ahr,5,0,1,4
Ahrr,10,14,17,7
Aicda,10,1,9,2
Aif1l,14,2,14,2
Aifm3,8,7,8,7
Aip,8,9,8,9
Aire,9,7,12,4
Ak4,6,3,2,7
Ak5,18,0,5,13
Akap1,15,19,12,2
Akap5,19,13,6,6
Akap6,7,2,13,16
Akt3,14,18,6,6
Aldh1a3,18,9,13,14
Aldh2,4,18,2,0
